Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Psefar
1751.361,356.8325,0
1741.261,410.5891,0
1706.777,362.6082,0
1690.476,299.2548,0
1767.642,371.8903,0
1660.529,340.5559,0
1699.624,400.2764,0
1635.913,325.667,0
1585.703,355.9763,0
1657.652,406.1597,0
1789.944,368.8747,0
1690.905,386.3724,0
1709.91,381.4009,0
1481.326,268.1887,0
1666.943,444.0208,0
1673.664,355.2499,0
1603.538,346.14,0
1787.585,282.9564,0
1691.477,306.9308,0
1705.407,380.6068,0
1611.831,372.9696,0
1709.247,365.9684,0
1799.105,365.3254,0
1660.972,461.9249,0
1743.764,405.7927,0
1770.451,359.057,0
1610.72,370.3113,0
1569.84,350.9318,0
1688.22,379.3839,0
1639.869,390.475,0
1658.828,332.8795,0
1755.984,377.5263,0
1616.822,404.0416,0
1706.25,430.0577,0
1645.49,337.5756,0
1661.742,468.386,0
1625.499,390.4965,0
1802.086,408.9352,0
1501.226,300.867,0
1711.957,369.52,0
1699.942,401.9969,0
1725.39,408.3912,0
1699.871,444.7769,0
1674.235,282.9944,0
1756.656,435.6876,0
1736.586,387.4453,0
1717.299,427.6004,0
1785.913,427.4376,0
1679.565,420.8178,0
1685.21,424.6974,0
1786.561,366.933,0
1813.341,400.2437,0
1538.806,316.2313,0
1752.859,334.1749,0
1601.23,327.7388,0
1822.474,346.0371,0
1548.362,262.6586,0
1586.278,261.4078,0
1696.287,374.8515,0
1582.203,337.1775,0
1634.439,375.3279,0
1657.675,372.6331,0
1731.936,387.4511,0
1702.167,480.9738,0
1663.138,382.0724,0
1577.848,370.8689,0
1526.275,311.2179,0
1809.754,344.5856,0
1804.804,361.6585,0
1613.881,402.5629,0
1755.092,339.9285,0
1711.496,331.4717,0
1631.507,335.9856,0
1626.399,410.4141,0
1690.618,431.3503,0
1750.689,347.6679,0
1776.962,400.1183,0
1705.582,338.8972,0
1717.67,367.7895,0
1691.714,453.1219,0
1626.254,369.7571,0
1670.916,340.8256,0
1663.935,396.9788,0
1778.84,394.6496,0
1701.062,368.0843,0
1716.97,418.1564,0
1654.239,417.8747,0
1439.593,346.05,0
1697.778,402.562,0
1717.562,412.4675,0
1541.171,351.5903,0
1702.238,414.8313,0
1701.708,344.772,0
1689.937,359.7723,0
1627.752,359.9113,0
1693.676,302.446,0
1718.245,398.5252,0
1725.325,419.2272,0
1717.739,274.345,0
1665.555,402.3237,0
1649.367,406.7982,0
1687.879,412.0684,0
1737.809,430.6401,0
1588.216,355.3504,0
1811.957,358.0272,0
1678.255,414.874,0
1723.254,354.3306,0
1698.227,411.3041,0
1635.698,380.8085,0
1758.991,433.4488,0
1723.1,411.3773,0
1521.684,255.9559,0
1772.949,352.0912,0
1705.186,359.3567,0
1686.582,371.449,0
1620.681,294.4225,0
1701.29,348.59,0
1468.313,302.9949,0
1702.272,372.1183,0
1694.483,346.9111,0
1670.74,343.5936,0
1696.497,423.7496,0
1784.946,378.5817,0
1664.336,318.5161,0
1548.752,327.8068,0
1523.349,296.0938,0
1597.205,358.9225,0
1768.175,413.7703,0
1622.981,349.3592,0
1700.342,405.3256,0
1581.059,302.2784,0
1718.104,354.9268,0
1732.308,363.5649,0
1655.768,396.9003,0
1612.529,319.6179,0
1713.202,419.6375,0
1710.885,334.9478,0
1692.197,369.7134,0
1739.724,371.9817,0
1571.559,409.9363,0
1598.194,390.8575,0
1723.458,433.6513,0
1745.31,454.8276,0
1679.073,401.4992,0
1535.826,300.141,0
1743.717,398.219,0
1739.498,330.7852,0
1671.191,361.5269,0
1790.827,395.5366,0
1787.051,358.2036,0
1793.941,335.7346,0
1734.273,414.0209,0
1736.458,415.3146,0
1747.62,383.3236,0
1695.075,340.8676,0
1458.06,285.3253,0
1727.876,454.8152,0
1739.287,422.1368,0
1674.904,397.1459,0
1675.406,393.9796,0
1684.558,426.0349,0
1735.242,466.7258,0
1486.606,427.3854,0
1662.89,370.3221,0
1746.396,386.9297,0
1630.793,310.7285,0
1720.839,400.2825,0
1673.814,386.7418,0
1657.225,445.7744,0
1683.146,446.7415,0
1627.577,332.269,0
1677.004,331.8009,0
1738.074,417.9315,0
1762.882,454.6784,0
1738.142,383.6222,0
1723.772,430.6541,0
1622.294,371.6526,0
1603.177,360.002,0
1657.463,373.2899,0
1720.709,337.6382,0
1441.04,288.6097,0
1695.234,405.2662,0
1635.459,362.3876,0
1725.463,397.6974,0
1670.61,416.6022,0
1685.427,365.785,0
1691.13,393.0107,0
1716.535,342.54,0
1693.143,294.26,0
1739.773,354.165,0
1681.239,343.7802,0
1772.138,371.8812,0
1705.489,368.9001,0
1650.589,360.6058,0
1730.927,370.3055,0
1706.161,361.6829,0
1741.451,348.2357,0
1677.534,342.5378,0
1671.726,359.1781,0
1649.946,385.8144,0
1732.205,429.78,0
1752.696,445.6279,0
1748.306,353.3882,0
1665.319,348.248,0
1680.951,356.7329,0
1758.694,387.2498,0
1609.901,341.3159,0
1707.997,424.0578,0
1713.604,427.2228,0
1733.001,409.1733,0
1601.581,450.0248,0
1593.926,314.5984,0
1677.908,368.6003,0
1649.997,386.9508,0
1719.171,409.5734,0
1765.474,344.7507,0
1703.904,330.9294,0
1705.164,418.5264,0
1796.295,375.8723,0
1687.331,395.6028,0
1713.887,346.3063,0
1745.049,401.658,0
1650.64,449.8091,0
1529.755,369.3079,0
1672.626,388.1431,0
1708.974,354.8448,0
1765.555,370.8447,0
1682.357,379.5649,0
1663.339,367.0078,0
1688.842,315.9866,0
1669.159,423.986,0
1697.382,419.7787,0
1717.167,399.8492,0
1812.182,341.8232,0
1753.278,365.2484,0
1515.236,336.4963,0
1706.803,389.9539,0
1608.338,442.1332,0
1773.142,406.4467,0
1690.294,412.1778,0
1751.861,329.1063,0
1675.766,408.8361,0
1750.71,353.9288,0
1740.558,350.7029,0
1702.888,392.5759,0
1761.077,423.1982,0
1742.499,443.8736,0
1662.322,401.2382,0
1718.466,427.4512,0
1797.622,347.7226,0
1639.909,331.9238,0
1744.597,393.2266,0
1483.988,225.9278,0
1559.788,397.2748,0
1735.09,401.894,0
1633.053,435.556,0
1568.512,332.3807,0
1680.304,322.9874,0
1682.764,346.2517,0
1698.289,319.0382,0
1743.168,409.1788,0
1842.669,401.7984,0
1660.362,354.4373,0
1721.177,360.1135,0
1732.347,348.4518,0
1643.548,382.4522,0
1440.719,280.4923,0
1840.039,351.3554,0
1520.58,290.4497,0
1634.967,367.3884,0
1642.663,417.8879,0
1759.474,333.9346,0
1533.453,317.1331,0
1635.388,388.3904,0
1735.844,364.0829,0
1698.468,388.2258,0
1491.343,351.8301,0
1697.433,451.6305,0
1733.655,406.1573,0
1605.627,339.0443,0
1681.636,418.9346,0
1519.132,348.1719,0
1701.061,401.4692,0
1717.203,429.4012,0
1731.502,438.2764,0
1679.789,382.5453,0
1609.96,372.8541,0
1475.03,359.2567,0
