Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
5616.396,270.0024,1
5483.743,344.5601,1
6147.805,225.4695,1
5549.586,235.6267,1
5906.623,262.6182,1
6086.632,196.8782,1
5455.938,290.7656,1
6078.479,158.5413,1
5504.572,262.6504,1
5806.381,221.2212,1
6070.038,202.1794,1
5348.703,321.5852,1
5785.37,241.9546,1
5944.367,327.3154,1
5919.305,291.8291,1
6088.25,175.9824,1
5705.863,138.9006,1
5625.642,238.1941,1
5544.218,310.2183,1
5558.11,275.9102,1
5627.882,315.501,1
5864.099,273.8318,1
5981.317,210.4045,1
6114.003,152.8679,1
5746.415,341.8599,1
5684.683,313.0603,1
6036.579,180.2185,1
6174.937,118.2847,1
5712.189,244.2927,1
5570.157,251.4424,1
5859.099,197.7961,1
5823.784,235.2644,1
5226.553,277.9138,1
5730.047,294.8513,1
5532.631,161.0249,1
5630.438,249.8796,1
6096.531,220.291,1
5589.915,253.8408,1
5517.437,356.8181,1
6080.053,218.1907,1
6410.95,200.2053,1
5734.88,208.0566,1
5735.293,243.3494,1
6306.006,214.113,1
5963.297,197.2856,1
6032.641,262.9006,1
5657.225,3328.1,
5917.297,275.1958,1
5971.909,130.1331,1
6254.919,161.4995,1
6016.437,211.334,1
5929.678,321.8528,1
5648.295,265.5647,1
6032.317,281.5908,1
5725.243,299.5093,1
5741.497,195.0876,1
5712.856,223.1543,1
6348.263,203.2124,1
5780.089,286.061,1
5329.129,290.3682,1
5386.537,345.6772,1
6119.162,181.3376,1
6314.222,245.2478,1
5857.632,219.5989,1
5515.04,302.7622,1
5838.337,307.9788,1
6266.815,275.2192,1
5920.926,198.2173,1
6068.334,244.4839,1
6065.839,204.2825,1
5826.021,175.4167,1
6198.776,-3.751709,1
5673.884,220.2834,1
5937.345,242.2378,1
5701.45,244.6196,1
5943.349,189.8708,1
6004.949,166.3435,1
5815.779,281.8152,1
5589.743,244.5308,1
6088.884,102.4683,1
5617.059,207.6277,1
6064.026,293.0383,1
6383.368,231.332,1
5680.017,278.6831,1
5993.667,220.2563,1
5696.998,191.8228,1
5585.329,234.7314,1
6123.794,335.6304,1
6068.671,194.2458,1
6127.643,183.1685,1
6263.425,292.782,1
6166.216,113.3066,1
5370.219,400.1089,1
6004.94,227.3103,1
5826.388,277.2903,1
5665.52,322.0513,1
5580.918,352.1196,1
5662.206,179.1184,1
5830.216,283.166,1
5682.815,274.3706,1
5777.683,246.2009,1
6097.668,224.5835,1
5515.333,310.2034,1
6260.266,112.1633,1
6031.736,210.8027,1
5942.15,234.1211,1
5967.641,258.0779,1
5649.316,337.2256,1
6202.148,217.9976,1
5665.15,195.5952,1
5916.634,244.1509,1
5932.169,188.5798,1
6027.103,166.9473,1
5952.517,292.249,1
5630.954,256.5276,1
5997.494,136.4192,1
6198.896,237.2451,1
5757.301,351.959,1
5565.033,252.8943,1
5821.791,245.7622,1
6108.463,252.6992,1
5540.051,377.4822,1
5443.324,309.3447,1
5670.617,276.2039,1
5998.42,193.6753,1
6210.817,173.5935,1
6062.473,326.0754,1
5733.915,162.5747,1
5859.5,334.4507,1
5590.41,275.5193,1
5663.469,260.0532,1
5343.583,310.5156,1
5789.802,267.324,1
5996.171,202.6011,1
6057.162,187.2034,1
5750.794,219.7876,1
5856.459,309.46,1
5825.41,240.7004,1
5517.261,227.5134,1
6225.72,304.407,1
6627.315,174.8882,1
5756.824,176.8345,1
5706.242,287.8633,1
6064.648,245.8818,1
6125.464,218.4365,1
5628.648,255.936,1
5704.148,252.1423,1
6126.482,115.8394,1
5712.507,320.9817,1
2417.176,80.52222,0
6099.969,186.0962,1
6100.095,162.4888,1
5832.431,386.7781,1
6030.615,252.3643,1
5751.352,283.1047,1
5983.7,153.7522,1
5592.237,263.5198,1
6074.582,191.53,1
5800.505,246.2468,1
6118.758,173.8999,1
5671.326,215.3562,1
5584.296,298.1589,1
5612.229,156.5293,1
5757.621,261.5459,1
6387.81,159.3164,1
5676.652,253.052,1
5990.158,229.2402,1
6317.278,146.7346,1
