Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2187.983,362.9253,0
2294.896,381.8264,0
2293.125,348.505,0
2219.75,330.1067,0
2031.542,369.313,0
2404.724,315.4722,0
2254.772,294.4037,0
2338.808,315.7202,0
2226.777,339.1663,0
2240.073,287.7271,0
2256.082,305.2919,0
2224.555,419.3712,0
2396.632,237.6693,0
2203.699,313.6859,0
2291.362,398.2858,0
2387.078,319.0413,0
2234.059,340.6821,0
2176.042,403.4924,0
2476.604,262.0316,0
2217.909,370.7546,0
2266.218,301.4122,0
2278.99,355.6007,0
2361.785,350.6595,0
2279.299,289.0273,0
2289.498,355.3875,0
2265.611,290.3135,0
2234.096,375.7733,0
2458.74,304.5599,0
2169.269,328.7826,0
2149.927,338.0865,0
2381.712,251.3921,0
2156.731,393.897,0
2288.496,345.9351,0
2356.042,280.6694,0
2210.05,331.9509,0
2372.511,326.9719,0
2393.005,354.446,0
2258.019,292.6421,0
2287.071,324.6362,0
2324.094,339.6897,0
2384.962,285.863,0
2308.069,338.2758,0
2286.111,292.3843,0
2392.89,391.8833,0
2247.944,347.2849,0
2171.762,341.6149,0
2307.011,312.692,0
2232.844,317.4296,0
2410.759,313.4286,0
2328.615,320.8334,0
2156.046,362.834,0
2341.831,362.5247,0
2183.453,485.623,0
2278.696,339.0897,0
2410.08,397.303,0
2196.504,330.5144,0
2279.887,373.7396,0
2444.173,390.7292,0
2224.721,330.4553,0
2300.792,347.7787,0
2274.206,340.9209,0
2273.29,375.4232,0
2302.953,413.8799,0
2206.367,412.8997,0
2278.358,276.9158,0
2154.083,372.5405,0
2216.23,335.4448,0
2167.049,344.3243,0
2367.912,296.4698,0
2227.202,367.3796,0
2244.821,387.1702,0
2282.738,316.7957,0
2247.975,344.4424,0
2288.759,291.515,0
2340.384,321.4871,0
2326.212,307.1964,0
2279.555,349.5063,0
2260.789,332.793,0
2357.528,300.6035,0
2201.447,372.2032,0
2315.209,367.4597,0
2367.385,374.8091,0
2275.325,373.4817,0
2212.789,383.2601,0
2343.803,353.6768,0
2293.656,245.38,0
2306.868,301.9707,0
2248.348,276.3069,0
2286.193,337.2371,0
2295.725,278.5461,0
2440.819,236.048,0
2201.384,346.1017,0
2313.358,310.8845,0
2264.387,306.0107,0
2346.53,331.6952,0
2259.969,349.5822,0
2186.47,300.3849,0
2376.275,404.9767,0
2241.363,334.8955,0
2281.915,321.7083,0
2295.785,388.7085,0
2426.731,329.8008,0
2446.599,313.5679,0
2256.638,309.1071,0
2257.56,335.9569,0
2423.857,286.3022,0
2259.025,330.8003,0
2230.924,277.4703,0
2215.772,340.5022,0
2400.957,312.531,0
2234.723,377.7385,0
2168.628,362.134,0
2159.925,296.3575,0
2380.547,273.0544,0
2265.505,255.21,0
2299.975,332.2336,0
2304.957,373.451,0
2283.761,330.1208,0
2334.843,370.5535,0
2218.045,361.6792,0
2264.919,370.8065,0
2340.928,301.5406,0
2195.151,263.3362,0
2416.743,328.8143,0
2295.435,297.8334,0
2232.82,409.7836,0
2478.676,251.8695,0
2374.782,276.2001,0
2289.843,298.686,0
2257.572,282.2827,0
2299.797,309.4694,0
2318.111,278.1332,0
2301.758,252.0552,0
2194.225,341.4561,0
2244.256,381.0298,0
2273.094,329.5601,0
2343.04,318.7396,0
2214.027,366.1581,0
2431.422,343.1117,0
2187.442,343.895,0
2139.638,293.9081,0
2267.385,327.464,0
2215.465,342.6685,0
2182.15,366.6743,0
2274.075,289.5447,0
2389.896,408.1163,0
2279.668,315.7546,0
2401.436,369.0458,0
2155.384,381.9656,0
2234.653,294.6316,0
2255.816,332.1454,0
2227.142,380.4801,0
2099.823,358.5082,0
2288.279,293.9601,0
2180.652,334.6901,0
2253.141,291.847,0
2331.375,382.7646,0
2360.239,343.2754,0
2157.651,314.583,0
2388.206,347.5839,0
2235.143,252.5729,0
2345.106,335.4688,0
2343.686,313.0243,0
2252.51,376.3589,0
2213.374,272.2769,0
2295.719,282.5907,0
2222.214,296.1532,0
2278.102,321.0645,0
2160.329,330.1621,0
2343.72,366.0715,0
2313.09,300.9897,0
2429.851,409.266,0
2148.369,374.3013,0
2349.072,293.0746,0
2318.186,285.1592,0
2180.332,368.3723,0
2301.115,334.7667,0
2257.104,329.5314,0
2298.086,385.7086,0
2394.708,363.5012,0
2260.63,338.131,0
2375.466,298.3094,0
2355.071,329.8096,0
2334.359,279.0975,0
2259.613,352.1306,0
2288.607,337.3521,0
2255.948,337.6272,0
2275.192,297.5496,0
2172.059,416.5083,0
2281.488,321.2294,0
2403.409,258.2545,0
2398.64,347.6263,0
2216.028,402.4701,0
2268.93,374.4403,0
2432.977,315.0636,0
2367.886,299.6039,0
2388.551,322.9685,0
2213.004,299.4792,0
2171.89,342.9434,0
2266.317,353.6698,0
2215.897,339.9965,0
2307.441,346.4585,0
