Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemsan
2343.035,337.1908,0
2136.607,270.626,0
2442.986,310.8187,0
2303.831,344.1156,0
2165.905,247.0083,0
2407.138,335.368,0
2437.588,339.5544,0
2171.669,281.5574,0
2313.637,219.8141,0
2297.075,211.2219,0
2388.828,255.4402,0
2221.981,358.9058,0
2325.32,402.4523,0
2102.952,296.7496,0
2255.976,303.3949,0
2105.113,218.2012,0
2344.437,351.6984,0
2030.925,211.7526,0
2435.132,266.8744,0
2436.048,327.8724,0
2243.63,306.476,0
2394.979,258.2162,0
2262.978,278.2146,0
2345.104,289.1259,0
2374.676,237.7352,0
2059.152,291.4561,0
2142.675,279.9177,0
2109.927,273.1357,0
2248.722,229.0726,0
2042.86,280.9061,0
2264.116,353.5336,0
2148.316,306.6838,0
2131.104,318.2921,0
2220.334,278.3285,0
2255.245,308.6162,0
2178.014,264.5211,0
2344.449,273.2622,0
2270.951,278.5874,0
2146.415,216.6935,0
2260.178,265.6724,0
2114.906,234.1682,0
2239.957,282.3372,0
2245.733,256.2279,0
2037.503,214.6533,0
2271.721,374.8302,0
2288.904,371.4744,0
2188.831,226.2378,0
2238.68,337.4735,0
2445.196,281.5167,0
2314.465,302.9041,0
2519.104,263.209,0
1957.537,306.4691,0
2428.539,285.0253,0
2223.874,240.7292,0
2120.717,333.4645,0
2248.942,311.1018,0
2282.249,310.4357,0
2301.187,338.652,0
2353.848,222.0835,0
2264.35,337.8973,0
2495.41,341.3557,0
2200.427,176.9014,0
2367.246,359.9124,0
2075.004,285.8944,0
2273.868,367.4944,0
2082.269,235.0376,0
2416.563,350.6726,0
2388.875,281.2321,0
2394.005,321.6776,0
2578.927,237.5338,0
2403.226,333.5211,0
2367.816,357.5814,0
2166.101,338.6014,0
2182.891,296.6133,0
2275.975,387.9122,0
2445.751,283.1989,0
2436.978,342.859,0
2230.13,340.3268,0
2098.337,287.2878,0
2180.696,236.2819,0
2214.691,235.115,0
2284.227,309.6611,0
2263.279,398.6864,0
2259.49,274.8573,0
2268.316,310.7639,0
2370.738,295.0187,0
2279.034,312.8226,0
2356.261,315.1442,0
2292.762,303.8759,0
2294.308,289.2313,0
2325.697,268.6812,0
2420.17,308.3262,0
2343.55,390.8652,0
2230.67,313.223,0
2181.507,328.2603,0
1992.657,256.9414,0
2078.931,372.0364,0
2235.133,299.6289,0
2173.479,281.5789,0
2071.91,373.0364,0
2171.479,291.7687,0
2307.938,391.8082,0
2451.407,287.7437,0
2238.776,270.576,0
2184.859,264.5059,0
2253.467,387.3719,0
