Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemtak
1819.218,465.0938,0
1922.178,353.1053,0
1919.114,340.1124,0
1951.824,377.1022,0
1966.004,365.1238,0
1962.458,315.3229,0
1971.46,426.3325,0
1877.767,320.8901,0
1818.166,372.012,0
1892.357,384.7954,0
1851.889,355.6129,0
1708.151,324.0155,0
1861.239,334.1805,0
1847.126,375.9824,0
1887.36,316.7558,0
2031.478,354.3605,0
1967.879,385.0823,0
2098.812,270.5037,0
1821.447,402.3145,0
1864.149,311.0296,0
1935.713,366.15,0
1916.914,350.9949,0
1811.09,319.4633,0
1740.813,324.0211,0
1830.136,332.5707,0
1833.469,286.5599,0
1847.016,373.4369,0
1831.242,300.6245,0
1903.881,395.9352,0
1993.532,391.6866,0
2058.278,356.3181,0
1829.037,355.028,0
2061.236,296.8589,0
2059.693,298.2318,0
1761.409,373.4392,0
1847.545,291.5341,0
1986.044,357.342,0
1872.271,401.4915,0
1965.278,348.517,0
1951.12,293.3873,0
1778.897,335.5141,0
1926.809,370.3577,0
1777.724,281.5132,0
1770.246,318.1396,0
1952.4,319.4418,0
1836.973,357.1856,0
1832.438,339.134,0
1865.455,385.8641,0
2035.57,331.6812,0
2002.943,335.4296,0
1885.147,360.0017,0
1928.858,357.7516,0
1960.721,378.233,0
1978.311,334.1452,0
1921.157,379.8761,0
1983.654,371.0346,0
2021.992,277.5829,0
1851.529,410.6965,0
1994.663,340.0452,0
1943.654,413.7078,0
1889.459,431.2288,0
1938.483,269.0519,0
2037.577,300.0649,0
2085.109,302.8054,0
1947.239,360.9677,0
1975.2,358.7828,0
1918.965,366.3309,0
1955.109,430.2186,0
1853.274,349.637,0
1996.521,352.0297,0
1999.8,396.7327,0
1834.441,310.9967,0
1880.379,371.4521,0
1812.248,352.6581,0
1962.81,291.2886,0
1924.271,397.8956,0
1834.235,311.0588,0
1826.973,308.6786,0
2000.792,297.7032,0
1849.493,345.1924,0
1821.958,291.0515,0
1774.79,330.3274,0
1968.41,326.3077,0
1891.772,380.6067,0
1964.378,298.0099,0
1878.53,364.3293,0
1774.628,389.1932,0
