Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
1216.831,362.8202,0
1198.483,332.6566,0
1147.345,333.9039,0
1071.627,366.3909,0
1098.846,362.8084,0
1115.352,298.7546,0
1137.557,310.835,0
1089.507,280.4504,0
1171.894,350.4962,0
1137.942,321.1377,0
1111.533,299.72,0
1116.73,300.3535,0
1116.003,298.6562,0
1064.218,279.9642,0
1189.944,368.2677,0
1148.489,354.7618,0
1110.547,274.993,0
1164.434,258.0175,0
1113.959,352.2876,0
1057.229,374.1274,0
1229.312,341.318,0
1198.733,436.8591,0
1122.17,301.1732,0
1048.631,321.4704,0
1133.566,402.5937,0
1103.365,331.848,0
1272.354,234.1514,0
1158.677,327.0729,0
1038.393,261.8088,0
1080.858,274.2354,0
1112.777,301.8391,0
1137.891,359.9679,0
1027.219,345.917,0
1135.708,332.8219,0
1181.865,365.5045,0
1205.617,305.8688,0
1211.837,316.408,0
1185.136,319.3851,0
1224.708,361.7877,0
1133.759,374.7091,0
1074.218,439.8937,0
1071.17,392.4352,0
1050.614,268.7194,0
1217.737,372.6191,0
1097.373,305.9675,0
1091.966,374.0048,0
1023.736,324.8248,0
1152.032,358.0872,0
1087.377,316.6302,0
1177.207,327.1661,0
1150.524,347.2111,0
1243.438,329.7693,0
1144.632,360.5043,0
1150.925,297.7853,0
1129.687,406.3849,0
1151.649,366.2595,0
1204.656,340.7682,0
1221.82,385.5737,0
1149.952,345.4332,0
1080.056,322.7548,0
1133.266,315.2795,0
1148.716,406.4299,0
1190.966,403.4387,0
1084.774,358.7241,0
1158.947,416.7432,0
1097.841,299.7711,0
1185.763,397.0563,0
1063.108,319.3336,0
1133.389,472.7082,0
1077.369,358.8037,0
1111.383,341.7614,0
1066.03,309.3887,0
1161.629,332.6146,0
1109.203,310.3,0
1131.681,303.4533,0
1130.324,345.8301,0
1146.778,320.7195,0
1093.837,333.226,0
1154.961,417.239,0
1148.333,333.9947,0
1117.258,345.6121,0
1047.321,326.3531,0
1087.881,321.9141,0
1228.166,313.1364,0
1128.022,387.3994,0
1043.829,301.4897,0
1158.111,342.3033,0
1156.211,405.1915,0
1159.083,324.559,0
1222.904,337.8046,0
1107.231,260.2444,0
1042.656,302.8183,0
1079.373,320.3514,0
1131.491,325.4594,0
1139.341,401.6674,0
1188.631,322.2197,0
1015.659,330.9691,0
1139.465,341.9965,0
1137.242,311.6408,0
1111.116,312.8365,0
1141.95,299.3488,0
1121.633,377.8146,0
1030.103,333.8204,0
1122.393,374.2769,0
1180.917,350.4828,0
1227.787,308.9204,0
1090.362,317.6057,0
1100.312,347.1747,0
1144.017,288.0227,0
1217.672,401.7625,0
1096.495,295.6637,0
1196.341,366.0262,0
1157.094,382.7228,0
1075.628,275.7512,0
1146.235,321.4072,0
1113.674,303.7028,0
1148.208,317.6909,0
1149.077,378.4572,0
1157.688,339.9199,0
1048.135,345.1413,0
1127.845,252.9522,0
1215.397,320.1855,0
1094.641,450.3937,0
1168.3,401.5088,0
1109.889,408.1637,0
1115.271,354.636,0
1215.228,338.963,0
1132.581,319.2053,0
1263.061,346.1352,0
1182.953,344.2581,0
1173.222,320.8073,0
1139.298,329.6154,0
1174.626,359.3226,0
1238.437,393.7222,0
1051.62,280.8116,0
1090.053,320.2047,0
1057.762,350.6626,0
1135.51,334.1722,0
1214.311,288.1722,0
1073.734,331.0567,0
1080.564,343.6698,0
1174.892,321.4271,0
1161.922,397.9053,0
1135.486,375.8851,0
1111.812,376.7281,0
1106.153,302.5025,0
1038.426,277.3386,0
1030.427,340.3825,0
1086.982,299.625,0
1139.028,428.9161,0
1143.54,454.9219,0
1186.585,372.4189,0
1123.802,289.4931,0
1022.712,358.4067,0
1228.957,328.277,0
1140.237,338.8895,0
1091.625,401.1889,0
1185.308,360.9583,0
1171.702,310.2279,0
1176.52,385.6198,0
1140.623,314.3755,0
1136.298,362.5353,0
1055.674,329.5596,0
1113.754,288.3555,0
1084.807,326.7264,0
1156.256,319.3918,0
1224.577,374.8608,0
1152.555,344.5236,0
1185.772,334.0231,0
1138.219,361.1953,0
1098.883,340.2934,0
1169.895,250.7606,0
1186.364,377.8919,0
1190.855,387.6291,0
1043.698,376.1724,0
1261.242,330.726,0
1190.061,378.8997,0
1180.018,416.9968,0
1064.438,400.5402,0
1120.152,349.1655,0
1242.554,330.688,0
1175.85,331.6152,0
1161.993,339.7953,0
1179.989,401.6511,0
1159.967,359.1521,0
1062.573,338.964,0
1203.394,376.4226,0
1254.516,305.8436,0
1209.386,369.4555,0
1103.39,347.5463,0
1210.241,415.1296,0
1147.936,346.2476,0
1107.267,384.6135,0
1127.035,337.0663,0
1250.761,342.256,0
1107.033,379.5988,0
1205.433,344.2238,0
1219.073,329.1624,0
1160.233,288.6404,0
1037.063,354.6131,0
1140.906,334.1704,0
1169.339,337.9803,0
1056.421,304.5401,0
1083.37,329.5682,0
1191.988,355.1038,0
1057.958,346.0981,0
1171.966,340.7542,0
1138.44,378.7455,0
1227.315,374.698,0
1191.214,344.2698,0
1201.459,345.515,0
1167.786,366.9327,0
1201.63,361.2165,0
1091.205,332.0011,0
1064.105,296.7576,0
1143.675,355.9384,0
1135.708,338.8137,0
1157.357,370.0966,0
1207.746,381.8842,0
1236.432,300.8804,0
1080.728,399.2479,0
1067.117,332.8184,0
1117.309,278.8672,0
1259.074,382.8223,0
1165.168,408.5507,0
1206.476,359.2618,0
1150.035,333.5737,0
1106.72,354.7333,0
1226.963,389.0694,0
1041.466,316.0247,0
1035.213,343.2112,0
1052.097,280.7209,0
1256.624,369.408,0
1171.484,300.7955,0
1258.23,449.0336,0
1131.792,301.7766,0
1219.341,336.4453,0
1190.645,345.1721,0
1088.162,376.0864,0
1186.986,411.6455,0
1116.951,321.9289,0
1178.523,382.7063,0
1058.102,316.8817,0
1151.61,397.6022,0
1039.674,312.353,0
1157.683,329.2958,0
1191.381,306.8189,0
1228.128,297.2538,0
1117.155,424.2842,0
1108.237,269.1177,0
1164.3,278.3021,0
1130.87,345.1385,0
1115.66,356.6638,0
1142.626,328.9923,0
1223.068,335.5936,0
1168.565,312.5536,0
1229.286,366.4038,0
1106.263,390.3674,0
1130.033,417.4109,0
1122.343,395.1299,0
1030.217,365.0394,0
1067.222,287.5611,0
1125.705,351.2734,0
1185.939,425.2217,0
1156.494,306.4328,0
1188.977,405.4274,0
1189.354,302.6473,0
1209.071,359.194,0
1263.827,273.8243,0
1144.3,357.452,0
1098.844,289.545,0
1200.761,362.8728,0
1125.189,358.3066,0
1104.341,275.4621,0
1091.265,364.2819,0
1190.481,297.6849,0
1198.300,628.0,
1116.773,425.8785,0
1216.401,349.4089,0
1087.118,282.9104,0
1168.06,363.1077,0
1179.256,283.4375,0
1100.596,320.728,0
1184.897,379.8528,0
1166.906,364.9186,0
1060.833,316.7034,0
1089.626,330.4971,0
1099.137,347.4603,0
1184.794,379.5087,0
1156.353,418.2728,0
1194.142,374.6207,0
1180.582,382.0925,0
1192.806,352.3673,0
1147.018,276.8157,0
1177.138,377.3361,0
1110.482,262.8104,0
1075.913,443.0541,0
1156.363,382.9513,0
1122.37,321.1314,0
1151.83,389.2135,0
1139.648,339.3867,0
1152.893,360.4076,0
1091.644,333.5071,0
1131.625,286.0755,0
1109.459,273.9637,0
1148.19,367.8849,0
1161.636,319.9443,0
1027.17,330.1803,0
1156.623,339.981,0
1219.137,309.889,0
1145.561,340.4286,0
1100.007,358.7642,0
1100.691,338.2878,0
1143.634,368.3986,0
1068.927,394.0389,0
1199.394,358.2091,0
1135.515,335.3571,0
1095.993,303.0645,0
1125.13,384.803,0
1106.627,363.03,0
1158.684,313.6931,0
1160.026,388.289,0
1247.451,354.2498,0
1215.439,305.0637,0
1143.568,327.5602,0
1169.056,412.259,0
1125.19,400.2483,0
1185.746,339.2747,0
1257.774,367.3273,0
1214.095,418.3388,0
1068.625,412.5831,0
1195.637,425.8833,0
1197.001,355.403,0
1126.12,381.9865,0
1234.001,321.8465,0
1279.879,333.3571,0
1219.803,378.7992,0
1138.63,288.8156,0
1066.146,307.4762,0
1183.741,401.7199,0
1124.288,328.8755,0
1164.192,376.4091,0
1160.592,374.8298,0
1132.587,345.9775,0
1188.997,403.2938,0
1106.566,278.3198,0
