Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Colper
1075.652,263.8707,0
1080.421,249.3427,0
875.576,243.5976,0
1245.286,318.2192,0
981.9565,194.7726,0
1499.412,379.0109,0
945.5909,177.0694,0
1202.024,363.3948,0
959.6676,271.1456,0
1259.039,381.5994,0
900.2178,222.5451,0
916.9921,262.8129,0
1053.332,200.7075,0
935.0274,175.8826,0
1179.286,358.9316,0
925.252,247.3584,0
1283.509,362.4999,0
1261.517,399.8745,0
916.4676,251.9334,0
966.4876,196.1661,0
1467.62,420.3208,0
1050.647,311.6227,0
1166.982,395.1719,0
906.0679,188.3884,0
1267.941,520.769,0
952.918,236.4741,0
1308.722,386.5216,0
1256.395,386.8351,0
967.442,181.6358,0
1366.001,392.3002,0
1001.072,196.0321,0
1356.24,366.0295,0
1310.296,478.5082,0
1258.248,422.6713,0
917.4781,211.7312,0
877.4764,239.6329,0
955.89,247.0476,0
1273.59,362.3584,0
970.0524,182.8038,0
1380.164,370.5555,0
1210.528,292.4445,0
1312.958,391.868,0
1248.979,393.6365,0
1371.857,366.3113,0
1149.171,421.5348,0
1106.265,219.0336,0
1353.121,277.2834,0
1326.952,518.6054,0
1317.13,441.4512,0
1322.93,519.907,0
917.0837,228.054,0
849.6669,203.5604,0
1381.09,416.0201,0
1294.538,500.7603,0
907.2834,271.3215,0
1174.85,359.3139,0
1299.507,482.0681,0
1360.612,461.4833,0
885.4304,255.259,0
1209.119,319.2026,0
994.7552,211.2899,0
1179.696,401.2816,0
1297.093,421.0991,0
1175.833,305.4889,0
996.0468,207.9258,0
1266.339,420.6996,0
1322.064,431.0724,0
1379.727,438.0384,0
1348.255,396.9424,0
1146.925,365.8386,0
1379.888,493.3182,0
1021.253,252.0157,0
1290.005,421.7645,0
1390.225,407.5968,0
1390.578,426.2507,0
1055.917,277.5772,0
969.5714,219.6427,0
893.1264,224.6619,0
1096.702,474.2205,0
896.8005,196.4192,0
946.3386,201.4533,0
1240.033,369.8001,0
1451.653,479.0151,0
1415.537,378.95,0
1336.219,333.4531,0
1295.384,372.9236,0
1303.645,369.103,0
1036.622,274.1955,0
961.4276,224.6653,0
912.8514,239.8288,0
1239.516,412.645,0
1028.487,250.1441,0
828.0408,220.8363,0
948.4543,144.0875,0
1387.538,307.0965,0
1308.549,427.8955,0
664.2157,108.5431,0
1254.575,358.5729,0
1000.473,262.6276,0
909.2998,183.9566,0
1414.696,508.3575,0
1584.615,537.8617,0
1393.765,414.1837,0
869.2925,222.871,0
1328.419,436.0769,0
1302.357,412.8888,0
915.4814,229.4777,0
957.5517,227.8427,0
1196.891,360.8505,0
902.6493,178.0222,0
1286.371,410.0377,0
901.1131,208.6091,0
1270.257,484.3329,0
968.2988,171.8117,0
897.9728,233.0638,0
1195.003,361.6401,0
956.0051,244.0922,0
904.6968,241.7921,0
829.2822,237.5024,0
1304.193,433.5551,0
1213.619,396.6434,0
844.4547,225.0091,0
1003.86,238.1802,0
1218.57,416.7753,0
1047.35,214.1447,0
1360.401,386.6708,0
1296.047,383.459,0
1022.842,241.9953,0
1042.453,209.5699,0
902.2695,272.496,0
1210.289,383.5858,0
1302.764,369.6896,0
1196.727,405.535,0
1036.726,268.1983,0
857.3604,340.1117,0
926.1809,214.3105,0
1316.245,342.4575,0
1025.629,231.1635,0
1117.99,263.2094,0
1264.226,413.2346,0
1174.963,387.728,0
1311.233,364.5432,0
902.8312,189.7226,0
1340.034,432.5115,0
1031.146,247.1165,0
958.4198,158.1304,0
1182.524,392.6407,0
960.8512,229.3404,0
1071.52,222.8967,0
909.9338,272.2755,0
1278.891,323.2783,0
1193.05,379.1748,0
1035.716,163.9318,0
1255.196,347.8302,0
1251.384,334.0325,0
1247.361,364.288,0
876.6519,300.3215,0
1209.294,320.0834,0
1310.082,393.4252,0
1005.012,253.5668,0
1337.435,412.4005,0
917.6,198.2535,0
1212.36,385.266,0
1271.223,372.0103,0
1012.328,237.9247,0
1066.229,241.345,0
1220.436,501.9132,0
1202.049,413.4261,0
1187.626,417.7363,0
1320.815,453.7947,0
1337.501,342.7697,0
871.8888,263.8969,0
1000.562,249.5336,0
1655.011,626.1205,0
1302.011,376.3472,0
939.5892,228.1389,0
1226.786,340.7511,0
1166.334,245.526,0
1188.445,351.6293,0
1287.17,373.3224,0
938.9421,229.3747,0
1223.186,384.849,0
947.4544,220.4224,0
1227.241,340.609,0
1262.937,448.5268,0
1318.415,305.2714,0
1269.516,343.0109,0
1290.982,407.1236,0
1257.768,459.3547,0
1427.926,472.4343,0
1224.864,363.7695,0
929.4752,120.6729,0
1328.959,371.9109,0
895.0219,235.1009,0
1306.395,426.2186,0
1200.696,462.498,0
927.8328,250.3394,0
1329.602,440.6742,0
926.905,204.3425,0
1016.161,294.3315,0
1312.107,439.2391,0
1424.075,322.006,0
1282.531,429.5754,0
1032.603,226.2624,0
1274.882,351.4222,0
1246.286,407.8857,0
1354.84,440.5154,0
945.6348,278.54,0
1029.147,246.0707,0
852.7115,254.9379,0
939.7583,250.7564,0
725.8172,132.4778,0
1000.9,283.1845,0
1204.452,356.6532,0
937.0072,295.5507,0
1227.427,402.851,0
1233.849,376.3429,0
970.9156,181.3425,0
1265.037,435.6423,0
1119.253,246.217,0
764.7526,279.9263,0
909.4954,231.7065,0
1297.507,316.4063,0
1405.742,431.5288,0
1078.591,211.3188,0
1357.611,342.7569,0
1001.251,245.692,0
797.861,259.6213,0
1295.012,320.7987,0
1324.108,447.9798,0
1165.408,314.2709,0
899.6947,268.8464,0
1478.854,482.6091,0
1263.798,380.6247,0
1327.458,492.8666,0
1228.797,430.2174,0
1037.464,289.757,0
857.1641,253.3877,0
1383.116,425.6027,0
1262.869,350.2858,0
898.6257,204.8627,0
943.4948,158.4588,0
1303.89,394.3235,0
976.8135,241.7611,0
1117.776,272.2854,0
928.0524,279.1466,0
1298.754,516.4052,0
882.9844,250.3108,0
891.5146,231.2643,0
943.5739,231.0021,0
1293.337,410.3548,0
956.9313,181.0528,0
1425.839,458.8481,0
904.1813,177.357,0
957.0388,278.9146,0
1200.345,358.2887,0
1346.253,345.5953,0
1280.78,327.2159,0
958.3612,217.9116,0
1193.969,290.7642,0
1318.846,370.2108,0
698.5589,156.5223,0
945.8339,232.7924,0
1226.958,407.6232,0
1382.707,372.8879,0
1182.727,431.7891,0
952.0895,187.382,0
1197.396,388.4061,0
1018.175,259.3758,0
904.4542,183.7015,0
1274.698,368.2773,0
1183.057,344.3087,0
1397.148,432.3201,0
958.735,253.6918,0
1211.629,335.258,0
1116.957,281.426,0
1345.629,392.492,0
1279.567,426.9457,0
977.3484,204.1645,0
969.5795,307.8754,0
918.3149,276.5237,0
974.093,168.8919,0
972.0098,256.1797,0
1334.309,365.0038,0
944.6691,248.5857,0
830.8899,206.9464,0
993.9337,219.7462,0
963.885,228.4167,0
1219.47,296.8958,0
1446.23,344.5307,0
897.6451,137.9531,0
1003.299,120.7434,0
1360.143,528.2387,0
1030.233,236.7045,0
1161.059,327.2515,0
1284.375,467.9499,0
1227.971,407.1251,0
1278.449,390.779,0
841.0785,177.3883,0
1270.282,440.5436,0
1331.815,362.3717,0
1284.841,399.6168,0
1111.167,226.2545,0
956.9602,323.9192,0
1452.046,368.6662,0
1386.091,488.4175,0
1223.874,385.8854,0
1323.443,370.0712,0
882.3129,212.5454,0
1371.563,415.2003,0
1205.508,305.5497,0
1371.271,491.07,0
1265.423,406.6669,0
1200.101,355.5484,0
1039.414,305.175,0
1368.982,468.8234,0
1574.571,510.1407,0
1275.297,321.3947,0
1195.952,388.7755,0
937.0793,171.4508,0
1165.999,344.9003,0
1325.284,464.7119,0
1205.117,360.7419,0
927.8411,229.0157,0
893.3413,162.2472,0
933.0164,188.2697,0
884.995,248.4024,0
1222.294,398.6214,0
1322.757,431.0092,0
1027.2,279.3203,0
1319.087,397.3935,0
1352.581,451.8413,0
1033.075,219.5505,0
1024.064,220.2895,0
951.3597,199.2332,0
1249.48,356.5645,0
920.8723,211.9703,0
941.078,179.9805,0
1370.911,495.2072,0
1271.675,395.9227,0
837.9177,174.875,0
947.4332,236.0909,0
1007.374,188.4925,0
1333.204,412.4858,0
1227.678,426.8693,0
997.4378,334.3872,0
1339.781,311.215,0
1183.009,341.947,0
910.6721,246.2306,0
1268.236,447.2156,0
1256.944,401.2372,0
841.3446,243.6606,0
903.7258,180.2477,0
933.8072,203.5861,0
1211.379,313.3189,0
793.7545,186.0338,0
871.6789,329.4019,0
845.7578,252.5103,0
903.3986,254.9215,0
981.9088,330.5171,0
1199.106,362.7014,0
1161.983,300.3582,0
1286.467,332.4464,0
1273.737,365.1954,0
1198.417,334.9724,0
1265.823,386.4738,0
1277.794,431.9733,0
1001.774,210.3348,0
1159.768,358.3569,0
939.2692,253.3821,0
1299.401,360.4643,0
1250.257,370.6468,0
1303.19,361.6855,0
1009.821,190.1934,0
912.7361,290.7928,0
918.65,241.555,0
955.9913,227.6931,0
1110.734,222.1486,0
930.4119,237.5067,0
855.5137,172.6781,0
1064.058,284.7842,0
1081.394,298.9889,0
950.8737,179.1189,0
957.9296,269.9139,0
1262.081,415.5574,0
1456.398,447.575,0
1291.671,341.492,0
946.8672,215.8444,0
1191.369,300.5894,0
985.6217,166.5777,0
1373.797,407.7976,0
1334.396,287.4988,0
1347.048,356.077,0
1006.819,256.1897,0
848.4171,228.9687,0
1008.194,214.0513,0
872.6923,195.0534,0
907.7829,184.6222,0
958.8682,217.4063,0
1226.71,317.8158,0
885.3882,249.3414,0
1310.938,383.8218,0
1405.79,367.319,0
928.7354,244.442,0
1001.572,230.2128,0
879.9195,195.1526,0
867.8165,290.906,0
939.1788,219.1677,0
866.9063,243.9651,0
1266.563,392.2202,0
1233.699,385.3671,0
1006.505,298.4262,0
1378.944,478.2112,0
939.9233,208.4867,0
1222.327,464.4737,0
1296.76,305.9021,0
1177.438,412.2503,0
976.1121,258.3487,0
995.0652,288.6054,0
1305.466,330.0332,0
1060.63,221.2777,0
802.6223,240.7169,0
984.3258,295.4264,0
905.6237,223.8191,0
1305.341,394.6693,0
1040.124,223.3782,0
1326.676,457.3788,0
885.6226,194.8071,0
1418.82,424.134,0
1275.702,411.7346,0
1161.593,437.7883,0
1285.451,360.4523,0
927.6946,276.5763,0
1304.44,528.6776,0
1312.353,406.8984,0
967.4513,216.7714,0
1257.658,450.4869,0
1027.06,203.3694,0
951.1481,214.7724,0
900.563,156.7357,0
1218.05,365.5706,0
989.3216,279.599,0
896.8594,206.112,0
1017.453,268.4334,0
1208.4,438.9876,0
1242.427,375.4851,0
1247.553,341.8318,0
1240.048,437.9818,0
957.8433,293.6542,0
1080.156,179.4846,0
1060.407,259.0251,0
904.0446,208.5418,0
1220.291,393.5788,0
1221.112,303.623,0
1284.052,292.4725,0
1031.107,234.8698,0
971.8583,287.9968,0
875.0007,236.6331,0
1268.47,439.0966,0
961.5031,332.0627,0
1066.101,322.7789,0
960.924,240.8791,0
1207.622,364.3669,0
961.5773,247.9402,0
873.3586,310.2483,0
1354.776,387.7399,0
1169.632,342.0545,0
1268.918,430.4418,0
983.7648,327.2556,0
1358.593,465.3964,0
1241.148,356.9731,0
921.8156,210.6192,0
915.2053,170.433,0
883.687,157.2551,0
933.5657,223.9594,0
1058.177,223.813,0
959.7612,189.2457,0
1335.422,384.2583,0
1371.131,464.5599,0
1388.89,414.6205,0
1213.652,429.0637,0
968.2186,293.6369,0
904.9634,210.0148,0
872.4012,254.5376,0
895.0592,233.1105,0
805.5736,173.5052,0
1003.204,249.6135,0
972.637,208.2546,0
970.2955,284.8146,0
1375.942,399.3745,0
986.3713,289.6603,0
863.4933,201.5152,0
1284.108,351.7568,0
903.8447,247.0907,0
867.0975,198.1883,0
968.4213,279.8396,0
1320.297,439.1812,0
913.0036,252.6316,0
1327.136,381.769,0
1095.08,250.9089,0
870.4859,214.0429,0
1271.946,376.5933,0
1264.092,409.7676,0
1250.465,282.4855,0
958.6041,169.7377,0
916.3811,202.1071,0
1261.376,403.0993,0
1240.868,437.3168,0
930.0235,196.6009,0
1150.401,394.3282,0
1225.264,349.5869,0
1417.272,417.249,0
1169.486,470.6233,0
907.6073,243.9029,0
1231.392,487.9514,0
982.3188,168.4587,0
1247.325,394.2464,0
1232.188,381.0133,0
926.4295,228.2017,0
1003.446,185.3086,0
1248.898,408.412,0
1226.975,381.6086,0
938.6681,269.4757,0
1221.093,422.6337,0
1253.573,329.8641,0
941.6705,300.6686,0
1362.077,483.9977,0
865.2328,250.1952,0
901.5989,220.3733,0
1047.131,201.1795,0
1421.538,471.7715,0
1203.895,323.8345,0
1225.294,410.2749,0
969.6663,268.269,0
893.6754,245.0698,0
901.9813,208.8707,0
1265.917,384.748,0
1041.035,277.2513,0
1045.121,206.3352,0
1452.898,450.1099,0
966.3275,244.9531,0
878.7541,233.491,0
1023.661,203.6269,0
1259.688,399.9007,0
884.9462,316.7645,0
838.1854,216.1181,0
983.6754,284.2352,0
1249.769,507.6611,0
808.5844,216.9986,0
972.5623,313.7592,0
1454.852,394.6235,0
1354.644,532.448,0
1366.779,404.0425,0
974.7695,185.9864,0
1336.092,434.8363,0
936.8478,247.9145,0
947.6689,295.1865,0
1156.617,245.7788,0
866.7882,216.6617,0
1585.518,478.4696,0
1160.152,453.284,0
1173.156,375.6678,0
1306.456,419.3475,0
1055.338,283.9315,0
1008.274,292.9351,0
950.8753,246.201,0
1392.607,473.2673,0
1382.781,413.8786,0
1290.645,377.6382,0
1240.229,357.585,0
1320.097,442.9768,0
1201.796,387.2367,0
911.9443,306.9674,0
1033.143,233.1854,0
1365.625,358.1013,0
1354.947,475.6715,0
838.9094,347.1259,0
1214.434,326.1487,0
1001.521,280.0279,0
1138.619,336.013,0
1468.738,407.9059,0
1331.479,427.8618,0
1243.397,395.0869,0
1298.953,455.9788,0
1169.403,415.6344,0
1318.668,398.2886,0
1009.107,345.2938,0
991.6127,198.1486,0
918.2538,261.2645,0
865.2068,223.7367,0
958.3304,176.3407,0
859.4749,199.1761,0
960.0017,276.6554,0
1315.603,355.4142,0
930.648,196.5415,0
1350.848,361.964,0
888.5569,169.2315,0
888.7143,171.3241,0
1026.764,265.111,0
1313.132,327.2159,0
1326.908,257.8808,0
910.36,289.5054,0
1248.706,364.8082,0
882.0577,276.1569,0
943.8061,193.3253,0
1173.397,356.4236,0
871.7692,200.4677,0
965.4329,143.9868,0
1291.943,321.8694,0
1279.881,432.8052,0
868.6161,284.2997,0
882.42,214.3752,0
955.3253,295.9667,0
934.5302,253.4159,0
1148.654,308.1586,0
1249.31,426.4731,0
1030.922,260.1129,0
1364.74,442.6705,0
1198.687,388.8214,0
900.9709,184.2506,0
1025.235,290.9592,0
905.3488,214.1295,0
934.7801,262.5471,0
918.8601,234.0781,0
869.1519,236.8046,0
988.4272,270.3358,0
923.4023,243.3348,0
1047.027,253.4924,0
1386.432,470.233,0
939.4995,245.9044,0
1055.935,292.0549,0
1243.422,349.7299,0
1338.262,350.5852,0
903.9343,239.0667,0
1186.242,376.1301,0
939.0415,253.2447,0
1049.95,201.4487,0
1252.128,307.1959,0
930.5721,222.4997,0
1206.63,397.2818,0
990.173,301.5868,0
1349.275,431.986,0
913.4233,302.8443,0
1398.238,451.182,0
930.7894,266.7881,0
1294.503,402.4769,0
1278.915,484.4111,0
1074.128,354.2705,0
1383.564,462.0405,0
1254.828,345.5866,0
1222.376,311.6789,0
1383.104,449.0198,0
933.0637,187.039,0
1263.746,314.5017,0
1301.928,321.1451,0
955.7159,300.0496,0
1302.495,454.7782,0
936.3729,236.1948,0
1368.459,395.2425,0
1396.306,411.1769,0
1277.276,398.9677,0
1371.077,397.08,0
890.5217,185.4352,0
1021.141,273.6614,0
1272.138,406.2385,0
1019.246,216.2423,0
1259.648,364.667,0
904.4185,198.7486,0
1099.858,438.3833,0
976.8047,205.0047,0
899.8275,203.3863,0
1308.352,397.1653,0
1203.343,375.4598,0
1263.734,351.7918,0
1297.826,465.5291,0
1221.272,343.8732,0
989.7024,284.9642,0
1389.862,384.1112,0
1301.993,435.089,0
958.1492,169.7506,0
967.7344,288.2173,0
796.0786,257.3687,0
809.9658,222.4177,0
1355.844,417.2424,0
946.0302,198.3802,0
971.8932,254.3386,0
1031.884,223.4359,0
892.9294,239.9583,0
855.147,218.5835,0
934.1068,266.8457,0
989.2781,212.6598,0
835.6753,229.3174,0
942.9751,211.708,0
955.02,192.0247,0
1185.942,288.5974,0
1188.392,365.6951,0
1216.974,410.4969,0
846.8667,218.9677,0
883.4936,269.0937,0
964.9764,198.0828,0
1032.502,167.489,0
918.311,209.599,0
1239.731,429.7055,0
1217.534,377.914,0
928.6136,185.4846,0
918.1773,267.7887,0
1199.925,313.7014,0
887.4185,187.9487,0
1257.553,463.0942,0
938.9216,239.2909,0
1266.39,413.3823,0
808.9443,256.4303,0
811.4836,254.0616,0
811.4968,293.0262,0
971.402,226.7416,0
869.0772,209.4792,0
985.6511,314.0768,0
992.7084,315.1894,0
1399.619,434.1208,0
1161.257,352.2893,0
1005.688,235.9681,0
1311.474,421.5767,0
1135.03,362.8193,0
1175.178,430.8763,0
949.5494,258.7559,0
1323.037,485.1159,0
954.9793,222.7717,0
1005.937,162.5071,0
999.3015,200.7792,0
982.2668,266.1986,0
1187.31,295.5339,0
1251.432,375.3317,0
890.3196,255.7761,0
1220.603,320.445,0
879.3257,230.367,0
1211.461,394.3083,0
788.3199,229.0368,0
1231.915,368.111,0
1280.491,444.4565,0
951.6873,250.85,0
848.2605,248.6779,0
905.2042,226.9314,0
937.6216,266.3773,0
1354.584,403.9106,0
1271.652,375.9995,0
1317.657,426.6636,0
1030.632,181.0652,0
871.5366,226.2579,0
961.5029,180.1408,0
899.8579,251.514,0
960.5547,258.9225,0
1211.037,386.7128,0
1225.032,355.0292,0
1316.532,379.9182,0
1212.932,450.7853,0
1191.007,389.9713,0
1268.086,350.5444,0
937.546,229.537,0
916.5441,208.2063,0
1240.069,414.6608,0
913.4998,261.9672,0
1296.965,404.3576,0
1312.482,503.0308,0
942.9571,256.8642,0
741.6436,207.5457,0
928.7115,222.5961,0
992.1504,326.8133,0
1236.961,387.7288,0
1262.874,403.15,0
864.547,215.5271,0
1303.089,374.1464,0
904.2939,210.2581,0
985.5209,201.625,0
983.6416,173.9772,0
1230.607,320.7662,0
1350.303,397.8906,0
1334.313,402.8971,0
899.0053,229.6543,0
915.3947,243.6243,0
1288.064,380.3517,0
1125.174,384.3542,0
1038.638,157.2612,0
1540.459,451.6899,0
1024.252,322.6477,0
1191.439,360.9208,0
1354.997,359.7606,0
1177.511,374.1896,0
1302.841,305.5115,0
1387.233,371.267,0
1162.268,356.7375,0
1205.331,422.1512,0
915.1474,215.5821,0
996.0284,257.1597,0
1050.058,543.3477,0
914.4742,215.1018,0
1270.049,434.2708,0
933.7152,202.506,0
1018.335,314.0881,0
988.5303,290.685,0
1262.346,338.8973,0
920.4908,268.9796,0
1055.586,309.584,0
935.2261,248.9695,0
1159.655,378.1126,0
945.9705,281.8865,0
912.3038,229.876,0
948.1522,245.925,0
882.9139,208.68,0
900.0476,255.248,0
987.8584,272.795,0
1273.673,330.974,0
1227.632,389.6657,0
910.9058,182.5005,0
1437.221,436.8181,0
907.3794,208.9656,0
1014.099,220.7607,0
801.0856,204.6013,0
948.1584,246.3463,0
940.8835,254.1683,0
877.6685,167.6662,0
1091.986,255.5588,0
1268.98,335.7144,0
872.4367,135.4475,0
1018.71,261.8116,0
930.9287,228.5353,0
1189.293,322.4485,0
916.6612,325.579,0
1431.372,384.0241,0
1047.99,315.0612,0
