Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
951.0236,306.2166,0
911.2747,352.3793,0
1040.564,332.5828,0
955.6285,386.8916,0
952.1209,363.4911,0
1078.543,342.3191,0
984.8229,379.4965,0
968.4544,429.7581,0
1080.939,383.5309,0
1021.852,362.8726,0
1002.665,443.2462,0
1048.612,402.8334,0
1049.741,396.1923,0
1062.378,338.3097,0
1039.352,357.9542,0
927.6841,308.1594,0
998.1333,383.8367,0
923.9713,315.044,0
1015.361,430.6143,0
1073.381,350.2619,0
1003.01,305.6525,0
1024.182,320.754,0
972.1909,382.7548,0
1048.098,346.9179,0
922.2483,321.3739,0
1025.913,347.5067,0
1027.481,294.7661,0
969.1218,340.5784,0
960.5126,283.1501,0
972.6329,387.0671,0
1073.314,351.2585,0
1001.902,333.7458,0
1044.215,379.4515,0
1017.156,386.0494,0
974.9308,428.5235,0
1011.64,297.6435,0
981.3815,309.0349,0
954.3981,389.9334,0
1071.345,341.448,0
1017.979,336.6453,0
972.874,363.4335,0
911.6781,349.6161,0
989.715,289.447,0
986.8583,400.9467,0
947.4534,333.0462,0
1001.727,413.1086,0
1008.665,374.5887,0
1051.707,288.307,0
995.8266,348.6231,0
1009.379,356.0346,0
1023.749,363.3354,0
1022.007,415.7167,0
984.8679,421.036,0
912.1529,282.1261,0
1009.587,380.838,0
914.604,378.4578,0
1028.304,388.6606,0
939.3233,348.5375,0
870.8456,328.293,0
852.3062,328.1003,0
972.6624,446.0095,0
1010.249,362.9835,0
988.6904,388.3272,0
988.567,340.9255,0
912.6683,297.1756,0
898.7111,453.845,0
980.6907,396.6332,0
882.4347,315.2423,0
1050.258,350.0677,0
1103.417,377.8513,0
878.2032,315.5837,0
970.8174,443.3635,0
900.2121,508.5431,0
1044.907,296.4794,0
908.1578,354.7395,0
982.836,369.946,0
956.3448,338.4797,0
1054.701,362.6416,0
952.3511,447.2726,0
963.1379,294.9904,0
1017.54,285.786,0
965.8017,350.5349,0
1005.423,350.7462,0
997.5181,321.559,0
992.7854,420.1765,0
960.011,303.3673,0
1008.514,376.2792,0
1018.271,429.5445,0
983.3356,440.3487,0
905.9513,341.6777,0
1029.122,352.3187,0
935.4084,314.1406,0
1021.786,317.1567,0
957.389,300.3646,0
1006.12,333.2244,0
977.767,302.5255,0
946.0158,339.8314,0
1070.255,349.0157,0
952.3257,369.1237,0
921.0426,329.749,0
975.8881,380.0864,0
955.2751,457.335,0
1037.916,365.2961,0
1088.551,360.7636,0
975.5799,336.8066,0
1069.796,384.7281,0
976.1969,329.5168,0
1040.197,318.4934,0
993.2817,449.5143,0
1009.869,372.8784,0
989.8793,401.0488,0
922.5088,265.4231,0
959.9685,290.2329,0
967.1932,333.2654,0
1011.08,344.172,0
920.4973,296.4,0
1033.62,405.3069,0
1026.648,419.7234,0
951.3163,323.6545,0
954.4041,393.7469,0
1002.454,426.3996,0
1030.989,398.3133,0
993.5234,261.228,0
1020.508,386.8609,0
1020.276,368.8232,0
985.7224,344.5078,0
995.2396,381.63,0
1032.55,369.4124,0
1016.394,368.9464,0
987.7655,356.9435,0
1020.274,341.0989,0
998.0673,414.7278,0
1071.267,373.5125,0
1055.111,330.2546,0
1006.181,364.513,0
1022.801,411.8947,0
952.3875,348.075,0
1043.05,339.6176,0
1017.906,355.9073,0
1069.211,371.7128,0
879.5357,302.4904,0
988.1484,423.6659,0
962.7937,350.2648,0
899.5092,338.8383,0
1037.362,388.5043,0
1026.501,313.5593,0
1069.632,363.1464,0
998.9887,340.4329,0
996.5914,369.531,0
879.3757,301.1017,0
1042.05,342.7324,0
896.7498,365.4071,0
1036.894,372.4204,0
1028.441,319.7043,0
991.2494,302.5817,0
995.0345,344.1854,0
1013.996,400.3924,0
989.6356,322.3954,0
1036.531,391.2366,0
936.2689,303.1325,0
1005.922,339.9344,0
984.3463,393.9511,0
978.5911,449.3391,0
1037.53,348.832,0
937.1647,303.108,0
934.3669,391.6874,0
914.0961,301.692,0
1027.379,337.4404,0
1018.904,363.3283,0
1103.516,353.5925,0
1028.835,381.8309,0
1015.645,332.4867,0
979.2499,426.6431,0
993.2594,310.1016,0
1094.154,316.0511,0
1021.179,354.1893,0
935.3062,310.7889,0
1026.485,365.3022,0
951.9547,425.9973,0
879.5507,282.2856,0
1084.239,409.6691,0
1001.504,330.8893,0
1033.375,385.0219,0
937.4488,361.125,0
955.8308,368.7254,0
993.998,400.454,0
1064.123,392.5748,0
1003.833,381.2442,0
1023.706,348.014,0
1023.299,433.3855,0
907.856,402.6932,0
994.4171,345.9471,0
1022.356,380.9305,0
949.9646,346.2444,0
1040.665,430.7307,0
1034.872,391.2901,0
971.8365,377.9714,0
996.1631,286.0673,0
999.0936,399.5342,0
958.8205,323.1817,0
1010.411,429.3288,0
1038.211,458.9161,0
899.7482,315.5072,0
930.0623,381.1352,0
946.1362,340.3853,0
960.4019,401.6434,0
1035.26,341.6246,0
976.002,289.9076,0
1072.995,382.8967,0
1023.986,358.4293,0
886.3856,379.8344,0
940.4229,358.4229,0
976.588,456.4935,0
949.3995,325.0688,0
919.3978,280.6468,0
1058.055,341.3533,0
1005.171,389.3725,0
980.8894,370.2476,0
1019.177,398.8989,0
988.3579,396.1664,0
1034.825,324.165,0
997.3484,311.6744,0
1018.094,394.4417,0
949.4765,409.0919,0
917.9162,373.9626,0
862.9597,273.5449,0
957.5833,358.6471,0
949.2227,358.7836,0
978.8333,401.7763,0
1022.619,386.3614,0
955.677,421.3289,0
1032.977,385.2575,0
882.7102,371.68,0
1002.259,381.3085,0
1017.97,316.8777,0
934.2409,329.7891,0
1051.834,419.6356,0
947.3105,271.1714,0
992.3795,401.1014,0
952.0844,390.5673,0
995.6193,405.4143,0
1004.551,378.4562,0
1033.798,435.5966,0
1041.024,385.5651,0
955.9551,346.2906,0
1031.744,368.5914,0
964.7502,329.4084,0
950.7313,360.3325,0
987.8762,407.0469,0
1013.827,430.5256,0
985.1715,384.9688,0
981.2076,363.9165,0
950.0471,404.9825,0
977.0703,303.99,0
973.6437,291.7142,0
983.7543,302.8893,0
1035.628,324.8685,0
978.2671,404.5679,0
913.0801,333.0783,0
897.3516,328.6288,0
968.715,385.7803,0
966.3503,326.5343,0
960.9613,332.6642,0
878.0786,348.0442,0
894.8753,337.511,0
1003.822,391.6799,0
1013.234,308.3306,0
1040.736,367.2784,0
1012.29,418.1055,0
969.6987,356.9675,0
941.9307,285.9572,0
979.8582,354.1761,0
933.954,299.7343,0
1022.142,352.4971,0
911.1383,335.4044,0
989.0654,409.4356,0
988.1699,304.0399,0
991.3903,354.2869,0
1040.043,372.0107,0
1037.051,363.1981,0
1054.08,379.7687,0
924.1869,320.9367,0
1003.98,395.8433,0
902.5347,330.6779,0
965.1063,374.3829,0
922.3744,375.0258,0
1044.633,367.2395,0
1024.33,375.5573,0
980.7538,358.4984,0
951.006,304.9628,0
998.6104,287.8127,0
1062.829,377.9244,0
905.603,285.779,0
1007.172,383.5995,0
1022.342,345.678,0
1032.891,337.2536,0
1043.312,391.5285,0
1064.288,365.2401,0
988.9927,341.2533,0
908.1781,305.7326,0
956.9985,434.7969,0
1045.86,330.8156,0
977.6437,410.0093,0
970.449,413.9467,0
1030.323,376.434,0
979.239,361.1036,0
977.3262,356.2717,0
1022.491,413.0451,0
974.1168,330.5039,0
1065.893,345.2359,0
1039.102,352.5867,0
1049.048,356.7272,0
1019.87,323.121,0
950.5388,321.8672,0
1022.412,435.5084,0
998.3815,369.1806,0
967.2861,324.6628,0
947.1766,330.619,0
1050.973,373.3843,0
1003.65,375.7291,0
997.0058,293.1533,0
1005.178,411.718,0
990.2723,351.8407,0
957.0187,378.2025,0
1068.467,392.0067,0
907.1803,290.5742,0
939.7384,343.8234,0
1002.125,369.0509,0
909.4267,289.87,0
940.3494,385.791,0
1048.471,333.197,0
1001.501,399.2037,0
1067.652,405.5411,0
1022.16,338.3171,0
980.385,315.1223,0
884.0361,259.8966,0
1076.416,398.2271,0
1049.35,363.5906,0
1051.822,416.7684,0
1071.662,338.9173,0
911.1384,355.3015,0
1024.24,369.8998,0
978.8543,320.2559,0
1041.16,350.2725,0
1022.049,284.3579,0
993.2767,284.9689,0
1077.645,327.7971,0
1019.66,430.7039,0
898.2426,302.6415,0
1052.258,361.3176,0
1007.492,321.3563,0
922.0537,346.7399,0
951.6066,297.6293,0
882.6094,297.7697,0
999.2271,360.5264,0
1033.385,310.7466,0
946.0521,368.0981,0
999.7865,375.2496,0
992.6713,319.608,0
959.5921,407.1937,0
964.9635,296.3736,0
1008.258,352.5205,0
1028.099,327.9371,0
901.8999,371.795,0
962.9331,280.5788,0
997.6504,351.5365,0
1012.661,373.488,0
975.5333,333.7969,0
969.8854,438.444,0
965.5062,429.356,0
1026.96,352.765,0
962.5253,388.0532,0
996.3262,319.5408,0
1057.4,329.1584,0
1011.502,345.6378,0
1055.016,381.2994,0
1004.997,394.4446,0
1041.39,359.3141,0
911.4645,374.3349,0
975.3012,308.1419,0
952.6542,358.0105,0
899.1074,369.4551,0
900.3125,409.1281,0
1011.688,427.7534,0
922.3323,381.5636,0
1085.305,382.7573,0
1013.435,384.01,0
1029.663,417.2244,0
1038.657,375.3502,0
1084.553,372.8469,0
1002.29,357.8241,0
1024.623,345.4452,0
1034.217,379.0533,0
935.9237,344.4156,0
1017.568,306.7495,0
1100.953,308.9608,0
987.3749,354.7035,0
