Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Corcas
963.1117,454.6161,0
992.5096,417.7957,0
899.2734,467.0062,0
1015.116,406.2193,0
940.0233,339.1711,0
1044.136,369.8106,0
1074.824,421.0905,0
907.5328,404.147,0
1002.783,399.051,0
945.5316,407.6771,0
979.1761,365.8302,0
1009.627,398.5943,0
932.3683,340.5868,0
1035.103,478.2277,0
976.769,331.7599,0
969.5327,463.0695,0
984.6067,454.2048,0
865.0219,304.8036,0
1023.117,471.1958,0
841.4071,308.0767,0
931.624,360.3516,0
1010.141,400.9533,0
850.6516,302.1981,0
973.4866,373.4664,0
1023.72,426.5051,0
911.2429,384.3925,0
974.5892,449.1966,0
920.0061,377.989,0
1043.741,377.0985,0
951.2968,389.2496,0
932.064,374.3195,0
982.0482,399.3442,0
979.5913,430.4466,0
831.6905,318.9437,0
959.6506,396.5117,0
1014.101,397.108,0
928.2189,424.7579,0
1007.933,415.1931,0
1011.019,421.0767,0
916.2128,383.5595,0
1043.313,530.994,0
1005.787,429.3256,0
933.6227,391.5848,0
863.189,374.2306,0
865.9894,324.1166,0
878.5475,300.9198,0
939.1097,414.5167,0
1030.342,391.7048,0
936.6496,371.0592,0
1030.338,451.071,0
998.6738,418.7637,0
939.5741,442.9116,0
929.9771,352.3248,0
1087.847,399.9662,0
976.0096,400.124,0
902.3351,432.1296,0
947.2884,427.4972,0
927.4253,404.998,0
1036.53,431.9993,0
922.6601,413.7514,0
883.3319,345.6821,0
1049.466,478.361,0
954.0438,438.3316,0
888.913,337.9107,0
2450.393,338.3912,1
1042.697,376.7944,0
879.468,378.1353,0
976.8096,421.089,0
962.1682,415.7095,0
1070.841,394.2921,0
930.8869,433.6267,0
847.4459,349.4694,0
984.8321,457.3171,0
908.2227,416.3371,0
982.6935,375.6494,0
915.316,283.5337,0
1002.011,426.7583,0
840.8674,317.4671,0
1002.48,419.1226,0
1004.028,396.8111,0
1030.416,396.8262,0
1024.869,391.9997,0
1015.365,459.4427,0
886.2332,394.634,0
992.376,434.0986,0
1092.1,429.3199,0
1000.946,378.1044,0
853.4414,332.9187,0
1031.632,405.933,0
953.6129,422.4746,0
1028.724,393.9748,0
1099.514,394.11,0
1060.037,416.8458,0
978.8563,397.8951,0
1021.025,489.9155,0
875.1479,389.7667,0
1017.042,440.3646,0
994.6534,370.1854,0
935.565,413.3508,0
854.4789,325.8605,0
919.1637,381.3507,0
876.3615,432.2881,0
1079.019,425.4807,0
925.4261,389.0315,0
991.9182,399.4673,0
1002.392,374.9641,0
1032.438,374.5748,0
1032.744,443.9043,0
878.2335,352.6115,0
974.9296,370.3715,0
980.7275,449.5026,0
987.7711,418.1575,0
1025.605,463.8137,0
881.8621,322.5933,0
908.5289,407.0786,0
1063.115,398.686,0
938.1321,375.6125,0
