Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
7910.44,307.9658,0
7085.517,144.0913,0
9037.969,521.6074,0
8727.85,415.8525,0
9215.448,689.0625,0
8642.753,483.6567,0
9584.692,490.0366,0
9194.865,355.0234,0
8124.872,223.9614,0
8111.739,388.6113,0
8927.523,506.2334,0
6531.225,127.2322,0
8876.877,373.0762,0
8846.449,340.6006,0
7215.443,124.3601,0
9290.389,417.4551,0
9519.82,468.7993,0
8946.764,217.4517,0
6260.245,132.0081,0
9032.303,443.5186,0
8944.454,476.0054,0
9323.307,518.1641,0
8997.666,386.4629,0
9019.268,397.4702,0
6188.914,65.55859,0
8841.466,237.064,0
9346.86,625.8848,0
8721.545,228.1221,0
8924.845,282.2563,0
9070.867,483.9946,0
8864.755,367.4312,0
7431.796,171.4773,0
9096.175,400.0601,0
8493.805,453.5127,0
7291.607,266.5027,0
6300.292,215.8911,0
6178.327,95.77856,0
9329.637,522.2197,0
8965.292,394.2212,0
6466.756,95.09619,0
7961.841,353.1768,0
8372.449,468.3491,0
7647.775,180.1943,0
7966.188,217.5798,0
6381.723,159.1831,0
6309.183,69.27808,0
8281.303,313.2744,0
9080.119,401.1772,0
5862.124,44.10498,0
8534.133,352.4609,0
8700.581,283.3965,0
6454.751,91.97632,0
9602.621,459.5674,0
8840.725,448.3008,0
5959.114,163.282,0
5848.688,154.3118,0
8520.403,227.6401,0
6847.426,108.5139,0
6333.088,86.95483,0
5894.561,128.6963,0
8555.209,328.4561,0
7304.595,236.4072,0
6752.774,144.7329,0
6662.984,172.8027,0
6539.51,50.22144,0
7225.29,171.4255,0
6192.536,105.3342,0
7030.524,119.821,0
6185.191,159.8035,0
9304.516,532.8447,0
8508.498,451.1748,0
8867.991,539.0059,0
5891.529,114.4104,0
8582.958,283.4805,0
8942.703,318.7153,0
8692.566,429.7339,0
8285.001,224.8196,0
9262.641,574.8521,0
6004.807,110.3069,0
7111.404,228.6462,0
8983.955,457.7515,0
8752.095,352.4448,0
8888.671,363.438,0
9531.136,509.207,0
7600.568,346.7139,0
8998.064,456.3193,0
7217.01,322.843,0
9467.455,354.5049,0
6979.987,220.604,0
8691.306,344.3091,0
6315.83,60.65356,0
9143.259,295.5747,0
9137.518,457.1123,0
9112.521,414.3105,0
9092.833,470.8008,0
6004.492,73.97437,0
8407.568,484.8164,0
9163.583,353.0957,0
8801.571,352.8262,0
9038.279,354.4023,0
5993.634,132.0115,0
8001.427,331.5449,0
7787.868,179.4968,0
6162.426,107.1921,0
8039.57,213.9446,0
8036.449,378.3376,0
8292.307,243.5266,0
6013.544,50.24512,0
9269.614,601.0952,0
