Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
8704.898,334.0518,0
8600.128,322.9053,0
6430.563,88.22046,0
8008.537,309.708,0
7572.804,401.6794,0
5854.849,143.6997,0
5357.906,118.9429,0
8633.626,332.1084,0
7405.868,175.0652,0
8526.758,494.2856,0
7374.833,252.1152,0
6881.385,181.7285,0
8601.551,208.4819,0
8972.344,477.3335,0
8536.52,441.8057,0
8892.736,465.2495,0
9140.678,501.7734,0
5579.25,40.87109,0
8076.117,244.238,0
8770.911,409.8745,0
8952.004,426.5186,0
6867.741,165.6362,0
8563.848,352.3774,0
7043.528,246.0908,0
7898.244,293.3696,0
6560.84,148.239,0
5210.854,184.3782,0
8137.74,325.3569,0
6846.038,128.8059,0
7965.261,210.6448,0
8642.063,402.876,0
7005.094,127.4834,0
7229.251,214.6638,0
8472.44,331.6235,0
7958.044,303.125,0
8142.415,332.6328,0
8933.773,567.0972,0
5982.405,101.7852,0
7615.18,337.0544,0
5947.292,58.92627,0
8391.431,268.1592,0
7423.489,294.6479,0
8561.76,354.2104,0
6427.588,241.8784,0
6652.57,166.6445,0
8595.96,472.061,0
8735.887,274.2017,0
6657.056,184.5269,0
8549.145,261.7739,0
8306.006,332.5508,0
8409.639,338.3843,0
7831.867,196.5044,0
8173.623,283.9692,0
8687.427,437.127,0
5688.154,92.48145,0
5551.376,196.9963,0
5709.201,68.76709,0
8885.425,558.4131,0
7750.615,218.9937,0
6397.24,59.677,0
5828.759,65.80054,0
6325.389,128.9385,0
7708.928,336.1104,0
8656.771,437.3984,0
6297.744,145.5857,0
8009.19,329.5532,0
7454.5,194.3472,0
5413.336,136.3262,0
6331.323,96.15112,0
8628.782,259.96,0
5735.133,102.2756,0
8454.731,436.2861,0
7536.931,237.9224,0
6262.201,156.8569,0
6740.468,117.5059,0
5465.943,152.5427,0
8735.35,384.0391,0
8743.199,220.7417,0
8358.785,439.9678,0
5788.436,128.0923,0
7035.551,300.0068,0
8616.522,430.6768,0
7313.01,331.0068,0
8509.375,414.6855,0
8208.408,377.7212,0
5365.394,78.42285,0
7755.65,317.5994,0
5271.037,157.7234,0
8229.987,216.3013,0
8936.088,490.8394,0
8439.527,384.8091,0
7814.675,622.8525,0
7751.572,424.2307,0
8351.938,380.5498,0
7730.419,311.6321,0
7276.068,194.7778,0
7950.985,261.2371,0
8743.64,417.1919,0
8525.378,344.3594,0
7999.206,228.2749,0
7650.646,191.137,0
7620.298,263.303,0
5967.956,137.647,0
8671.266,630.2217,0
8265.206,348.5122,0
5913.803,210.3789,0
7938.55,305.4661,0
8399.555,381.5908,0
8700.136,391.4961,0
7946.593,453.6274,0
6087.044,130.7639,0
8484.322,356.8716,0
6282.333,70.4541,0
7554.588,312.2222,0
7721.865,350.6677,0
7487.875,204.2488,0
8516.583,376.8799,0
7654.854,276.189,0
5407.151,108.2527,0
