Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Promin
7992.983,347.71,0
8213.844,389.6396,0
8381.283,315.0815,0
8593.142,269.6914,0
8675.188,219.3037,0
8452.153,447.9541,0
7580.263,326.8101,0
7957.696,312.2112,0
7964.545,279.2908,0
7894.334,304.9783,0
6594.926,248.3635,0
8297.633,234.9404,0
8505.897,413.8574,0
8244.409,562.0847,0
7661.791,255.9087,0
8639.526,228.8379,0
8509.651,414.9341,0
8620.178,423.814,0
8506.281,454.0801,0
7168.597,207.7532,0
7494.378,213.5068,0
8141.517,280.3999,0
8434.42,314.1528,0
8070.588,287.7075,0
7712.81,190.1821,0
8498.725,249.9927,0
8088.843,413.0793,0
7966.51,200.9536,0
8468.729,296.7041,0
8562.489,268.7266,0
7418.193,153.344,0
6713.938,275.7041,0
8499.925,348.856,0
8413.817,358.5381,0
8486.952,384.9277,0
8576.301,340.5498,0
8631.928,224.3481,0
8716.384,368.0361,0
7000.386,269.0667,0
8848.401,464.8081,0
8482.184,463.8501,0
8133.797,437.5381,0
8045.408,250.6853,0
6349.525,44.30469,0
8730.752,382.0913,0
8779.086,532.0918,0
8575.213,344.564,0
8367.025,424.0825,0
8160.403,304.9802,0
8635.058,520.6328,0
7946.606,300.2712,0
8431.909,411.3594,0
6799.517,262.6343,0
8491.078,452.729,0
9079.356,472.3452,0
7452.327,272.5161,0
7973.798,292.5684,0
8226.205,439.5991,0
8569.578,410.3027,0
8601.277,333.0225,0
6074.695,72.62769,0
8498.833,247.7192,0
8547.93,331.6948,0
8237.74,342.7053,0
8112.173,337.9783,0
8544.979,408.7075,0
7428.241,359.4705,0
8389.828,575.9951,0
7180.827,164.3086,0
8141.439,360.2458,0
8653.44,402.938,0
8286.924,306.6365,0
8473.502,321.1602,0
8352.313,439.9785,0
7466.575,220.5923,0
8430.27,308.6709,0
8984.096,357.5537,0
8632.346,279.5845,0
8864.11,210.6064,0
5866.324,88.7146,0
8733.26,347.3691,0
7386.988,196.9114,0
8631.416,325.1396,0
8561.946,176.1543,0
7987.498,268.3464,0
8455.51,228.2964,0
8603.8,386.2197,0
7816.713,320.7473,0
8668.376,370.0483,0
5671.155,97.98438,0
8368.396,407.6934,0
8739.06,372.9233,0
8747.174,387.2168,0
7376.983,240.5825,0
7647.44,255.3806,0
7289.966,259.4609,0
8189.834,341.9509,0
8298.201,312.541,0
8458.79,412.8071,0
8601.501,427.9453,0
7053.976,118.4089,0
8460.01,327.8384,0
7366.074,183.3801,0
7470.276,210.9167,0
8096.525,399.6877,0
9343.903,463.4946,0
7915.445,216.5466,0
8482.938,266.2544,0
8211.7,237.8616,0
8145.436,181.0659,0
8146.058,306.1345,0
8468.677,492.5957,0
5668.092,13.61328,0
7548.979,274.2622,0
8628.16,462.2222,0
8592.863,390.5981,0
8733.46,327.9819,0
8210.408,299.6565,0
8586.055,282.6108,0
8495.826,306.0674,0
8394.737,389.4429,0
8110.573,308.0579,0
8552.014,372.1133,0
8545.039,326.7998,0
8446.155,379.6909,0
8633.636,371.7285,0
8596.553,487.3799,0
8525.054,272.7227,0
8435.16,384.5322,0
5988.902,149.3403,0
8803.198,310.5181,0
7417.417,214.8525,0
8614.012,345.7998,0
8545.769,358.771,0
8582.139,393.5928,0
8313.71,277.2305,0
8003.881,519.0149,0
8375.088,291.1348,0
7160.768,198.3572,0
8445.386,280.2183,0
8491.016,386.4297,0
8974.144,271.2388,0
6283.178,177.2234,0
7454.844,143.9429,0
8554.872,279.0869,0
6802.259,220.7844,0
8572.223,394.3931,0
8500.663,444.6128,0
8054.772,213.3174,0
7609.007,164.5032,0
7502.354,102.2395,0
8458.006,325.4019,0
7026.695,170.4968,0
8640.013,205.6396,0
7691.537,285.2634,0
8291.55,287.0474,0
8645.072,344.8237,0
8009.973,411.9517,0
8278.065,299.9397,0
5684.869,135.0903,0
8503.735,358.606,0
8773.919,381.9912,0
8229.014,294.4124,0
8388.359,518.915,0
8657.127,348.7681,0
7719.113,335.7314,0
8733.162,392.5791,0
8546.106,492.6099,0
8477.349,284.0767,0
8483.904,426.0898,0
8305.866,313.7476,0
7745.222,185.0911,0
7190.458,106.0249,0
8585.914,232.8237,0
7657.613,399.7974,0
8265.428,100.8069,0
8249.404,338.718,0
7751.847,256.0964,0
8408.773,278.6001,0
8134.601,316.9099,0
8438.879,427.9375,0
8543.975,227.7178,0
8749.373,567.731,0
6086.961,42.04272,0
8177.987,252.3845,0
8018.458,297.7031,0
8180.514,465.8135,0
8870.886,386.4834,0
6297.399,192.301,0
8033.331,179.0793,0
8277.036,351.4055,0
8851.029,516.4253,0
7561.536,269.7542,0
7535.965,346.6067,0
8416.347,415.0576,0
7498.161,161.3735,0
8098.877,331.4771,0
7723.286,332.7446,0
7798.385,99.11475,0
5991.103,64.54297,0
8862.51,485.6733,0
7561.361,204.2683,0
7605.362,309.2493,0
7580.83,236.8264,0
9306.164,341.9839,0
8608.195,575.3188,0
8613.038,503.8936,0
8087.106,406.7827,0
7529.46,321.1943,0
8006.735,249.6326,0
6976.33,254.75,0
8115.589,371.1472,0
8795.926,369.0928,0
8325.864,423.937,0
8214.789,505.8538,0
8731.65,409.292,0
8442.086,454.9351,0
8160.854,340.1497,0
6362.054,152.9487,0
8622.139,395.7549,0
8292.53,341.3408,0
8144.81,357.2461,0
8480.01,382.6411,0
8033.311,387.6558,0
6499.708,89.42676,0
8410.797,426.5117,0
8633.182,289.728,0
8472.134,404.5137,0
8302.664,181.9634,0
8064.4,295.2019,0
8674.552,303.876,0
8429.731,394.5176,0
6725.787,150.9155,0
7734.74,278.6777,0
8394.072,376.7783,0
8311.692,341.606,0
7944.628,227.2524,0
8378.047,443.4756,0
8678.415,309.4409,0
8676.871,240.2358,0
7759.166,326.7009,0
8557.455,357.2368,0
