Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Oncmyk
584.9864,468.0569,0
546.3259,359.1475,0
537.4394,457.9516,0
570.0021,491.9169,0
529.3003,428.9521,0
539.2163,402.9092,0
546.8009,415.0276,0
576.9599,443.0692,0
535.1915,466.4955,0
476.5609,439.0109,0
512.1057,444.4972,0
554.8292,426.8555,0
610.1586,413.7201,0
519.0573,414.8906,0
464.1804,354.1329,0
538.7719,460.2539,0
540.6547,481.7953,0
486.3288,353.8734,0
564.0761,426.2116,0
461.3287,362.4602,0
485.382,394.2651,0
624.0994,419.3039,0
578.0549,455.7693,0
472.9944,362.5062,0
592.945,489.5769,0
620.8707,400.2786,0
568.4075,438.1945,0
580.1182,367.9771,0
550.3804,416.4857,0
565.9514,416.5008,0
540.7144,504.2049,0
555.0425,411.5977,0
568.9564,416.006,0
576.5553,419.0486,0
627.6609,456.0789,0
641.3064,411.3002,0
566.215,402.459,0
552.2745,442.4339,0
515.4485,412.6843,0
543.3906,443.1498,0
608.4279,394.6668,0
490.9321,471.0972,0
547.2311,444.745,0
551.8798,474.0229,0
512.8372,494.4199,0
532.3295,461.2454,0
601.941,437.9319,0
555.6375,425.2339,0
591.5514,427.0117,0
592.9085,479.7903,0
597.9084,368.8528,0
553.4808,474.5453,0
532.6664,446.6225,0
540.9975,430.76,0
570.4452,459.7594,0
604.486,417.7283,0
492.4256,372.8629,0
553.0825,442.4471,0
562.4731,493.4229,0
622.6202,442.2495,0
542.3234,394.2432,0
552.2936,420.1205,0
563.0871,448.2811,0
577.0257,432.7919,0
547.7507,448.4572,0
472.9041,409.3673,0
508.3636,486.192,0
565.8618,473.291,0
510.8121,465.8929,0
565.6954,427.7997,0
556.4566,473.3715,0
564.6302,468.3386,0
527.4904,466.9135,0
597.7771,457.8518,0
555.3292,384.6381,0
580.9315,426.3029,0
549.0892,458.456,0
609.5472,385.7891,0
584.348,458.9397,0
458.6861,481.8843,0
572.3241,425.3866,0
559.2845,449.0351,0
522.1812,373.4011,0
579.3857,419.0215,0
568.2504,496.2249,0
587.2872,415.9945,0
577.546,392.5093,0
573.001,396.3787,0
534.8867,501.8688,0
608.1493,412.4672,0
590.3167,473.2784,0
512.8793,461.1133,0
568.2844,437.7114,0
510.7138,471.5757,0
545.6298,376.5324,0
506.8755,407.5328,0
580.123,362.4324,0
567.0959,482.7592,0
524.3406,404.4294,0
530.7202,533.7684,0
550.0549,473.2824,0
524.6674,487.6696,0
530.6336,463.5009,0
585.856,413.5226,0
539.2267,482.5211,0
525.7079,316.5755,0
481.6298,451.6857,0
566.7242,440.5712,0
561.5461,414.7949,0
586.4174,446.546,0
560.9456,476.8803,0
569.2711,454.1146,0
593.452,454.9955,0
545.3546,473.0836,0
590.2515,409.7729,0
591.7156,453.0984,0
613.2279,474.5426,0
545.1998,465.7442,0
589.063,450.8102,0
587.7197,478.6516,0
566.4391,517.109,0
565.6385,427.5236,0
552.523,436.0226,0
602.048,394.4593,0
559.8361,466.8195,0
580.2731,474.8959,0
442.9801,394.7847,0
612.8839,471.4631,0
562.3411,459.9407,0
520.1707,482.5071,0
496.3172,342.4056,0
539.8141,436.463,0
609.9011,460.8209,0
522.3293,466.1722,0
526.5572,415.286,0
589.6429,398.1727,0
480.6578,463.4431,0
524.2251,448.392,0
630.754,348.0757,0
570.4471,469.2201,0
542.6026,416.2379,0
479.6997,410.1345,0
572.7111,411.579,0
541.1742,417.6524,0
555.3885,450.5791,0
483.1476,428.3983,0
539.8988,483.6284,0
531.2449,457.3987,0
598.4531,387.0668,0
601.7673,464.3255,0
561.4503,488.9485,0
520.8315,426.7365,0
609.0859,381.2688,0
596.416,397.7968,0
