Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Oncmyk
575.0085,488.5583,0
672.6201,410.5685,0
597.4085,544.2572,0
629.3107,455.0784,0
585.3987,413.9837,0
578.0212,387.9281,0
567.5861,513.2549,0
662.694,446.39,0
700.3427,532.5382,0
562.2601,509.686,0
621.9683,428.4243,0
556.9128,491.0692,0
569.2245,465.7643,0
602.7368,493.1898,0
616.7885,517.136,0
572.323,419.4297,0
596.4013,459.3539,0
553.3674,513.7621,0
594.0424,389.094,0
675.8604,473.7792,0
626.5479,469.218,0
673.7604,402.2977,0
629.7383,479.7296,0
594.8925,459.5316,0
599.1863,464.4961,0
634.3115,418.3971,0
623.2108,455.0047,0
544.956,470.3001,0
635.9029,492.1167,0
505.4536,428.7556,0
537.4695,344.34,0
613.0216,502.3222,0
700.8909,411.7868,0
661.4354,501.6284,0
567.063,447.4468,0
594.9459,494.0502,0
585.1308,436.6549,0
630.9114,464.8838,0
549.726,369.4661,0
577.8409,501.6176,0
609.824,456.9993,0
627.8347,563.9142,0
576.5125,447.629,0
537.3479,399.3222,0
618.0838,482.5974,0
586.548,515.9634,0
580.3752,503.4352,0
658.4364,525.3395,0
525.9661,342.9282,0
553.1299,515.469,0
601.0409,348.9033,0
581.0527,485.2011,0
689.7112,468.6937,0
630.0132,463.0489,0
601.9147,491.7442,0
633.6413,470.0781,0
589.8374,445.7297,0
568.4955,514.7832,0
609.3726,476.4259,0
623.4159,421.2727,0
647.5254,491.117,0
617.3236,492.3506,0
521.56,416.7368,0
613.7669,419.8576,0
678.8198,489.4024,0
618.5448,432.8862,0
590.7166,451.924,0
591.9916,455.4811,0
551.7358,456.9157,0
516.095,504.5532,0
617.8384,454.4524,0
581.4849,501.6827,0
582.672,550.4587,0
588.1281,467.186,0
622.3613,460.3544,0
660.7875,416.1818,0
552.5043,517.3931,0
581.6694,349.7574,0
637.6694,472.6422,0
600.0803,423.1675,0
632.0941,440.3526,0
681.8098,451.4536,0
624.0291,477.043,0
550.5961,387.2881,0
597.2907,453.5742,0
595.2621,541.9968,0
