Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Erisin
5330.084,323.908,0
5816.873,317.8508,0
5454.234,299.3586,0
5691.261,342.9956,0
5733.765,336.7776,0
5149.938,314.0369,0
5480.459,313.3677,0
5502.203,306.5562,0
5747.368,337.4692,0
5574.856,409.5356,0
5611.367,287.574,0
5261.489,383.3945,0
5752.204,293.4465,0
5385.508,313.3469,0
5537.886,281.5396,0
5439.659,272.311,0
5644.261,462.542,0
5862.655,435.1841,0
5714.075,299.5369,0
5340.428,316.2092,0
5782.748,333.9307,0
5709.015,393.5242,0
5257.052,227.2126,0
5824.808,287.5796,0
5335.835,334.5449,0
5340.02,265.4453,0
5513.742,313.4033,0
5719.01,440.384,0
5373.097,287.8069,0
5374.924,270.4797,0
5530.256,204.5637,0
5603.951,338.6531,0
5615.805,401.3848,0
5775.6,278.0771,0
5260.152,300.0229,0
5741.209,279.9077,0
5491.025,282.7131,0
5631.248,347.3887,0
5365.774,337.4036,0
5617.145,357.4341,0
5539.079,310.6858,0
5348.438,331.0994,0
5627.153,367.2717,0
5848.073,294.0928,0
5132.594,293.4224,0
5852.694,239.0144,0
5403.208,369.3599,0
5321.099,250.4253,0
5590.362,291.6152,0
5462.412,320.9976,0
5277.799,289.6648,0
5430.925,406.4619,0
5486.688,358.5435,0
5529.895,386.7256,0
5541.004,259.1641,0
5736.894,268.7388,0
5919.69,356.5066,0
5747.029,290.6472,0
5743.525,392.113,0
5571.916,381.6326,0
5568.38,307.553,0
5471.025,276.2891,0
5449.199,400.8293,0
5787.749,263.0779,0
5908.363,410.5894,0
5076.838,381.1304,0
5848.923,289.1968,0
5452.242,288.9907,0
5719.784,353.6187,0
5713.757,274.2217,0
5859.918,265.3945,0
5486.34,399.2971,0
5872.857,304.259,0
5863.499,401.125,0
5964.465,364.8699,0
5558.955,411.9592,0
5661.84,205.4224,0
5687.775,390.2512,0
5721.392,311.1006,0
5411.695,299.7075,0
5390.463,286.5889,0
5789.671,281.7664,0
5815.978,338.9678,0
5246.862,343.512,0
5571.787,343.9468,0
5475.281,378.2546,0
5270.371,299.2571,0
5374.302,289.5811,0
5538.43,239.8057,0
4973.869,337.9299,0
5334.343,280.3608,0
5856.914,377.7703,0
5762.776,173.813,0
5424.356,353.5815,0
5645.125,365.7776,0
5723.413,297.6013,0
5237.781,360.271,0
5791.409,421.3777,0
5752.684,283.8752,0
5545.239,334.6116,0
5339.677,320.9712,0
5058.972,326.4041,0
5313.998,262.5022,0
5717.162,224.8486,0
5818.235,257.355,0
5474.96,254.7114,0
5835.729,340.2258,0
5716.977,279.0588,0
5648.705,247.3403,0
5465.339,278.9382,0
5694.141,380.4163,0
5459.441,303.9956,0
5161.567,278.1021,0
5239.236,301.8459,0
5760.572,394.5364,0
5600.591,422.1006,0
5785.249,368.8381,0
5335.205,293.9373,0
5354.851,489.3992,0
5819.319,296.698,0
5353.342,281.5315,0
5523.363,260.8223,0
5438.518,176.3899,0
5910.928,300.9658,0
5434.455,367.4548,0
5160.132,233.2834,0
5828.596,363.3862,0
5837.923,379.1145,0
5771.669,296.8184,0
5352.106,365.051,0
5797.733,344.8176,0
5451.107,267.1851,0
5202.688,264.9719,0
5756.876,385.5039,0
5650.254,375.8918,0
5775.52,448.5747,0
5164.761,189.2329,0
5715.198,225.6072,0
5410.708,321.4817,0
5711.313,352.6543,0
5722.662,308.8865,0
5572.647,317.1787,0
5736.894,333.6006,0
5173.28,296.9241,0
5818.632,224.7732,0
5172.047,377.5286,0
5544.463,422.5498,0
5787.477,361.0388,0
5778.239,454.6411,0
5162.855,281.677,0
5944.816,275.6997,0
5251.324,330.4653,0
5741.996,358.7319,0
5829.513,409.7368,0
5551.914,385.5803,0
5200.219,269.2754,0
6166.49,395.8867,0
5640.283,424.6016,0
5551.933,292.3118,0
5417.981,333.8662,0
5646.948,357.9648,0
5617.154,320.9688,0
5474.591,324.4204,0
5780.616,284.4319,0
5645.82,370.1875,0
5061.154,327.3787,0
5563.639,174.0967,0
5371.866,335.7505,0
5399.409,325.9692,0
5719.243,382.6416,0
5659.917,389.4248,0
5297.07,337.2393,0
5477.471,289.7874,0
5812.176,245.8352,0
5496.27,360.0942,0
5327.479,412.823,0
5265.459,335.2549,0
5660.123,407.9937,0
5781.593,390.345,0
5100.61,253.0125,0
5422.955,387.7222,0
5494.787,299.0679,0
5809.434,387.9402,0
5433.046,339.5938,0
5306.085,355.8398,0
5728.042,416.6255,0
5688.446,327.9609,0
5697.89,372.2656,0
5607.756,262.3801,0
5702.289,343.4307,0
5523.152,310.8677,0
5412.74,380.1096,0
5433.74,326.3762,0
5695.877,385.7383,0
6011.089,278.7966,0
5489.326,290.5928,0
5688.902,277.114,0
5439.956,214.3528,0
5156.601,207.5457,0
5721.064,341.0862,0
5409.189,275.7554,0
5772.12,350.6057,0
5405.92,324.9478,0
5249.963,306.2297,0
5689.903,349.6777,0
5953.443,302.8154,0
5679.208,392.3025,0
5590.929,299.6355,0
5550.146,400.4038,0
5171.707,252.5847,0
5439.476,363.6594,0
5580.398,296.5886,0
5498.086,379.3206,0
5682.146,305.5066,0
5436.809,356.4814,0
5406.948,405.1997,0
5832.862,290.501,0
5282.133,315.2603,0
5391.174,196.1243,0
5664.011,286.5874,0
5241.794,312.2583,0
5695.164,232.3252,0
5440.611,295.2639,0
5463.839,352.6643,0
5398.77,326.2107,0
5391.535,310.4895,0
5559.396,0427.0,
5577.921,259.1191,0
5196.05,323.625,0
5056.271,319.8533,0
5739.877,317.8999,0
5347.228,303.769,0
5733.896,401.8647,0
5734.412,268.5942,0
5978.096,291.8306,0
5547.262,331.5403,0
5745.303,322.333,0
5359.887,225.3757,0
5593.929,249.6499,0
5710.086,429.2361,0
5544.525,394.6055,0
5327.79,310.4888,0
5710.239,342.4268,0
5712.368,356.1699,0
5354.16,315.5032,0
5437.328,278.0977,0
5392.187,396.5891,0
5708.254,358.2964,0
5617.321,310.5005,0
5381.272,300.251,0
5705.513,323.1082,0
5399.529,367.3035,0
5109.481,201.3145,0
5624.53,402.4338,0
5548.902,281.4639,0
5538.398,258.6863,0
5777.248,366.0122,0
5299.064,407.5696,0
5486.398,276.9753,0
5233.473,322.6792,0
5393.172,370.1531,0
5514.526,277.7495,0
5663.035,322.2417,0
5796.615,297.3462,0
5746.423,424.7852,0
5170.192,269.0881,0
5550.683,316.7371,0
5660.981,312.7529,0
5292.959,301.7876,0
5455.471,240.7327,0
5341.429,425.6689,0
5500.606,425.6558,0
5400.79,424.845,0
5524.25,357.6721,0
5638.572,360.3538,0
5772.547,230.9771,0
5396.47,268.3147,0
5215.443,319.1475,0
5675.004,415.4136,0
5795.171,295.9199,0
5262.447,414.1746,0
5604.906,228.9885,0
5408.042,347.3831,0
5208.7,300.2778,0
5823.148,234.6741,0
5715.734,296.752,0
5427.574,191.9563,0
5654.148,302.1758,0
5820.684,173.8411,0
5574.325,269.8486,0
5936.197,305.7771,0
5268.775,354.7769,0
5708.469,348.083,0
5389.654,395.0706,0
5745.702,353.0979,0
5381.065,401.7861,0
5508.977,266.8977,0
5458.777,320.9475,0
5728.206,407.6365,0
5361.776,248.3506,0
5462.837,376.6289,0
5808.558,336.7847,0
5306.394,312.7266,0
5758.116,445.2048,0
5478.084,320.3123,0
5937.52,389.6633,0
5690.37,288.1765,0
5488.587,353.3521,0
5403.566,291.7832,0
5695.962,351.2827,0
5509.346,248.1272,0
5527.205,325.6404,0
5485.744,270.6792,0
5441.389,507.4868,0
5629.399,322.3018,0
5345.041,344.7,0
5641.691,334.7258,0
5684.836,290.6602,0
5654.624,398.0923,0
5765.477,292.5049,0
4962.834,362.0215,0
5926.341,265.9119,0
5345.762,384.7446,0
5619.475,342.7224,0
5662.96,360.3796,0
5077.892,366.6499,0
5822.379,315.9788,0
5599.855,283.5129,0
5437.83,266.1716,0
5348.503,275.7942,0
5331.737,281.5466,0
5548.589,324.4736,0
5243.698,341.8091,0
5842.169,281.4041,0
5649.886,293.4153,0
5708.202,276.4434,0
5280.104,285.3096,0
5818.533,267.8745,0
5265.068,447.6667,0
5710.267,411.1279,0
5376.976,237.4617,0
5648.001,360.3369,0
5228.563,291.2563,0
5641.701,377.489,0
5505.87,308.3193,0
5077.547,399.3604,0
5255.623,390.6487,0
5399.658,352.7712,0
5153.542,280.5574,0
5632.934,326.3816,0
5370.826,332.5542,0
5784.977,303.8518,0
5373.591,239.0107,0
5939.445,214.9241,0
5421.445,212.1379,0
5868.368,392.2485,0
5292.898,327.7065,0
5549.057,260.2788,0
5795.22,317.1785,0
5783.381,265.2012,0
5885.63,360.9817,0
5586.838,251.5554,0
5808.999,371.5339,0
5909.087,218.541,0
5862.362,221.3579,0
5415.442,179.0061,0
5779.869,256.1836,0
5148.215,298.9678,0
5627.549,319.479,0
5515.856,292.6814,0
5778.957,380.8367,0
5827.639,390.4563,0
5775.781,238.2947,0
5492.867,302.3538,0
5745.179,307.7085,0
5659.897,378.3718,0
5538.751,427.009,0
5093.377,383.5635,0
5484.244,281.9744,0
5338.688,297.6191,0
5717.647,322.1252,0
5552.167,331.3372,0
5504.821,333.5337,0
5864.144,458.8137,0
5383.739,181.3481,0
5240.592,211.356,0
5543.634,270.4761,0
5691.731,329.2012,0
5578.132,366.2595,0
5631.08,274.9988,0
5385.311,381.7129,0
5308.39,285.0842,0
5517.03,355.3186,0
5430.754,365.1763,0
5635.615,321.6406,0
5274.471,301.8232,0
5386.158,318.2415,0
5739.573,373.5591,0
5347.068,366.856,0
5573.292,356.5076,0
5674.134,238.1382,0
5389.345,325.1621,0
6046.114,301.7502,0
5736.597,332.4243,0
5405.741,266.4797,0
5318.883,345.1904,0
5426.528,283.2126,0
5778.015,281.906,0
5721.241,381.0728,0
5822.718,257.1829,0
5519.772,363.8528,0
5409.813,354.614,0
5413.458,386.7607,0
5569.493,382.3054,0
5208.774,275.5281,0
4990.284,307.0964,0
5489.957,308.8325,0
5531.365,256.6257,0
5617.894,285.3298,0
5561.37,304.5977,0
5491.815,349.7112,0
5648.962,267.5442,0
5314.066,279.2834,0
5875.777,320.1506,0
5710.241,304.8665,0
5721.036,345.0991,0
5210.063,343.4519,0
5506.21,315.6006,0
5381.412,207.7437,0
5301.351,248.9766,0
5355.672,311.8203,0
5492.844,245.7527,0
5377.548,197.4878,0
5613.817,304.3201,0
5604.729,285.2126,0
5546.762,230.1304,0
5062.015,227.3462,0
5466.339,255.728,0
5793.56,198.845,0
5420.808,250.9626,0
5812.172,347.71,0
5585.402,363.1965,0
5769.444,342.6318,0
5700.154,380.0833,0
5586.949,343.2366,0
6006.062,361.802,0
5536.42,357.2861,0
5602.441,384.4248,0
5676.389,334.9641,0
5409.51,389.4253,0
5608.296,321.373,0
5290.771,211.2915,0
5229.698,295.6387,0
5723.301,383.8579,0
5585.679,423.2068,0
5963.443,387.2581,0
5833.483,220.0874,0
5393.95,299.8643,0
5623.791,395.0134,0
5598.84,374.3447,0
5535.573,304.3059,0
5651.497,189.9199,0
5762.183,337.9036,0
5803.403,349.207,0
5691.007,320.3516,0
5773.903,365.8091,0
5955.288,333.0906,0
5732.394,357.3113,0
