Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Erisin
5688.301,358.571,0
5387.301,290.575,0
4972.896,279.0493,0
5653.563,382.2178,0
5512.329,367.8296,0
5465.342,332.7576,0
4848.205,200.7114,0
5240.546,252.0908,0
5386.588,300.9211,0
5299.451,290.1523,0
4809.658,189.4839,0
5637.532,376.5339,0
4906.526,285.3843,0
5657.547,278.4607,0
5202.176,305.3042,0
4975.364,258.2983,0
5462.561,203.6025,0
5717.057,323.8433,0
5663.927,369.3406,0
5498.987,355.5969,0
5552.149,353.0486,0
5474.047,397.5535,0
5688.999,302.7881,0
5681.793,424.604,0
4921.478,264.7043,0
5460.948,221.7886,0
5552.761,256.4009,0
5726.894,338.166,0
5469.645,416.0359,0
5613.098,260.0859,0
5663.234,396.7756,0
5740.887,209.7297,0
5621.493,307.6831,0
5233.558,367.5813,0
5037.485,273.5889,0
4925.039,209.5864,0
5170.357,340.4302,0
5050.662,253.417,0
5612.795,403.9329,0
5534.461,390.5259,0
5081.817,136.6956,0
5631.242,362.1636,0
5681.333,388.9553,0
5508.475,355.8623,0
5753.152,273.7493,0
5644.021,371.4629,0
4943.623,166.3765,0
5342.587,267.49,0
5533.421,388.967,0
5688.106,285.8792,0
5495.513,361.9697,0
5374.944,358.2148,0
5083.168,301.9873,0
5432.05,259.3276,0
5412.277,245.3447,0
5214.978,431.1641,0
5598.825,345.1414,0
5352.359,340.2649,0
5665.276,349.4272,0
4812.576,274.7424,0
5484.575,421.866,0
5603.679,425.3127,0
5415.941,361.1067,0
5291.201,285.7578,0
5634.498,335.9067,0
5547.149,241.2146,0
5661.27,342.4978,0
5825.333,360.5046,0
5508.541,435.8145,0
5594.893,369.938,0
5600.492,440.7593,0
5375.817,316.2534,0
5779.11,359.3506,0
5283.598,303.4795,0
5627.105,200.2771,0
5575.227,337.7437,0
5405.527,290.6997,0
5669.988,337.6277,0
5610.175,322.9326,0
4918.795,198.1174,0
5051.449,422.7778,0
4949.998,260.4458,0
5600.202,336.8293,0
5144.837,221.8291,0
5554.987,419.7659,0
5672.882,316.6372,0
5594.431,367.2561,0
5250.222,320.0786,0
4973.265,270.1458,0
5147.137,297.783,0
5593.378,261.1372,0
5270.674,330.7192,0
5740.173,255.3447,0
5446.702,263.2417,0
5060.724,210.2454,0
5234.469,316.1826,0
5532.256,392.5437,0
5629.602,389.3633,0
5745.408,373.8308,0
5058.427,329.604,0
5533.697,432.8574,0
5081.61,314.333,0
5645.646,375.4253,0
5292.719,309.9072,0
5395.958,262.7539,0
5447.259,252.6206,0
5233.069,302.8149,0
5266.523,289.3726,0
5481.932,309.8804,0
5658.673,227.0791,0
5583.961,327.8354,0
5275.513,364.0366,0
5420.302,354.2722,0
5353.325,283.1179,0
5200.666,237.8679,0
5026.695,255.5024,0
5484.83,292.479,0
5853.44,352.5007,0
5990.944,301.085,0
5172.854,286.3308,0
5315.923,359.8918,0
5713.334,475.489,0
5488.691,240.7656,0
5652.986,313.4058,0
5577.267,283.3625,0
5698.534,347.0103,0
5007.517,223.5852,0
5571.694,310.2058,0
5697.31,272.3699,0
4885.535,281.5554,0
4988.914,283.7146,0
5510.748,372.8821,0
5753.424,313.2253,0
5052.415,209.1345,0
5664.194,352.27,0
5025.069,308.6123,0
4964.735,300.0847,0
5251.292,377.583,0
5557.013,435.5112,0
5569.597,342.5334,0
5606.754,244.9595,0
5541.861,259.7278,0
5459.957,345.6843,0
5228.481,210.2666,0
5083.708,185.5876,0
5494.972,431.8521,0
5467.932,205.9836,0
5483.79,304.5774,0
5378.483,425.8259,0
5627.032,327.7107,0
5007.365,234.9595,0
5492.212,413.7402,0
4897.218,302.3066,0
5590.679,261.8123,0
5377.2,189.1724,0
5605.736,269.1414,0
5504.252,328.8179,0
5520.627,303.4919,0
5651.671,277.8787,0
5459.014,233.3125,0
5594.604,319.834,0
5609.472,320.2014,0
5698.934,339.2488,0
5458.18,384.4419,0
5519.154,472.9636,0
5687.589,439.8792,0
5427.911,359.4307,0
5145.524,186.7646,0
5372.964,353.1052,0
5750.226,385.7407,0
5436.86,374.6204,0
5485.612,324.9404,0
5754.808,282.2437,0
5570.978,462.1907,0
4891.546,289.2349,0
5311.228,300.4626,0
5489.366,337.2974,0
5536.093,305.0103,0
5667.817,274.7346,0
4873.411,248.7649,0
5427.084,363.3245,0
5503.107,273.2358,0
5561.409,351.7778,0
5527.72,302.1763,0
5557.44,433.241,0
5720.325,291.949,0
5613.252,166.3699,0
4980.056,292.6658,0
4935.625,286.5286,0
5952.168,213.5923,0
5247.014,222.2385,0
5516.517,374.6526,0
5565.904,231.5745,0
5668.647,357.6172,0
5663.643,309.3279,0
5613.736,293.9028,0
4793.012,291.481,0
4778.118,340.2312,0
5690.862,375.9668,0
5779.283,391.6748,0
5136.77,269.7837,0
5561.783,393.2839,0
4890.058,275.6611,0
5354.961,381.4021,0
5775.127,271.8179,0
5527.029,410.0535,0
5357.364,268.9546,0
5634.99,308.4854,0
5548.624,226.2954,0
5717.664,257.8416,0
5457.751,277.6292,0
5537.704,381.4912,0
5182.419,348.7549,0
5493.127,256.1985,0
5798.397,290.915,0
