Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Erisin
5227.163,413.8679,0
5186.104,405.9089,0
5147.231,275.5313,0
5113.58,316.1816,0
5087.885,299.4292,0
5100.944,311.6479,0
5188.669,306.5857,0
5141.424,355.3279,0
5064.643,388.885,0
5303.137,334.7979,0
5220.914,330.5684,0
5070.693,302.1406,0
5098.503,247.697,0
5139.791,359.7908,0
5205.766,330.2327,0
5069.075,271.572,0
5312.296,363.9263,0
5008.916,246.2527,0
5081.495,390.6182,0
5037.216,222.0103,0
5147.859,277.3728,0
5038.964,271.321,0
5150.656,371.1985,0
5192.997,224.4072,0
5117.943,339.6577,0
5205.663,254.7644,0
5247.696,361.9116,0
4967.946,295.2793,0
5006.776,348.7888,0
5284.972,260.6375,0
5068.483,363.2935,0
5146.695,357.8022,0
5052.455,424.3657,0
5194.059,232.4768,0
5121.91,340.0623,0
5070.741,221.7014,0
5104.047,315.7573,0
5260.674,380.8298,0
5065.505,205.981,0
4912.793,317.885,0
4963.92,277.7588,0
5208.139,206.2236,0
5185.497,337.7737,0
5147.488,239.7344,0
5125.333,326.1167,0
5184.802,307.4429,0
4966.646,241.2683,0
4807.507,345.9817,0
5070.112,237.3823,0
5254.282,302.1421,0
5208.1,289.0542,0
5299.852,311.4302,0
5196.405,327.811,0
4889.338,287.0894,0
5152.181,246.6187,0
5194.417,239.9988,0
5121.508,291.7917,0
5087.733,330.7063,0
5069.041,259.5742,0
5041.331,303.8513,0
5092.088,186.2278,0
5044.609,301.1265,0
5064.573,261.6787,0
5004.806,268.658,0
5106.699,315.3013,0
4943.227,357.8416,0
5198.614,391.0669,0
4967.563,259.9741,0
5114.505,271.8943,0
5011.532,304.2937,0
5032.969,241.3499,0
5170.057,364.3545,0
5011.051,425.5859,0
5225.941,294.2051,0
5020.588,373.3772,0
5038.337,335.8633,0
5290.875,293.3284,0
4997.295,270.115,0
5038.974,283.9788,0
4940.406,358.6514,0
5227.336,264.3574,0
5065.962,398.6528,0
5175.199,369.5503,0
5088.251,329.0813,0
5041.857,300.4778,0
5072.967,264.3076,0
5182.137,263.8547,0
4928.201,385.5022,0
5035.804,332.2083,0
5110.025,298.4512,0
5040.871,390.2175,0
5061.87,308.0229,0
5212.596,418.9158,0
5031.938,303.686,0
5075.076,334.2471,0
5098.185,261.0029,0
5163.547,287.4641,0
5283.698,212.3145,0
5153.761,243.3496,0
4957.992,233.6013,0
