Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
7309.246,277.3254,1
7460.318,128.6111,1
7059.127,293.106,1
7114.456,273.0254,1
7062.773,183.7117,1
7510.619,202.2908,1
6584.649,202.6543,1
7078.416,257.3398,1
7271.293,337.031,1
6434.457,211.7126,1
7150.632,158.5823,1
7090.832,119.1494,1
6401.534,264.3408,1
7554.063,160.5735,1
7228.23,159.167,1
7253.934,188.3086,1
6813.425,265.0574,1
7294.78,269.1282,1
7336.302,182.7354,1
7418.469,231.5498,1
6803.963,254.3567,1
7128.856,99.02466,1
7422.262,190.6626,1
7223.451,265.5461,1
7382.754,202.2012,1
7447.278,200.6353,1
7316.856,240.73,1
7469.655,166.6978,1
7419.986,57.28247,1
7807.244,236.948,1
7128.757,182.0669,1
7236.849,278.8821,1
6239.13,148.3845,1
7120.818,242.051,1
7354.073,118.1975,1
5168.267,319.4248,0
7512.588,318.6333,1
7130.608,300.7334,1
7258.585,332.7019,1
7168.502,153.5635,1
7343.411,93.03296,1
6895.238,139.6946,1
6655.99,168.8657,1
6653.389,181.6538,1
7364.731,99.83911,1
7306.595,194.0093,1
7500.178,181.6597,1
7334.392,182.2881,1
7522.278,190.8992,1
8055.475,214.8647,1
7503.256,264.949,1
7174.256,166.9143,1
7358.021,93.27637,1
7381.359,94.60693,1
7702.364,432.6821,1
7165.734,133.2004,1
7010.064,218.5886,1
7491.059,134.3318,1
7166.206,208.8069,1
7445.479,220.0596,1
7060.768,253.6877,1
7510.741,251.1445,1
7453.497,115.4719,1
7462.73,149.761,1
7576.3,85.22632,1
7278.082,234.0325,1
7384.163,87.59106,1
7098.428,179.7517,1
7256.837,218.2017,1
7127.745,140.4617,1
7255.845,178.8411,1
7114.628,120.0198,1
7062.586,176.5625,1
7347.61,213.6311,1
7047.576,223.5554,1
7322.913,217.1541,1
6859.014,175.1357,1
7180.316,167.5,1
7388.014,240.9502,1
7283.236,199.104,1
7145.362,261.1106,1
7282.195,215.4536,1
7128.439,192.0701,1
6864.008,249.8176,1
7319.269,149.7605,1
7330.729,151.7903,1
7164.666,176.5542,1
7297.008,200.7034,1
7237.56,119.2544,1
7010.433,331.7756,1
7245.774,188.9614,1
7422.03,268.4746,1
7470.715,247.2173,1
6285.646,260.4424,1
7236.767,218.8655,1
7376.278,269.3445,1
7275.652,213.5078,1
7415.137,294.1228,1
7230.53,112.1704,1
7429.17,134.1001,1
7117.038,86.97681,1
7234.081,93.01953,1
7481.597,186.2117,1
6761.971,210.5259,1
6772.613,143.415,1
7220.185,250.7834,1
7130.156,136.3181,1
7557.913,90.8501,1
7321.784,157.8594,1
7168.616,249.897,1
7127.189,231.5325,1
7021.791,261.9377,1
7123.731,335.9016,1
7478.854,230.3386,1
7460.27,106.7734,1
6814.327,84.41748,1
7270.116,215.7876,1
7299.921,178.9163,1
7141.87,259.1882,1
7506.052,218.0356,1
7259.472,131.916,1
7337.548,218.1243,1
6783.447,241.3384,1
7375.213,210.5515,1
7464.542,264.2104,1
7191.585,274.9207,1
7475.25,113.1096,1
7445.291,194.0945,1
7458.979,133.1167,1
7471.837,178.6174,1
7489.009,312.9753,1
7621.917,217.4253,1
7332.402,186.2341,1
7116.608,107.8762,1
7426.606,156.6692,1
6627.474,239.1069,1
7357.807,254.478,1
7283.235,297.9651,1
7510.944,135.6799,1
7260.922,214.3757,1
7287.875,151.8015,1
6930.01,278.8484,1
7382.369,145.9563,1
6517.579,216.3079,1
7257.05,279.7009,1
7558.976,267.6584,1
7235.26,334.0232,1
6762.888,160.0313,1
6432.624,295.3762,1
7038.33,317.8948,1
7438.858,154.6362,1
7071.832,189.3066,1
7646.129,215.3267,1
7500.397,287.5112,1
6935.931,153.4971,1
6225.082,245.0383,1
7216.78,232.5464,1
7345.711,220.2305,1
7181.598,187.3096,1
7349.848,212.7373,1
6581.251,177.106,1
7216.545,107.7766,1
7391.285,89.48071,1
7364.548,184.1035,1
7292.791,170.8337,1
7601.415,202.5664,1
7236.008,302.1396,1
6997.244,88.74609,1
7376.975,114.751,1
7521.357,183.8804,1
7327.722,209.521,1
7175.731,111.2668,1
7110.425,229.1667,1
7413.666,154.0242,1
7312.234,191.6763,1
7326.091,195.9502,1
7389.172,220.2158,1
7222.222,176.4106,1
7372.86,48.20386,1
7165.844,162.4148,1
7299.347,177.5671,1
7374.281,125.1621,1
7559.893,66.12036,1
7542.256,237.5881,1
7243.156,275.896,1
7484.457,49.1333,1
7115.942,232.9341,1
7325.682,106.8164,1
7228.83,248.6951,1
7164.639,154.3154,1
7122.628,139.3137,1
7298.938,213.2202,1
7344.421,309.6646,1
7270.701,157.0742,1
7367.827,164.0168,1
7667.88,198.8845,1
7295.775,155.2893,1
7292.269,166.6609,1
6792.403,49.83569,1
7422.597,144.1499,1
7501.08,252.8328,1
7440.865,240.719,1
7120.734,179.2744,1
6993.335,174.7302,1
8005.163,122.6487,1
7437.949,202.6919,1
5687.145,224.2266,0
7232.974,102.8745,1
7313.587,211.7305,1
7066.448,106.3311,1
7152.708,160.1763,1
7225.396,124.5413,1
7419.497,267.0696,1
7231.342,209.1846,1
6802.088,195.0981,1
7084.563,294.2798,1
7514.076,178.4717,1
6680.466,124.4839,1
6315.344,210.802,1
7479.549,127.1816,1
7399.435,147.168,1
7079.035,249.5591,1
7162.965,210.0706,1
7041.999,181.3301,1
7415.709,332.9385,1
7306.32,306.5884,1
7440.796,293.446,1
7297.167,206.9612,1
5719.662,244.9329,0
7228.917,92.45361,1
7383.535,150.8762,1
7498.111,115.9136,1
7493.199,154.2466,1
7830.804,189.4998,1
7412.331,325.4529,1
7333.052,222.3755,1
7330.109,112.4644,1
7351.165,134.6863,1
7435.59,121.2195,1
7212.653,178.1621,1
7193.292,290.6123,1
7226.035,15.62549,1
7262.732,255.2932,1
7362.354,279.5886,1
7270.306,152.1484,1
7191.343,180.3054,1
7294.028,131.9478,1
7553.48,66.48682,1
7499.481,274.6245,1
7184.498,241.7319,1
7148.761,188.5159,1
7332.896,196.9231,1
7104.375,23.56201,1
7505.637,30.68213,1
7332.77,194.1199,1
7143.92,113.2024,1
7519.284,60.06763,1
7430.989,113.6875,1
7318.857,90.13086,1
7559.796,163.489,1
7355.328,177.897,1
7221.875,228.0159,1
7384.526,41.28296,1
7412.016,248.1914,1
7399.628,189.625,1
6918.518,188.5825,1
7042.587,225.833,1
7167.432,142.1162,1
7255.435,182.6948,1
7352.337,173.3733,1
7296.375,190.0581,1
7291.917,240.5281,1
7244.862,256.9343,1
7624.44,245.363,1
7210.439,295.4614,1
7376.134,105.2668,1
7114.253,174.1765,1
7446.905,115.7813,1
6097.107,225.2505,0
7207.562,194.5811,1
7308.831,127.5681,1
7309.495,268.2451,1
7278.477,240.1877,1
7289.402,348.3411,1
7370.639,128.585,1
7328.57,297.3152,1
7219.258,108.5417,1
7312.6,217.1697,1
7116.284,175.0178,1
7257.306,169.8972,1
7070.731,219.2656,1
7839.731,210.6353,1
7618.721,125.5864,1
7209.214,254.1724,1
7332.196,125.4797,1
7480.561,221.9443,1
7366.441,160.0549,1
7101.972,247.0808,1
7045.718,176.3933,1
7345.471,300.1179,1
7493.579,150.1685,1
7019.268,100.7229,1
7301.501,238.7629,1
7168.032,248.2656,1
7252.437,111.8892,1
7024.433,235.3291,1
7272.935,231.2986,1
7422.616,190.7603,1
6646.061,251.1121,1
7074.318,242.2981,1
6091.26,237.1201,0
7232.257,212.6853,1
6857.84,284.2258,1
7208.348,252.4749,1
6082.186,303.2229,0
7307.967,144.5771,1
6888.056,247.2505,1
7329.039,197.1194,1
7661.834,267.0554,1
7069.49,345.7427,1
7420.224,90.45264,1
6971.904,189.5078,1
6132.535,247.0151,0
7381.268,201.8887,1
7571.619,31.10278,1
7638.882,68.10669,1
7288.343,254.4744,1
6645.621,218.3328,1
7409.566,332.1951,1
7320.715,172.8696,1
7140.182,271.688,1
7334.893,271.3997,1
6827.1,124.1431,1
7450.493,79.11865,1
7358.057,40.79346,1
7357.086,96.51416,1
7119.557,145.0847,1
7211.223,181.28,1
7389.07,231.9702,1
7280.056,194.6714,1
6992.112,218.7942,1
7491.403,72.29932,1
7286.222,155.4009,1
7262.85,175.0596,1
7008.386,288.2917,1
7320.72,159.1243,1
7559.178,252.0623,1
7368.356,222.4604,1
7112.547,218.1475,1
7325.951,194.5659,1
7163.412,165.1243,1
7344.472,205.3894,1
7457.412,188.051,1
7114.466,334.3269,1
7452.125,230.1008,1
7471.254,131.5249,1
7147.067,271.2163,1
7181.071,134.3706,1
7435.299,126.1755,1
7255.013,191.1768,1
7298.805,331.6401,1
7402.163,157.4514,1
7272.148,131.7334,1
7553.583,127.7764,1
7179.655,160.9155,1
7178.966,212.7766,1
7192.492,182.1138,1
7299.925,207.9795,1
7524.755,356.7207,1
7375.477,221.6687,1
7393.774,269.9243,1
7229.522,156.1868,1
6977.299,218.8899,1
6967.979,268.9705,1
7586.547,207.2292,1
7136.099,133.1282,1
7613.109,185.5149,1
7275.264,92.72583,1
7124.614,255.9067,1
7172.738,237.0432,1
7328.438,254.4939,1
7327.754,344.064,1
7386.975,127.9019,1
7193.867,103.4265,1
8029.2,85.79492,1
7292.872,162.958,1
7087.051,200.0959,1
7631.205,405.5383,1
7118.896,188.3682,1
6414.715,190.887,1
6562.728,110.5117,1
7337.385,155.1401,1
5838.895,193.7983,0
6513.976,174.2554,1
7430.873,168.6777,1
6841.155,193.7886,1
7799.417,229.2966,1
7328.895,231.2761,1
5306.07,213.3369,0
7278.152,215.4585,1
7210.258,231.1628,1
7529.243,98.66626,1
7390.541,207.689,1
7236.292,221.6653,1
7113.732,151.051,1
6892.336,305.3745,1
7340.865,135.7092,1
7400.588,247.4021,1
7050.593,216.0256,1
7189.633,238.0039,1
7016.291,163.1055,1
6861.607,441.9595,1
7413.411,165.2251,1
7150.528,186.3979,1
7185.375,206.2219,1
7155.78,210.4006,1
7447.895,91.37891,1
7044.171,248.707,1
7284.267,155.4495,1
7172.054,217.7585,1
7263.381,219.9688,1
6513.429,120.9905,1
7456.132,168.1572,1
7300.923,182.3606,1
7271.502,201.5916,1
7063.291,258.9746,1
7379.059,145.033,1
7576.936,203.2573,1
7303.336,230.051,1
7551.826,98.9458,1
7350.322,89.88647,1
7136.783,325.7905,1
7390.502,169.4688,1
6955.977,266.4556,1
7400.752,170.9624,1
7258.744,199.0488,1
6849.193,169.2498,1
7238.068,170.9871,1
7192.177,176.5957,1
7171.593,413.9556,1
7292.85,160.1211,1
7177.113,171.6216,1
7070.59,95.0708,1
7373.009,160.885,1
7409.97,155.8538,1
6970.385,277.4009,1
7300.915,224.7686,1
6988.267,165.7615,1
7507.366,90.94995,1
5771.635,202.9421,0
7575.536,219.2585,1
5791.003,249.9771,0
7078.923,219.1931,1
7285.675,149.866,1
7506.524,34.45508,1
7188.656,222.6763,1
7177.914,112.3081,1
7158.754,138.4763,1
7179.199,267.0208,1
7000.316,162.6396,1
7197.737,226.6533,1
7238.813,117.259,1
7254.655,115.7234,1
7518.767,239.8228,1
6793.913,332.6389,1
6938.277,208.7715,1
7191.791,227.095,1
7257.671,203.7427,1
7477.434,156.1204,1
7170.385,257.9287,1
7487.363,225.8423,1
7279.743,114.4009,1
7526.413,197.6794,1
7014.688,174.8979,1
7184.519,142.6006,1
7330.684,163.4998,1
7234.001,235.1282,1
6338.369,202.3562,1
6729.53,192.1804,1
7361.043,285.8633,1
7139.74,166.8433,1
7182.535,279.562,1
6914.827,248.3022,1
7179.967,198.0183,1
7283.102,236.0503,1
7268.791,179.4395,1
7259.69,134.3406,1
7126.419,16.79224,1
7277.562,226.3469,1
7418.6,175.4314,1
7231.171,111.125,1
7350.595,193.3469,1
7159.939,231.4983,1
7224.428,209.376,1
7150.599,114.8694,1
7369.652,160.8984,1
7206.466,120.5891,1
7629.228,298.3923,1
7256.224,188.4575,1
7309.944,46.09497,1
7070.216,4973.1,
6252.814,216.1443,1
7207.345,185.554,1
7560.724,213.8555,1
6815.733,232.7295,1
7535.771,136.0442,1
7167.809,274.9434,1
7409.826,223.1077,1
7363.254,168.9624,1
7253.656,139.7134,1
7460.493,120.7925,1
7090.296,190.2927,1
7046.336,161.3813,1
7176.857,252.0713,1
7342.432,141.9194,1
7843.584,321.7329,1
7562.445,83.52417,1
6334.434,169.584,1
7080.245,224.1077,1
7352.575,196.2639,1
6542.955,186.0488,1
7167.942,210.8005,1
7166.78,176.0154,1
7242.014,267.0618,1
7286.556,240.4299,1
7184.643,167.4951,1
5612.722,269.8857,0
7352.75,276.0339,1
6526.514,233.0793,1
7314.685,204.397,1
6957.29,93.82349,1
7587.07,308.0928,1
5518.545,301.7795,0
7184.892,210.6619,1
7170.708,45.5105,1
7245.513,231.3113,1
7380.345,114.5859,1
6659.782,151.3035,1
7241.642,123.9961,1
7540.969,194.5144,1
6418.351,190.1589,1
7360.416,227.0588,1
7243.638,157.7058,1
7217.521,278.1816,1
6991.133,276.7937,1
7182.988,186.6694,1
7004.427,164.0515,1
7213.807,173.8381,1
7646.502,150.7041,1
7348.793,279.916,1
6994.385,252.6421,1
7210.507,169.9253,1
7541.052,218.0647,1
7454.103,147.5835,1
6952.305,138.7246,1
7292.192,215.4905,1
7408.051,163.2964,1
7108.798,272.9731,1
7594.916,269.9827,1
7287.19,197.5493,1
7264.576,292.8582,1
7743.047,278.51,1
7036.066,112.676,1
7081.427,230.0806,1
