Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
4125.573,214.2153,0
4078.322,340.8921,0
4131.223,374.5137,0
3926.62,393.2062,0
4253.285,350.0085,0
4165.122,308.9219,0
4224.26,292.8889,0
3922.245,198.5211,0
4226.859,331.9495,0
4214.814,378.9534,0
3996.795,387.9691,0
4129.402,253.0906,0
4083.329,389.7687,0
4122.365,324.7227,0
4260.663,206.5315,0
3990.931,418.7043,0
4270.777,245.4607,0
3983.959,303.7639,0
4082.807,311.6191,0
4098.984,344.0511,0
4205.095,387.0356,0
4276.261,392.8003,0
4104.213,291.1674,0
4058.399,343.0706,0
4016.279,360.1161,0
4248.247,284.7991,0
4094.766,300.1394,0
4277.065,256.7058,0
4118.027,370.8276,0
4288.113,309.3232,0
4194.68,321.0029,0
3860.023,255.0248,0
4196.407,261.5574,0
4371.217,342.7129,0
4097.89,382.5193,0
4207.121,265.585,0
4132.436,272.8303,0
4183.638,301.323,0
4218.542,285.4663,0
4002.331,253.8284,0
4048.762,326.7942,0
4310.428,379.0537,0
4121.809,267.4797,0
4147.01,267.8491,0
4047.584,311.1853,0
4316.579,352.0947,0
4040.039,284.9348,0
4198.747,332.1868,0
3855.957,255.8269,0
4168.875,314.7163,0
4168.371,369.948,0
3919.679,284.875,0
4213.271,346.9851,0
4179.898,284.572,0
4150.208,261.3481,0
4092.969,259.474,0
4127.906,343.4929,0
4097.507,307.6635,0
4245.316,283.0005,0
4031.022,324.3264,0
4034.825,208.662,0
4065.631,314.9292,0
4067.895,328.8721,0
3784.766,269.0864,0
4036.71,258.9465,0
4009.487,337.6195,0
4111.058,222.8582,0
3967.25,282.1481,0
4095.919,346.1382,0
4131.122,384.6162,0
3951.726,351.6981,0
4160.519,369.2598,0
4150.027,370.9055,0
3997.039,259.6145,0
4110.746,297.678,0
4148.456,324.6387,0
4150.839,251.2515,0
4078.551,417.4231,0
4243.274,268.4666,0
4028.915,265.2087,0
4004.127,249.4792,0
4144.228,359.5679,0
4031.526,258.7688,0
4191.558,351.5845,0
4208.475,246.6038,0
3956.214,371.8578,0
4041.994,283.777,0
3954.134,374.2216,0
4146.096,276.1089,0
4101.802,391.4949,0
3971.401,282.8683,0
4000.958,249.1462,0
4057.287,340.9038,0
4134.731,300.9954,0
4273.619,341.697,0
4047.315,340.6606,0
4190.749,235.533,0
4198.222,314.7261,0
4011.301,321.7633,0
4073.077,284.6824,0
4281.993,332.0254,0
3870.633,311.2626,0
4044.538,378.8849,0
4115.195,314.5927,0
4389.797,238.0269,0
4041.824,406.3702,0
4140.755,389.8206,0
4189.173,319.6401,0
4146.107,389.5469,0
4119.478,330.5933,0
4040.756,294.1892,0
4108.55,424.9478,0
4174.128,351.29,0
4307.177,163.3821,0
3928.012,282.1797,0
4089.127,271.5865,0
4099.459,299.6136,0
4212.458,322.1506,0
4086.737,343.3347,0
4187.399,370.7886,0
4143.022,260.9011,0
4129.764,335.1187,0
4179.919,338.0549,0
4139.974,275.4924,0
4073.159,271.9652,0
4147.627,322.7964,0
4231.36,328.6516,0
4182.066,346.9116,0
3875.604,245.028,0
4141.299,275.6772,0
4198.615,250.0068,0
4060.307,285.0374,0
4248.478,282.959,0
4283.193,319.1653,0
4041.447,248.7861,0
4250.594,277.9968,0
4110.944,334.0748,0
4134.867,320.6433,0
4313.794,260.9155,0
3946.911,352.5344,0
4139.8,301.7278,0
4159.804,266.4585,0
3841.674,269.1809,0
4090.994,265.5929,0
4136.842,244.1777,0
4176.285,378.1606,0
4174.309,303.063,0
3962.52,288.1438,0
4122.017,297.3923,0
4095.575,300.3994,0
4258.269,292.8975,0
4054.83,327.9915,0
4154.423,287.9202,0
4127.224,395.1099,0
4238.848,455.1768,0
4037.634,345.813,0
4097.231,369.417,0
4292.525,235.8826,0
3888.559,250.5891,0
4199.771,325.0481,0
4084.783,269.599,0
4310.119,181.343,0
4004.339,221.6064,0
3986.945,331.0795,0
3999.444,293.9249,0
4107.374,237.037,0
4170.794,332.5142,0
4384.33,278.7339,0
4115.298,301.8783,0
4171.741,418.5781,0
3961.376,265.2168,0
4114.688,332.2754,0
3929.81,354.5457,0
4042.13,301.892,0
4200.314,317.4707,0
4095.843,256.0253,0
3964.854,287.0887,0
4124.953,276.7058,0
4278.89,285.8142,0
4293.859,360.5488,0
4203.796,295.2788,0
4211.069,435.7463,0
4093.396,365.321,0
4173.215,315.6877,0
4094.789,264.6349,0
4272.336,273.8977,0
4222.972,280.1143,0
4159.95,300.0432,0
3904.288,305.5653,0
4108.664,368.5447,0
4145.543,318.9065,0
4236.925,284.291,0
4039.635,360.8153,0
4356.812,281.4771,0
4071.894,268.048,0
4186.797,364.8137,0
4248.612,319.9729,0
4041.254,320.2004,0
4153.632,288.2405,0
4211.487,309.5159,0
4163.88,311.804,0
3673.095,354.1788,0
4236.469,323.6741,0
4193.914,360.4001,0
4180.27,269.0266,0
4171.648,371.2075,0
3759.723,260.9893,0
4046.29,387.6307,0
4252.579,330.115,0
4049.375,266.3995,0
4170.647,336.9143,0
4164.53,282.1316,0
4107.173,371.5081,0
4282.052,306.1724,0
4097.655,337.4471,0
3964.592,230.8302,0
4224.37,347.8074,0
4210.156,350.5876,0
4180.56,326.9063,0
4126.089,240.9083,0
4009.233,331.7595,0
4316.618,342.0056,0
4871.085,434.4192,0
4085.421,268.3011,0
4085.911,356.6112,0
3886.533,339.4934,0
3942.094,352.7198,0
3968.254,358.6547,0
4385.58,236.1196,0
4045.991,305.7196,0
4316.029,323.5488,0
3744.855,393.5946,0
3948.947,377.7489,0
4048.776,333.0055,0
4343.07,249.7656,0
4049.768,302.1561,0
3985.883,275.3433,0
4110.304,331.1957,0
4020.452,261.6848,0
3975.32,337.7562,0
4304.943,233.1538,0
4035.073,334.5513,0
4132.666,372.0264,0
4357.003,229.3616,0
4137.97,301.5974,0
4165.293,327.6812,0
3767.043,299.0813,0
4029.319,294.3142,0
4176.461,245.0205,0
4179.579,262.8301,0
4103.023,361.3501,0
4080.478,251.8236,0
4182.316,317.6458,0
4130.081,366.2048,0
4012.215,327.2161,0
4045.296,272.8772,0
4139.235,232.3789,0
3829.007,250.7256,0
4146.497,306.9988,0
4247.831,294.145,0
4041.236,242.7676,0
4026.353,364.5839,0
4102.626,358.2537,0
4273.695,312.3467,0
4067.723,303.4188,0
4204.112,331.062,0
4576.598,358.2666,0
4231.179,402.1965,0
4014.456,239.0311,0
4082.8,266.0261,0
4203.675,257.2356,0
4056.366,240.7543,0
4300.167,250.4294,0
4091.593,311.4824,0
4170.338,308.363,0
4199.609,318.7712,0
4067.133,254.5272,0
4181.364,271.2261,0
4251.8,215.3726,0
4125.233,277.1094,0
4082.415,320.601,0
4081.878,282.3593,0
