Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Caraur
364.4421,426.8466,0
304.3536,414.8929,0
343.8342,464.4438,0
354.0637,399.1063,0
327.774,403.7681,0
349.3527,431.5951,0
338.9454,359.2795,0
330.7053,455.7138,0
343.6723,477.4986,0
358.8486,352.3391,0
361.17,414.0689,0
338.0123,421.9703,0
365.2445,425.5549,0
331.1638,484.049,0
350.5047,433.6884,0
334.5648,455.7694,0
332.8183,407.1771,0
343.083,446.007,0
313.7452,427.1616,0
358.0279,437.8557,0
327.5851,463.6968,0
355.359,406.2756,0
353.1306,381.6161,0
335.5363,373.3298,0
319.989,464.5944,0
368.8975,427.1238,0
319.9539,425.1334,0
305.2542,428.6616,0
321.6569,420.7697,0
326.5481,374.976,0
381.9757,442.6439,0
316.4724,406.6559,0
356.8623,392.886,0
351.8782,378.5253,0
296.0511,470.323,0
340.7854,449.7543,0
324.8268,411.4222,0
365.0673,408.4337,0
302.4119,392.015,0
381.7134,383.5622,0
352.204,413.9875,0
349.1226,451.7063,0
321.3535,396.4843,0
361.0017,396.2148,0
355.2125,448.4993,0
344.0339,426.009,0
339.0228,420.4477,0
270.5392,406.591,0
321.3738,415.7026,0
378.3381,394.1089,0
323.5016,431.9949,0
351.7093,482.1679,0
344.3138,392.036,0
335.1437,444.1514,0
344.6971,428.1217,0
369.4467,425.6652,0
345.5685,460.352,0
322.1193,464.8286,0
335.8194,410.663,0
333.5854,353.8501,0
308.3668,398.4665,0
332.786,453.8286,0
347.443,449.7673,0
310.1632,369.4264,0
292.1788,426.1556,0
321.0234,403.9001,0
362.0466,407.1489,0
277.0591,422.4119,0
323.0939,372.2536,0
363.1699,398.9597,0
380.8622,435.9141,0
353.2722,453.362,0
327.639,390.5707,0
293.9759,423.5935,0
343.1655,441.3705,0
325.0619,449.7234,0
309.3141,427.7309,0
314.3404,371.5251,0
323.3585,460.6849,0
367.2794,455.6135,0
330.3672,484.5065,0
319.3351,402.5921,0
327.0294,377.5934,0
303.4956,467.528,0
313.9858,464.5935,0
346.2321,412.6291,0
317.326,431.3271,0
360.8237,469.4532,0
332.7128,427.8701,0
388.5867,412.1077,0
358.0292,415.5881,0
319.7072,468.2097,0
331.1327,466.921,0
323.0551,406.4626,0
