Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Caraur
343.9608,518.924,0
331.3691,422.1475,0
371.0483,347.3821,0
352.8559,372.4753,0
343.0443,470.0626,0
340.4418,431.3463,0
325.6931,437.8114,0
363.2639,471.7482,0
338.9634,495.1088,0
363.529,483.1963,0
353.2421,390.5654,0
395.7893,447.1006,0
330.3502,430.9836,0
353.6726,462.3191,0
396.0424,426.5782,0
328.3123,494.6699,0
368.8306,433.8219,0
340.4012,437.2436,0
349.6202,454.72,0
346.286,412.6119,0
329.3225,408.4937,0
339.4839,485.4106,0
314.3488,439.4552,0
365.1184,458.2222,0
339.9641,404.3457,0
338.2378,440.8707,0
366.6255,456.143,0
328.8327,420.0939,0
334.3542,466.4177,0
349.0568,445.5606,0
353.9425,441.9297,0
364.263,481.3213,0
287.8317,409.6929,0
310.06,514.9606,0
402.7089,448.2745,0
330.4305,411.982,0
352.6157,442.936,0
421.4974,413.5955,0
381.7801,426.7686,0
399.9316,520.8453,0
361.1348,434.5553,0
380.3994,411.1508,0
343.228,397.5908,0
366.4036,386.2273,0
362.5826,389.1741,0
354.8712,393.6892,0
340.8716,400.516,0
319.7474,466.1507,0
319.4867,391.2954,0
345.1484,493.7781,0
329.9202,455.8005,0
362.8769,465.8856,0
325.1654,473.9436,0
323.5596,472.7543,0
361.2949,433.2498,0
365.8531,357.6474,0
347.9336,420.5874,0
333.1363,427.2147,0
334.28,452.9381,0
380.7141,421.2368,0
322.8363,372.0349,0
311.1989,468.8679,0
386.0195,413.4449,0
341.722,455.7525,0
318.1714,454.6669,0
362.6951,448.4195,0
362.0574,467.2716,0
332.757,437.6218,0
330.5565,457.3085,0
436.1863,348.08,0
338.3628,460.3297,0
301.2116,383.1456,0
344.8754,463.7068,0
385.074,435.951,0
350.9471,402.5606,0
379.2398,397.6025,0
377.0292,372.1648,0
349.3333,462.0178,0
318.8305,463.1352,0
360.2151,440.8291,0
342.4502,444.4634,0
351.11,443.4396,0
358.4919,405.0444,0
344.1136,442.1802,0
335.1042,463.6957,0
369.9133,446.8077,0
383.896,396.5414,0
339.9066,431.9038,0
365.7358,427.7451,0
343.0594,462.0251,0
339.688,418.411,0
336.1863,458.08,0
346.3992,487.8387,0
365.008,433.4653,0
384.7477,447.3536,0
397.9126,428.4021,0
391.5056,451.9822,0
362.4697,421.858,0
365.5624,421.2756,0
323.6658,437.2309,0
338.8352,514.4246,0
387.6859,412.3438,0
326.7914,466.144,0
352.7651,434.9151,0
287.1641,427.6012,0
310.4773,444.1676,0
326.1377,437.1376,0
355.5815,410.3412,0
418.1741,457.9431,0
380.736,411.0449,0
371.4583,404.7148,0
344.5682,411.0067,0
358.3292,416.9489,0
411.8442,443.0276,0
359.1208,431.1199,0
311.1023,375.8905,0
335.7016,418.3373,0
359.0634,336.4622,0
331.9605,432.3858,0
349.8925,472.0909,0
304.4569,414.9832,0
381.7381,451.2299,0
353.0874,399.7935,0
365.8218,472.863,0
310.7528,398.0969,0
334.4815,490.7529,0
321.9367,404.4243,0
323.8499,360.3402,0
341.7287,436.2787,0
360.9011,438.7524,0
334.143,378.0317,0
321.8175,439.4003,0
355.7763,470.0865,0
344.5702,521.2651,0
370.0658,442.0117,0
351.0482,414.3294,0
361.83,422.4048,0
360.319,444.0107,0
340.3583,395.8503,0
389.7377,401.0571,0
358.1623,441.9752,0
322.1186,453.0216,0
340.9003,426.234,0
382.7601,445.5228,0
356.1714,420.3874,0
344.8928,416.8989,0
360.3298,433.0861,0
371.0815,420.3879,0
356.5395,438.2359,0
331.1347,425.2684,0
354.8193,404.4664,0
321.5043,446.5416,0
355.3236,456.5669,0
302.9651,410.4402,0
373.3411,408.4618,0
313.3025,485.9739,0
283.7253,539.4938,0
354.733,412.7758,0
366.7095,403.0129,0
384.5667,425.446,0
313.211,449.2805,0
318.2643,484.3887,0
343.6912,507.2789,0
351.3489,469.5092,0
386.8993,465.9294,0
327.5901,456.363,0
358.1866,425.5383,0
304.9004,439.6718,0
336.731,423.9272,0
348.261,434.8375,0
325.9907,415.5455,0
345.6469,438.2437,0
373.2441,483.8448,0
343.3127,475.3136,0
304.8754,453.2905,0
354.2856,404.53,0
300.1234,480.2988,0
348.2383,406.5105,0
361.2184,430.6631,0
322.1201,492.8112,0
335.7455,531.1855,0
340.6495,404.6346,0
431.9689,395.0547,0
330.9244,455.6522,0
340.8897,469.5202,0
387.0466,477.6691,0
345.0508,432.5621,0
353.3897,491.8465,0
311.4797,365.6829,0
369.1467,475.6076,0
331.7335,489.523,0
324.8358,410.1161,0
358.5131,378.0367,0
316.9697,414.2589,0
372.5057,413.3141,0
376.8843,481.8877,0
388.8508,470.6479,0
341.8524,419.3309,0
342.5398,437.8727,0
346.8914,484.3154,0
324.7107,398.913,0
352.6119,386.3395,0
329.3816,459.3481,0
328.2735,438.9425,0
328.4842,430.2214,0
313.9673,436.5239,0
361.2513,419.8044,0
308.3862,449.1487,0
373.0542,429.4706,0
382.8651,485.1775,0
347.539,350.6985,0
297.0671,436.912,0
338.3892,455.5598,0
358.8425,416.9326,0
350.7414,487.073,0
355.3109,470.4276,0
400.6461,401.0659,0
374.4547,415.0253,0
300.6376,433.6274,0
341.2359,408.5313,0
315.7961,468.1002,0
341.98,470.0256,0
295.5779,491.8876,0
427.1664,422.3082,0
324.7686,418.5077,0
344.9522,395.531,0
376.9985,369.3543,0
309.2733,407.098,0
316.7642,431.2578,0
325.0465,411.6991,0
383.7493,469.8207,0
349.9371,444.1804,0
339.2176,457.0599,0
343.5851,432.0276,0
327.2351,440.4057,0
321.9634,433.6829,0
388.7748,430.5319,0
350.9286,423.4465,0
347.0419,423.6002,0
389.0247,424.2552,0
384.9474,451.0095,0
311.5601,416.02,0
357.5376,430.1344,0
312.1391,430.9418,0
360.0437,388.5612,0
357.1518,415.9488,0
351.3828,484.9965,0
365.1862,465.9926,0
335.5409,456.9392,0
343.7237,409.7974,0
365.6804,395.2851,0
348.9594,429.3279,0
348.7816,425.6506,0
358.019,440.588,0
338.3557,431.9723,0
366.1769,435.9853,0
356.8663,450.5571,0
357.9527,423.8135,0
360.7498,410.7954,0
322.3953,432.8676,0
343.4794,460.8539,0
321.1248,463.0103,0
343.2967,489.5839,0
347.9114,427.784,0
374.5317,406.1538,0
335.694,478.3242,0
340.8677,438.9981,0
366.0435,418.7511,0
322.6533,425.231,0
358.6928,407.5399,0
343.9952,461.4651,0
386.2034,412.4108,0
324.7366,499.2709,0
319.3055,431.1222,0
333.5226,467.459,0
378.8633,407.7606,0
351.5829,391.9792,0
349.3004,442.8341,0
335.4426,415.5428,0
373.2842,470.2249,0
344.6012,396.6805,0
320.0933,483.5983,0
337.4164,434.4536,0
367.1553,431.1313,0
353.5793,489.7772,0
342.8536,426.5829,0
362.2948,417.541,0
330.4161,405.9018,0
334.3411,419.8738,0
369.3206,453.569,0
401.5962,435.8267,0
374.3992,425.3079,0
334.3757,389.3378,0
338.9081,422.4116,0
344.5635,450.4531,0
369.3611,458.4124,0
389.1447,398.83,0
370.2402,403.2438,0
395.7085,385.4023,0
325.3956,416.7887,0
337.335,433.5479,0
344.2799,396.0245,0
326.8421,511.5634,0
327.4477,420.6653,0
354.2456,418.189,0
323.6063,428.3559,0
314.2325,463.7851,0
358.3862,392.9642,0
320.7821,380.2047,0
383.6049,400.318,0
380.5038,439.5156,0
342.8237,418.7851,0
416.635,380.7936,0
305.0248,458.5192,0
325.064,442.5147,0
322.3676,485.948,0
350.0957,431.239,0
299.4709,502.0007,0
326.7974,425.6974,0
382.2053,367.5019,0
310.4579,493.2265,0
338.8312,373.0933,0
341.2743,428.8728,0
331.9751,454.9171,0
401.5184,405.5831,0
339.0145,414.5133,0
342.5436,420.0464,0
315.2051,430.7727,0
331.5616,390.6212,0
365.1794,422.6025,0
365.6728,380.5674,0
368.4069,495.3125,0
290.6451,403.357,0
359.8356,412.1321,0
341.3377,441.3264,0
386.2772,394.4424,0
312.3622,432.8354,0
326.7015,388.1456,0
362.8321,464.1,0
337.3029,401.1529,0
329.4467,425.9251,0
366.3424,415.1027,0
403.4802,428.2308,0
346.4142,531.1328,0
385.8513,404.6959,0
359.8611,415.2607,0
332.2952,429.0969,0
319.5659,415.259,0
384.4056,396.6031,0
309.6807,407.4734,0
346.7718,500.2735,0
345.1711,440.0266,0
357.5765,449.0514,0
367.8173,395.7246,0
341.7216,397.752,0
333.2607,498.1866,0
388.9893,411.5986,0
352.3787,453.0355,0
359.7705,478.8617,0
393.3213,457.5614,0
376.4811,421.4678,0
344.4731,401.8545,0
358.9586,428.7653,0
344.4395,454.5247,0
388.2665,400.1653,0
333.3712,462.0288,0
357.0453,437.9087,0
373.2475,447.6349,0
345.9871,416.9888,0
352.9381,451.7607,0
303.4116,431.3863,0
310.8154,467.5603,0
406.6349,437.5004,0
360.217,425.9068,0
342.437,475.3486,0
339.1865,412.7,0
297.6864,426.3858,0
337.9011,367.3882,0
341.611,426.7796,0
329.8056,460.9957,0
359.285,420.7766,0
342.2164,446.4738,0
316.0776,458.6241,0
376.5999,412.4567,0
349.8951,425.2148,0
361.7105,424.8038,0
376.8543,482.6921,0
326.9495,432.2286,0
296.582,474.425,0
330.6332,398.6229,0
318.0547,457.71,0
292.5946,445.651,0
346.7451,500.9031,0
327.7698,413.1835,0
351.2486,443.4807,0
336.8566,447.9147,0
358.9351,419.8719,0
322.2999,436.1201,0
280.1178,453.2591,0
282.3056,453.9836,0
338.7032,437.1852,0
373.531,373.6332,0
327.591,459.4229,0
359.0154,410.1638,0
349.2262,440.491,0
343.9857,404.1375,0
306.9075,451.2672,0
338.159,454.2654,0
361.2602,408.7907,0
345.0557,410.1614,0
357.8877,417.6989,0
331.7811,446.768,0
300.6028,446.7977,0
375.0424,457.782,0
362.1719,401.5647,0
381.9702,451.754,0
349.8481,435.1229,0
277.734,367.4295,0
393.7676,495.735,0
363.2047,438.5944,0
357.4379,426.7349,0
346.7144,389.4575,0
319.3701,437.2484,0
350.2357,473.5174,0
340.358,452.3687,0
402.5495,453.0243,0
373.0813,455.9709,0
339.7893,414.6513,0
341.1082,502.2747,0
420.8993,461.9694,0
346.4938,421.0443,0
367.453,418.4657,0
368.0989,426.6802,0
367.2418,452.018,0
343.3369,444.4164,0
343.7751,405.8856,0
367.6283,461.9477,0
355.0465,360.3643,0
347.3397,437.5117,0
326.0807,424.2283,0
343.5145,403.7893,0
296.7788,407.5672,0
366.8857,470.4221,0
313.4277,472.542,0
362.6613,427.3788,0
364.7249,441.5361,0
