Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Karmik
816.447,349.7825,0
834.194,355.4176,0
670.1733,299.5387,0
723.4659,352.515,0
791.7874,327.8603,0
806.8583,369.3016,0
812.1475,313.7368,0
812.0527,378.9015,0
786.6272,383.5538,0
810.3067,349.7216,0
774.979,468.2644,0
680.4614,362.7928,0
707.567,390.5881,0
838.9576,390.0685,0
892.7527,352.9056,0
833.0885,358.651,0
712.5111,319.2494,0
803.7488,361.5004,0
756.9254,307.1505,0
820.3181,330.2385,0
788.4732,350.9756,0
838.0752,391.3277,0
883.2584,321.7038,0
816.8843,383.241,0
941.0642,422.7485,0
726.2908,371.8467,0
992.9824,416.8141,0
790.7247,301.825,0
780.2517,330.8192,0
825.134,313.7035,0
762.3864,331.1405,0
751.858,372.6351,0
763.5267,356.1239,0
751.684,322.9123,0
685.1108,330.397,0
817.7995,301.1764,0
706.8932,382.1978,0
730.1063,338.9343,0
749.2097,336.106,0
769.2423,334.919,0
769.8624,361.0601,0
774.5771,379.4604,0
786.5272,338.8507,0
845.8843,383.5862,0
754.8474,326.907,0
802.4785,409.8851,0
741.8181,316.5937,0
791.2885,387.4096,0
773.157,362.9288,0
921.9137,323.5274,0
859.3432,394.7409,0
683.2822,294.1284,0
770.0337,328.2822,0
768.5681,374.049,0
778.7705,329.8159,0
766.5075,367.0961,0
747.9862,359.4323,0
738.6216,336.0109,0
774.78,352.0957,0
762.1634,309.2411,0
755.8608,277.2459,0
829.9409,328.8737,0
707.0505,337.8793,0
813.333,380.6477,0
772.0031,416.988,0
789.1074,324.7384,0
810.0502,323.2694,0
837.8695,276.7688,0
732.1127,433.6812,0
789.0486,345.6047,0
822.4874,330.8445,0
800.424,294.9588,0
801.4,360.8423,0
802.9509,356.0383,0
885.849,362.8068,0
700.0298,299.703,0
723.3261,300.5148,0
705.2641,325.5528,0
763.1156,309.0865,0
687.6644,359.8961,0
652.5286,445.7188,0
810.7338,386.4717,0
734.1747,386.6155,0
797.3921,337.7103,0
852.3434,401.8228,0
819.3655,307.0972,0
789.7632,351.5968,0
883.913,362.1294,0
757.936,348.9555,0
751.0579,327.3434,0
733.2538,312.2672,0
811.1926,314.6674,0
772.7931,335.1865,0
765.2449,384.3873,0
736.314,432.1125,0
866.2332,317.683,0
793.8176,328.533,0
759.8717,359.908,0
725.2343,333.9195,0
718.6205,353.7672,0
708.8691,267.403,0
812.9379,330.75,0
742.3506,337.0499,0
816.944,394.2738,0
781.2751,309.9825,0
808.8533,296.0404,0
864.9407,413.6807,0
859.6978,337.0477,0
866.7468,345.7881,0
773.1882,290.6442,0
796.1792,349.7859,0
864.7544,348.2691,0
760.4357,365.1,0
759.6105,447.9319,0
702.0261,398.3504,0
828.4076,414.7333,0
745.8528,284.7113,0
864.025,372.4873,0
844.9929,389.8553,0
806.385,327.8257,0
732.0154,333.8161,0
749.5269,378.7284,0
830.8248,327.3193,0
818.7887,317.7104,0
727.605,395.0899,0
796.7861,348.0639,0
723.1766,338.2108,0
761.8533,355.3156,0
772.2047,287.5174,0
811.8328,363.2595,0
844.4443,414.4022,0
765.2998,370.9201,0
764.573,383.9983,0
793.0798,320.9292,0
894.5043,339.6992,0
826.1947,366.4228,0
854.4943,323.4914,0
742.353,339.6888,0
925.0504,321.2747,0
743.4371,353.1544,0
786.7209,357.8608,0
788.9307,381.1411,0
835.5119,294.8645,0
762.9764,306.789,0
730.2371,373.9438,0
765.2538,366.1089,0
865.5618,417.9703,0
826.3697,313.4489,0
798.6691,316.7328,0
875.1732,324.6981,0
889.4337,326.3568,0
900.3362,352.6194,0
732.0072,304.7859,0
826.745,347.3447,0
824.3207,377.5337,0
874.8267,376.8985,0
844.861,311.087,0
830.5036,342.6988,0
722.5046,356.9449,0
823.4902,344.437,0
754.8326,363.7943,0
854.2539,344.0662,0
797.7887,395.4899,0
843.6014,373.5365,0
837.5009,397.3185,0
882.1955,251.5915,0
794.0526,320.0951,0
948.3977,302.6617,0
896.8201,369.3966,0
714.4552,333.7214,0
829.1674,368.7589,0
889.772,371.816,0
806.1608,328.795,0
756.2712,352.6389,0
765.956,378.0183,0
717.0189,296.0452,0
766.9583,315.1087,0
720.4934,328.486,0
777.8145,359.3835,0
741.582,389.18,0
683.9194,324.3724,0
744.3508,323.2643,0
869.3718,350.6095,0
766.4197,336.6752,0
799.1987,371.0573,0
823.2791,326.6437,0
751.0894,336.4425,0
794.3132,401.9662,0
745.9118,358.1267,0
750.9893,334.8184,0
781.8134,308.5049,0
794.7816,369.3644,0
837.7339,314.1534,0
808.5768,377.4658,0
883.4083,354.2018,0
765.0604,384.301,0
856.5979,355.0998,0
795.0895,358.3583,0
745.3528,277.2885,0
847.8157,300.0909,0
851.9738,362.0409,0
769.3864,258.5023,0
885.0521,298.688,0
775.9694,312.2646,0
807.7863,313.6151,0
784.4093,320.3252,0
820.0287,370.0806,0
814.4418,384.0871,0
795.4396,362.1209,0
883.1362,311.804,0
758.0848,318.1464,0
773.8158,316.1269,0
748.6697,326.8148,0
756.6097,377.6797,0
859.9767,370.0158,0
730.0331,328.2361,0
658.7017,295.1113,0
789.4342,351.0627,0
730.2231,348.5445,0
774.7361,284.3142,0
812.0043,370.6562,0
823.8333,365.4518,0
786.0756,376.7791,0
842.712,403.7601,0
865.3851,375.6176,0
838.7388,334.5999,0
797.1078,330.9814,0
899.8575,289.6548,0
844.7959,371.623,0
769.627,361.1995,0
755.1309,345.763,0
730.5817,366.2254,0
794.3622,382.2738,0
785.4434,373.5788,0
858.1691,303.5095,0
726.8408,293.8607,0
773.8352,363.9837,0
916.1212,343.1909,0
753.4727,379.2204,0
757.2535,313.2066,0
774.8235,310.3109,0
758.5067,399.9053,0
754.366,380.693,0
738.2164,311.0649,0
761.6453,304.1949,0
780.4911,292.1592,0
696.4096,333.3224,0
750.0801,347.0175,0
714.1384,329.7602,0
712.4272,356.991,0
728.0563,315.2332,0
752.8406,318.1973,0
768.629,315.8751,0
821.924,341.0664,0
869.5266,349.1224,0
773.1833,360.7812,0
785.4037,335.5428,0
733.6446,328.8665,0
738.8678,344.2451,0
754.6716,301.266,0
872.3713,301.3002,0
794.9402,334.3055,0
775.6322,331.1438,0
812.9851,367.7162,0
750.1902,306.3951,0
780.8779,340.823,0
770.1001,376.3732,0
707.233,296.9946,0
812.5162,434.1382,0
763.2181,347.7923,0
818.3306,324.0029,0
814.187,350.0143,0
779.3456,405.3892,0
806.2621,297.3378,0
781.0128,255.4646,0
806.6097,415.0645,0
735.0146,352.21,0
803.2302,459.944,0
797.031,371.1512,0
720.5536,341.3338,0
843.4788,359.1351,0
735.4519,366.8195,0
728.3713,280.8267,0
847.9131,349.5353,0
735.3156,366.7788,0
862.5659,323.4121,0
770.2051,397.3167,0
786.0852,424.0023,0
722.7738,313.2623,0
729.0197,323.5342,0
800.3048,359.896,0
