Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4411.392,173.0205,0
4278.723,182.8103,0
4449.087,205.5,0
4257.435,195.6658,0
4169.098,195.655,0
4246.888,213.2537,0
4651.178,123.0552,0
4516.883,135.3127,0
4302.425,106.364,0
4484.784,204.7773,0
4367.629,158.1592,0
4266.854,272.9214,0
4400.64,172.259,0
4352.188,167.8491,0
4554.487,117.7666,0
4429.118,189.6296,0
4372.308,242.3452,0
4124.574,254.6163,0
4353.246,144.3474,0
4491.687,147.4116,0
4640.696,136.0586,0
4527.725,321.23,0
4539.694,170.7407,0
4586.184,204.3862,0
4370.84,262.0403,0
4543.987,212.2625,0
4430.737,239.498,0
4527.084,81.66968,0
4617.712,182.7214,0
4461.953,216.1084,0
4333.547,100.8247,0
4543.369,192.9756,0
4375.703,158.1177,0
4281.044,201.5928,0
4554.661,133.7524,0
4538.717,199.9539,0
4610.907,209.3433,0
4470.532,197.9868,0
4415.791,214.6772,0
4470.067,111.3188,0
4549.031,267.0674,0
4510.396,139.1196,0
4673.321,192.0884,0
4315.02,245.0686,0
4549.748,206.9246,0
4501.958,263.4009,0
4530.453,154.2234,0
4427.365,165.7573,0
4303.519,58.25781,0
4488.033,171.8625,0
4240.506,279.582,0
4591.917,121.2952,0
4289.611,144.1411,0
4592.328,170.6235,0
4574.312,183.5293,0
4522.134,171.9873,0
4297.916,130.9119,0
4121.547,165.4063,0
4519.431,224.9482,0
4348.651,226.8665,0
4588.213,210.481,0
4508.508,195.9412,0
4404.559,228.4609,0
4355.094,123.0298,0
4400.923,221.6565,0
4610.394,123.658,0
4431.736,262.4128,0
4385.963,295.0042,0
4471.425,212.127,0
4713.738,68.26587,0
4311.845,157.8242,0
4442.625,223.9419,0
4323.813,220.2339,0
4524.323,189.9399,0
4400.152,210.1504,0
4173.268,202.8311,0
4359.666,235.4707,0
4509.996,145.5024,0
4342.533,225.7468,0
4438.802,220.8806,0
4487.163,221.6313,0
4220.659,203.1428,0
4229.938,203.7363,0
4147.757,189.8113,0
4466.886,158.7466,0
4643.072,108.2271,0
4634.18,101.2351,0
4139.462,251.4985,0
4504.465,216.5508,0
4097.828,205.6614,0
4259.25,249.8853,0
4267.862,108.2432,0
4362.774,217.571,0
4624.436,138.1968,0
4472.979,233.929,0
4594.662,190.1121,0
4522.686,212.7297,0
4521.87,226.637,0
4478.848,213.5532,0
4443.054,147.1963,0
4446.353,167.6611,0
4386.855,223.6594,0
4049.556,207.2509,0
4356.504,258.3535,0
4495.408,176.4746,0
4603.902,140.1514,0
4518.979,191.8049,0
4316.835,103.5251,0
4199.155,211.9607,0
4399.56,85.18701,0
4249.389,190.2905,0
4517.915,245.699,0
4693.731,143.1265,0
4463.622,226.0188,0
4534.75,144.8987,0
4452.7,148.7939,0
4186.989,176.7092,0
4320.613,150.3853,0
4364.43,152.0474,0
4436.259,154.2402,0
4420.688,243.3652,0
4558.649,137.2463,0
4327.019,302.7935,0
4407.031,189.8792,0
4358.438,150.3694,0
4203.941,194.8357,0
4590.335,89.16699,0
4430.118,254.5679,0
4381.528,245.8833,0
4574.623,112.1519,0
4622.167,174.1567,0
4191.754,158.3501,0
4311.673,191.8325,0
4292.745,197.9839,0
4177.872,283.501,0
4481.4,198.2632,0
4350.377,212.5486,0
4423.06,210.7373,0
4383.06,182.7393,0
4672.393,139.8733,0
4401.723,110.8418,0
4529.322,197.0569,0
4272.403,240.7378,0
4404.1,181.2449,0
4361.464,166.4492,0
4519.95,179.238,0
4585.372,234.083,0
4483.795,154.7205,0
4557.313,141.9221,0
4394.038,203.4038,0
4231.413,199.8623,0
4529.741,185.4399,0
4369.067,231.7156,0
4925.582,158.4895,0
4302.166,202.9866,0
4376.705,193.074,0
4282.943,189.1465,0
4561.556,206.4688,0
4123.073,198.2506,0
4318.701,195.261,0
4504.189,139.7268,0
4444.311,171.2988,0
4275.84,187.0393,0
4468.306,180.6465,0
4436.135,203.6465,0
4654.857,176.5447,0
4253.378,178.3345,0
4411.889,202.6023,0
4411.976,262.2839,0
4283.48,175.7983,0
4291.65,267.6223,0
4427.812,201.0381,0
4522.3,157.1726,0
4613.849,124.554,0
4618.352,215.292,0
4474.304,157.3794,0
4409.654,112.3943,0
4431.651,59.22607,0
4297.099,209.2153,0
4489.721,224.8799,0
4675.752,111.1924,0
4489.897,218.8616,0
4400.818,195.8591,0
4395.471,208.335,0
4404.84,156.7932,0
4590.894,150.8127,0
4280.15,251.6182,0
4479.364,155.0078,0
4615.34,218.3193,0
4414.907,260.3201,0
4492.423,218.4175,0
4424.978,189.2166,0
4239.69,249.5945,0
4275.13,156.4272,0
4772.673,150.2256,0
4638.926,197.8337,0
4357.205,217.2603,0
4379.916,166.7859,0
4352.846,215.7444,0
4231.604,230.0337,0
4536.771,199.9226,0
4186.254,162.1189,0
4420.105,174.6716,0
4516.352,188.3223,0
4427.88,226.8384,0
4562.172,136.4453,0
4266.413,228.499,0
4228.264,256.6448,0
4323.745,144.8418,0
4351.812,130.5229,0
4112.766,244.2853,0
4650.738,190.9412,0
4151.679,224.8875,0
4411.419,150.269,0
4431.487,134.8887,0
4262.931,234.6372,0
4398.308,239.3721,0
4337.418,172.2808,0
4454.431,295.7607,0
4415.433,147.7275,0
4551.16,146.4297,0
4558.433,207.8752,0
4606.259,104.2905,0
4324.607,230.8586,0
4611.915,194.0808,0
4287.928,202.2095,0
4625.266,162.2188,0
4390.553,243.7292,0
4494.603,60.54541,0
4249.385,157.165,0
4513.944,180.9373,0
4350.968,190.7205,0
4592.035,130.7285,0
4394.71,213.7324,0
4563.306,109.3618,0
4572.426,172.5527,0
4521.757,251.2834,0
4336.004,238.4377,0
4545.928,146.4402,0
4499.465,95.13159,0
4456.168,189.4609,0
4327.96,188.7788,0
4605.093,201.1294,0
4581.974,188.4102,0
4343.523,205.8179,0
4276.547,18.14355,0
4264.441,305.8652,0
4361.79,159.821,0
4525.614,242.0222,0
4540.544,196.3179,0
4319.762,255.0278,0
4524.484,146.5283,0
4408.566,168.1602,0
4563.965,192.7053,0
4319.872,120.7214,0
4522.094,166.7654,0
4102.552,224.7637,0
4326.966,216.5552,0
4490.188,208.6648,0
4493.014,217.3167,0
4385.186,164.0435,0
4316.779,285.7864,0
4650.84,54.60669,0
4270.395,253.4592,0
4394.073,236.9097,0
4445.371,189.3364,0
4493.54,253.1667,0
4668.062,116.2358,0
4203.584,264.2571,0
4414.063,295.2854,0
4401.208,191.666,0
4095.481,241.7285,0
4724.879,142.0413,0
4090.114,184.9044,0
4524.59,173.6021,0
4271.692,176.6531,0
4202.795,206.7268,0
4530.255,206.8865,0
4361.205,216.2576,0
4502.546,217.8708,0
4182.651,235.7437,0
4222.27,192.6707,0
4468.34,138.6692,0
4206.973,172.4607,0
4162.754,170.7632,0
4558.134,209.2444,0
4311.624,203.3164,0
4501.401,237.9038,0
4339.054,173.2498,0
4295.699,96.50195,0
4258.217,223.207,0
4403.218,249.8916,0
4563.951,165.0342,0
4403.323,210.5071,0
4528.452,97.8457,0
4335.732,192.8545,0
4178.231,174.127,0
4630.502,153.7192,0
4436.573,119.6265,0
4346.704,149.1563,0
4599.57,78.86768,0
4638.19,183.3564,0
4306.844,298.0071,0
4339.451,208.606,0
4399.348,250.7102,0
4443.875,67.7373,0
4379.99,224.0256,0
4241.084,189.199,0
4608.915,145.0659,0
4314.713,224.0779,0
4581.508,207.9941,0
4694.481,196.3696,0
4669.853,189.3423,0
4728.652,154.7048,0
4462.137,165.1821,0
4512.185,203.207,0
4376.478,169.2449,0
4205.342,233.1951,0
4312.547,218.5669,0
4481.017,211.8638,0
4528.718,209.6235,0
4459.768,201.9141,0
4422.888,241.9773,0
4346.936,263.6707,0
4256.669,210.4604,0
4300.956,245.7498,0
4741.36,168.6545,0
4652.781,232.8313,0
4494.687,213.2871,0
4350.913,173.9849,0
4252.139,218.2639,0
4066.971,206.3206,0
4302.009,129.3726,0
4674.194,190.4282,0
4460.086,131.2927,0
4587.773,189.8604,0
4135.46,149.697,0
4456.624,124.4106,0
3967.586,202.5042,0
4453.559,279.4253,0
4493.629,150.186,0
4157.882,298.1936,0
4242.913,162.5757,0
4485.334,248.821,0
4204.27,169.1702,0
4349.74,205.0151,0
4315.506,189.188,0
4764.986,108.2446,0
4453.575,222.5833,0
4316.887,228.0144,0
4529.093,125.4202,0
4231.109,257.5588,0
4343.765,251.6235,0
4476.913,167.9407,0
4453.383,260.0769,0
4510.11,211.499,0
4332.355,168.2974,0
3951.343,229.5297,0
4487.472,200.4839,0
4309.508,169.2219,0
4308.449,162.0801,0
4461.506,93.39038,0
4445.292,156.0703,0
4658.15,158.6909,0
4408.845,236.1318,0
4511.509,261.9727,0
4350.254,172.082,0
4443.275,227.8923,0
4533.7,236.0952,0
4423.423,215.8899,0
4478.142,122.158,0
4315.799,115.9558,0
4298.927,158.7642,0
4460.273,251.3467,0
4486.03,204.623,0
4440.384,194.9734,0
4637.619,262.8464,0
4266.806,266.7549,0
4401.859,171.6035,0
4350.114,106.5576,0
4420.297,204.8694,0
4485.125,250.7219,0
4318.196,245.3,0
4306.598,188.5896,0
4407.759,295.3274,0
4374.412,172.2056,0
4615.905,163.4126,0
4371.702,170.5437,0
4062.899,165.9023,0
4415.584,176.9426,0
4492.487,202.9124,0
4384.232,90.05908,0
4569.583,138.2358,0
4083.259,280.7294,0
4245.789,221.8162,0
4545.801,224.9458,0
4295.308,248.7109,0
4352.6,205.012,0
4459.971,175.2163,0
4681.113,128.543,0
4187.214,220.0693,0
4678.212,65.80005,0
4607.849,218.7209,0
4450.638,167.9541,0
4100.206,182.5977,0
4479.046,167.5176,0
4308.178,166.2002,0
4288.737,207.5266,0
4218.967,231.5608,0
4561.074,174.574,0
4782.607,181.1038,0
4681.819,141.1309,0
4229.537,116.3435,0
4613.863,103.8987,0
4527.701,205.396,0
4132.515,101.3354,0
4438.729,208.8931,0
4513.068,147.6692,0
4520.476,174.9717,0
4224.495,162.9922,0
4179.079,256.7163,0
4437.232,175.3337,0
4338.328,181.1318,0
4508.607,171.6855,0
4380.948,248.7893,0
4496.815,107.9131,0
4272.902,180.4238,0
4563.046,182.1455,0
4614.629,163.8418,0
4521.011,206.2859,0
4705.672,127.5645,0
4241.313,172.1721,0
4456.908,199.2112,0
4626.903,182.4521,0
4508.805,318.4451,0
4127.771,175.3943,0
4625.904,223.3884,0
4439.458,161.4121,0
4311.331,213.6848,0
4535.283,192.6946,0
4103.644,200.1611,0
4348.415,242.6563,0
4366.594,231.718,0
4631.189,210.1138,0
4260.831,135.9604,0
4337.198,166.8706,0
4319.36,341.2144,0
4282.696,226.7339,0
4400.384,214.8669,0
4596.515,312.5488,0
4436.403,193.7004,0
4029.821,253.2576,0
4534.967,178.2832,0
4198.081,226.5464,0
4447.084,156.8076,0
4431.458,158.4922,0
4649.94,141.2917,0
4514.935,142.7188,0
4393.941,139.4595,0
4411.691,208.1172,0
4048.514,219.5773,0
4370.884,241.2712,0
4279.798,260.4927,0
4465.38,230.2668,0
4395.435,241.2886,0
4160.474,218.158,0
4390.753,250.6746,0
4363.801,192.8552,0
4494.75,156.0576,0
4653.011,175.6765,0
4213.623,116.363,0
4640.506,172.991,0
4345.037,184.2803,0
4320.693,232.8286,0
4369.518,275.6187,0
4508.434,149.5276,0
4480.705,227.4634,0
4404.569,193.8264,0
4270.269,268.2385,0
4521.083,190.645,0
4267.625,164.6736,0
4492.945,208.8645,0
4151.643,207.3118,0
4477.476,323.5955,0
4741.947,275.7717,0
4544.042,201.9055,0
4359.326,241.5391,0
4344.376,125.729,0
4243.19,156.7573,0
4279.915,208.2078,0
4306.317,254.7361,0
4403.006,187.7749,0
4309.428,92.99902,0
4219.941,239.0583,0
4582.974,114.6223,0
4347.49,188.8813,0
4414.759,267.5112,0
4298.938,322.8208,0
4621.466,174.4412,0
4277.988,63.41455,0
4000.844,154.9095,0
4514.304,231.0249,0
4374.744,243.8967,0
4384.495,206.3633,0
4249.475,170.1736,0
4721.414,212.6016,0
4480.771,298.9482,0
4385.514,121.6448,0
4402.709,176.7666,0
4565.409,180.5911,0
