Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
3839.732,205.8275,0
4363.777,162.668,0
4468.635,190.8228,0
3996.449,118.6599,0
4492.565,140.9099,0
4358.387,139.8726,0
4288.828,157.79,0
4170.786,226.168,0
4458.774,116.0322,0
3607.566,112.7822,0
3736.038,238.4376,0
3711.21,126.6274,0
4241.305,167.1819,0
4004.292,112.0249,0
3964.524,122.9073,0
3902.79,254.6421,0
3727.786,205.2589,0
3985.662,157.0725,0
4409.611,213.2129,0
4223.107,184.0164,0
3519.781,146.4036,0
3982.397,164.0496,0
4093.533,206.9747,0
4084.128,128.541,0
4182.180,2813.0,
3645.201,200.9857,0
4544.718,211.1282,0
3674.564,176.8654,0
4428.533,148.4517,0
4226.518,196.6345,0
3796.782,114.2893,0
3938.611,133.566,0
4165.2,163.043,0
3705.306,72.69324,0
4300.754,170.1838,0
4299.776,133.98,0
4151.862,184.116,0
3744.952,112.2013,0
3683.351,111.6329,0
4476.427,154.8152,0
4462.003,206.2263,0
4143.307,136.059,0
3887.715,130.3898,0
3926.847,143.9117,0
4079.884,242.3993,0
4163.781,97.18152,0
3881.276,53.70007,0
4403.957,242.197,0
4320.354,219.6963,0
4415.792,257.4373,0
3986.174,100.619,0
3703.354,227.2394,0
3923.313,178.9592,0
4163.153,178.9609,0
4467.482,189.8643,0
4494.204,179.0503,0
3644.642,120.2803,0
4039.617,173.1522,0
4080.828,227.6182,0
3940.535,235.7611,0
3751.355,69.81262,0
4435.468,177.1001,0
3673.01,194.8041,0
4340.667,216.9663,0
3740.246,235.8783,0
4573.465,121.1421,0
4030.31,75.18335,0
3973.711,100.1816,0
3636.466,222.3898,0
4401.426,101.2441,0
4289.407,119.6848,0
4160.305,261.6021,0
4484.388,183.6611,0
4511.326,126.4771,0
4450.898,189.5923,0
3896.719,113.8794,0
4119.946,106.7896,0
4207.302,285.9824,0
4323.641,139.6304,0
4283.774,201.3706,0
4429.9,83.54468,0
4187.357,191.428,0
3978.559,119.5636,0
4222.338,137.3936,0
3679.133,94.80493,0
4357.001,166.7593,0
3822.927,120.26,0
4158.143,168.1519,0
3717.615,80.30408,0
3789.969,89.05005,0
4483.167,154.8171,0
3983.602,115.985,0
4388.801,48.61499,0
4484.52,188.2917,0
4242.283,180.2905,0
4321.852,167.2273,0
3546.844,105.3586,0
4447.22,113.4539,0
3791.242,154.9294,0
4572.506,102.6099,0
4267.262,269.1313,0
4541.168,119.6069,0
4268.641,227.0588,0
4143.817,60.505,0
3643.092,165.4893,0
4610.642,82.41895,0
4489.808,204.4263,0
3805.209,210.3561,0
3724.091,83.68494,0
4515.119,129.1436,0
4191.553,126.1221,0
4485.794,86.69312,0
4509.466,101.2527,0
4358.896,154.5813,0
4446.364,222.9939,0
4204.175,108.1323,0
3895.991,149.1177,0
4195.204,90.60571,0
3909.508,140.0483,0
4582.294,120.5049,0
4374.979,152.6526,0
3759.723,115.824,0
4430.291,208.7205,0
4390.159,256.4194,0
4388.326,165.6174,0
4238.961,155.3613,0
4198.135,173.9529,0
4300.635,217.4167,0
4163.437,182.0588,0
4071.252,185.2133,0
4044.345,209.6083,0
4138.143,234.8704,0
4362.031,176.2104,0
3938.651,148.1324,0
4388.414,184.5991,0
4325.548,208.8887,0
4246.605,117.8762,0
4289.657,167.5801,0
4213.425,162.8613,0
4412.774,192.2129,0
4396.746,266.1643,0
4237.583,275.7629,0
4397.468,105.7134,0
4249.089,144.7847,0
3848.482,94.21973,0
4351.96,194.1855,0
4216.508,178.3188,0
4608.048,156.1492,0
3723.758,216.3958,0
3832.499,41.32446,0
4212.895,207.6548,0
3615.558,105.1755,0
4476.142,146.0696,0
4281.142,152.9829,0
3877.318,125.7909,0
4267.724,89.66064,0
4591.525,137.511,0
4462.23,164.5955,0
4433.205,135.8696,0
4217.07,131.6631,0
4216.013,169.9302,0
4515.495,185.3796,0
3969.11,174.5839,0
3891.344,105.8779,0
4316.823,186.6978,0
4098.778,102.1497,0
3764.073,117.4265,0
4279.54,146.6277,0
4475.878,150.1394,0
4048.892,156.2843,0
4243.521,207.9021,0
4498.474,160.123,0
4318.43,117.1284,0
4241.64,211.1165,0
4381.817,115.1396,0
3907.84,119.55,0
3885.137,220.2667,0
4319.388,164.5173,0
3408.926,161.849,0
3956.315,117.9155,0
4090.988,260.4797,0
4013.974,135.6138,0
4425.702,144.792,0
4440.546,88.51611,0
3520.546,47.91333,0
4374.131,181.6997,0
4518.216,122.9763,0
3621.852,102.3738,0
3818.738,140.2535,0
4083.494,52.69385,0
4441.655,204.7036,0
4079.234,184.9418,0
4396.407,100.3342,0
4568.874,145.6375,0
3953.682,136.6827,0
4479.278,118.7371,0
3998.35,158.2048,0
4307.659,161.2192,0
4343.292,267.8274,0
4425.398,238.8853,0
4402.17,129.8633,0
4407.058,142.0872,0
4253.509,157.011,0
4445.785,43.45874,0
4293.653,297.3979,0
3600.963,142.7992,0
4145.281,298.7996,0
3627.672,114.6335,0
3948.08,149.7876,0
4538.831,77.48657,0
3687.706,91.23926,0
4372.665,126.9111,0
4226.943,211.9673,0
3885.875,117.7861,0
4342.57,116.9802,0
4253.336,219.5398,0
4305.744,229.292,0
3757.716,190.9629,0
4382.486,152.8901,0
3985.189,159.1661,0
4352.712,312.145,0
4323.073,153.0908,0
4209.285,224.6675,0
3982.843,129.8496,0
4040.284,61.2052,0
4283.827,257.186,0
4259.206,220.9597,0
4171.984,199.3289,0
4217.328,163.751,0
4321.054,187.4126,0
4040.223,47.4325,0
4195.647,169.885,0
4086.35,160.2694,0
4319.698,140.6858,0
4200.817,124.8162,0
4391.927,98.44897,0
3584.63,164.5865,0
4396.455,129.9834,0
4125.997,213.7047,0
