Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,1
4507.195,202.8887,0
4302.384,255.2292,0
4362.768,217.7437,0
4562.056,310.4426,0
4403.818,290.0593,0
4464.65,236.2266,0
4552.262,164.4485,0
4562.475,204.3057,0
4626.135,202.3862,0
4487.728,158.9207,0
4594.656,223.1199,0
4629.967,155.1633,0
4406.173,196.2329,0
4399.485,168.9568,0
4365.231,240.8721,0
4631.677,175.761,0
4435.31,198.552,0
4468.315,163.1606,0
3928.578,188.5989,0
4252.747,210.019,0
4633.586,184.2041,0
4010.747,183.8647,0
4384.091,111.5349,0
4515.871,170.208,0
4461.487,217.2212,0
4436.679,224.3843,0
4279.072,209.2991,0
4705.389,149.8113,0
4728.857,87.09766,0
4365.996,159.1414,0
4129.791,195.4885,0
4592.12,275.8728,0
4589.541,211.0088,0
4395.465,225.3369,0
4526.266,94.33691,0
4157.511,249.3962,0
4031.346,177.5651,0
4374.747,271.4143,0
4395.971,281.2109,0
4498.833,166.4951,0
4330.184,178.3201,0
4496.867,158.6667,0
4601.223,141.1423,0
4287.729,207.24,0
4545.186,286.3552,0
4347.125,236.4587,0
4302.53,259.5491,0
4464.288,186.3057,0
4625.34,119.0715,0
4491.934,221.6865,0
4650.855,135.1323,0
4513.459,201.2488,0
4226.579,145.2151,0
4551.351,135.0518,0
4456.694,189.426,0
4631.672,173.4822,0
4542.399,205.061,0
4538.052,144.0188,0
4058.958,251.4785,0
4494.956,158.0024,0
4398.915,230.8484,0
4511.371,118.3274,0
4527.035,207.9558,0
4518.353,154.5767,0
4242.454,157.4512,0
4559.193,181.0366,0
4387.166,180.9939,0
4635.198,235.4309,0
4496.717,242.698,0
4306.624,115.2861,0
3992.744,159.3732,0
4543.602,211.1213,0
4236.691,150.7402,0
4425.31,219.9194,0
4406.124,201.9751,0
4030.334,176.5065,0
4605.776,114.4746,0
4531.843,234.3066,0
4367.74,105.8516,0
4359.71,133.1736,0
4634.104,120.7844,0
4533.282,191.0105,0
4019.06,153.0161,0
4529.021,172.0386,0
4360.101,252.7495,0
4430.619,174.1987,0
4518.273,170.5725,0
4564.422,138.4788,0
4540.101,154.0769,0
4633.101,225.5435,0
4374.031,212.8701,0
4514.003,114.0776,0
4172.359,166.8176,0
4752.377,178.7407,0
4506.891,118.2261,0
4445.682,208.1863,0
4620.791,212.8403,0
4398.953,223.2725,0
4238.261,226.0955,0
4168.469,136.8293,0
4669.746,141.5083,0
4353.775,238.4575,0
4724.643,145.4192,0
4629.193,200.8811,0
4734.538,158.4617,0
4212.167,196.5417,0
4628.053,123.1914,0
4316.507,192.9141,0
4274.966,181.9846,0
4531.285,215.3,0
4367.917,239.1279,0
4542.502,171.9275,0
4620.569,119.9231,0
4681.509,259.7063,0
4479.191,165.4282,0
4335.473,196.114,0
4458.712,195.0771,0
4523.557,155.6409,0
4254.588,209.0491,0
4673.999,100.1875,0
4542.178,109.5396,0
4539.735,202.1489,0
4525.62,232.2317,0
4429.062,206.5566,0
4466.113,198.8984,0
4542.661,197.3562,0
4348.269,216.4338,0
4275.24,212.2634,0
4389.988,256.7776,0
4274.851,202.0688,0
4655.197,168.1711,0
4422.657,187.896,0
4279.146,239.9199,0
4359.751,253.5298,0
4216.944,120.7556,0
4762.685,121.0828,0
4278.782,306.0403,0
4226.744,204.0642,0
4394.475,250.2241,0
4564.124,173.9309,0
4604.03,212.0337,0
4480.439,190.1074,0
4363.393,275.5806,0
4443.956,196.1333,0
4267.859,253.6414,0
4525.964,310.762,0
4328.114,166.9678,0
4530.327,186.156,0
4491.241,233.8638,0
4325.128,161.7852,0
4526.807,143.1953,0
4255.604,207.5181,0
4526.778,229.9766,0
4442.134,223.3525,0
4387.97,167.958,0
4217.425,239.9226,0
4390.824,196.752,0
4654.154,248.624,0
4566.995,176.4365,0
4400.218,255.1025,0
4471.991,183.0408,0
4483.602,256.2517,0
4543.031,168.2805,0
4519.361,205.8284,0
4589.14,151.7234,0
4411.002,166.96,0
4439.843,235.4351,0
4230.38,256.417,0
4514.666,301.4456,0
4634.567,217.1924,0
4437.26,137.5505,0
4490.468,222.7231,0
4300.825,177.7654,0
4473.875,183.1826,0
4307.894,248.4692,0
4551.493,178.6799,0
4364.542,218.6116,0
4630.621,168.5295,0
4642.384,205.2878,0
4579.777,112.136,0
4340.207,210.0359,0
4589.745,197.1165,0
4301.427,223.2336,0
4652.492,206.3621,0
4326.01,216.9468,0
4393.826,242.3455,0
4285.492,226.8816,0
4481.064,152.0044,0
4709.08,111.0798,0
4338.864,178.4956,0
4425.879,195.0999,0
4475.529,187.1189,0
4412.146,238.573,0
4511.52,261.4624,0
4383.74,200.0088,0
4372.986,224.6042,0
4498.935,162.373,0
4452.265,191.6724,0
4529.95,216.8992,0
4539.958,126.2588,0
4482.659,250.271,0
4386.748,195.3633,0
4175.851,149.9949,0
4560.787,205.5725,0
4676.896,167.5916,0
4341.126,198.4648,0
4089.058,209.772,0
4476.598,107.8389,0
4594.525,154.4905,0
4400.885,222.7883,0
4010.622,168.6365,0
4540.667,187.4668,0
4395.568,194.1785,0
4317.595,224.9009,0
4448.699,229.1472,0
4168.371,222.9233,0
4496.051,209.1885,0
4329.223,262.8152,0
4356.84,174.3005,0
4438.279,226.6924,0
4594.479,203.085,0
4085.175,126.2268,0
4334.772,230.8984,0
4593.966,208.2053,0
4324.448,297.1777,0
4613.565,48.09204,0
4266.385,198.3379,0
4364.57,177.8291,0
4459.119,230.9651,0
4404.054,222.3867,0
4513.8,175.5649,0
4629.177,216.6763,0
4511.285,214.8696,0
4451.206,276.9951,0
4554.103,207.9763,0
4331.157,227.1445,0
4416.109,131.7185,0
4563.03,135.6821,0
4351.067,197.5464,0
4418.178,102.7903,0
4317.65,296.7092,0
4416.967,157.5413,0
4118.552,293.5216,0
4706.883,166.26,0
4515.072,234.6851,0
4532.71,179.4595,0
4783.148,168.5649,0
4475.786,200.7253,0
4413.598,149.199,0
4414.097,155.1719,0
4543.696,205.9839,0
4476.624,240.436,0
4457.827,256.5439,0
4553.025,215.2283,0
4517.081,233.9377,0
4498.096,175.9895,0
4596.818,166.126,0
4344.436,161.6873,0
4384.67,224.4304,0
4611.617,172.2356,0
4462.154,165.1428,0
4410.682,223.447,0
4612.729,166.0579,0
4452.315,160.6282,0
4097.339,130.9752,0
4441.38,265.3801,0
4373.404,224.5464,0
4731.599,212.1138,0
4744.313,137.1404,0
4385.995,180.1257,0
4399.034,220.7668,0
4379.583,220.9092,0
4546.896,143.4614,0
4354.946,254.4231,0
4143.78,250.575,0
4091.359,235.1781,0
3956.688,101.9509,0
4622.042,142.8577,0
4453.88,215.7085,0
4532.424,225.3975,0
4219.019,263.6428,0
4658.233,169.0042,0
4286.056,225.3088,0
4527.219,58.44556,0
4389.203,223.7905,0
4513.999,156.1582,0
4758.382,123.5583,0
4370.112,81.83496,0
4389.011,181.166,0
4714.352,171.8447,0
4418.059,192.7241,0
4685.205,159.6052,0
4483.646,238.321,0
4533.155,201.7402,0
4614.015,127.4341,0
4512.148,242.2197,0
4702.642,87.03247,0
4528.362,164.925,0
4474.186,159.7371,0
4605.021,142.2065,0
4521.631,186.481,0
4390.002,180.5981,0
4349.014,239.6711,0
4487.678,244.7249,0
4457.068,280.5972,0
4336.73,206.2852,0
4346.013,210.8115,0
4410.488,135.677,0
4355.543,159.3835,0
4496.85,185.594,0
4397.207,184.7859,0
4519.231,128.1504,0
4164.798,113.8252,0
4358.204,163.6548,0
4507.575,243.7036,0
4503.73,276.5178,0
4503.832,145.6995,0
4551.675,116.0718,0
4507.708,214.2244,0
