"","speciesabbr","(Intercept)","log10(ddPCR)","r.squared","adj.r.squared","p.value"
"1","Bonham","0.688","0.814","0.937","0.924",0.000349499603168477
"2","Calsap","1.341","0.674","0.924","0.899",0.00902259690331124
"3","Caraur","1.984","1.011","0.998","0.997",0.00101791475141428
"4","Colper","1.118","0.704","0.939","0.919",0.00645973702520395
"5","Corcas","0.967","0.736","0.966","0.958",0.00043289675613985
"6","Erisin","1.145","0.956","0.996","0.995",0.000100324320565946
"7","Hemsan","0.804","1","0.999","0.999",1.54153555660575e-05
"8","Hemtak","0.716","1.016","1","1",6.00010141254023e-07
"9","Homame","0.396","1.161","0.986","0.972",0.0751053582060312
"10","Karmik","0.971","0.98","0.995","0.994",7.42950880078602e-21
"11","Maggig","0.333","1.117","0.984","0.981",9.11405943644211e-05
"12","Mnelei","0.76","0.909","0.96","0.959",2.28483996670254e-25
"13","Myaare","0.221","1.003","0.917","0.913",1.23759235116899e-10
"14","Oncmyk","1.383","0.663","0.955","0.944",0.000757364605442778
"15","Promin","0.058","1.195","0.923","0.919",3.83998817307037e-13
"16","Psefar","0.462","0.904","0.956","0.955",2.4169470541688e-23
"17","Psever","0.619","0.84","0.867","0.859",7.41409881008866e-09
