"C_bin","q98_bin","q2_bin","C_nor","q98_nor","q2_nor","Species","diff"
-0.03,1.27,-1.57,0.55,2.3,-1.18,"Hemsan",0.64
-0.03,1.27,-1.56,0.55,2.34,-1.22,"Hemsan",0.73
0.88,1.93,-0.35,-1.16,0.65,-2.98,"Hemsan",1.35
-0.03,1.26,-1.5,0.55,2.32,-1.24,"Hemsan",0.8
-0.03,1.26,-1.57,0.54,2.35,-1.26,"Hemsan",0.78
-0.02,1.27,-1.57,0.54,2.34,-1.28,"Hemsan",0.78
-0.03,1.28,-1.57,0.55,2.35,-1.27,"Hemsan",0.77
-0.03,1.25,-1.52,0.55,2.36,-1.24,"Hemsan",0.83
-0.03,1.25,-1.54,0.55,2.37,-1.28,"Hemsan",0.86
-0.03,1.27,-1.57,0.54,2.3,-1.26,"Hemsan",0.72
-0.02,1.27,-1.52,0.55,2.3,-1.23,"Hemsan",0.74
-0.02,1.25,-1.54,0.54,2.3,-1.26,"Hemsan",0.77
-0.02,1.26,-1.55,0.55,2.34,-1.24,"Hemsan",0.77
-0.03,1.26,-1.57,0.55,2.35,-1.23,"Hemsan",0.75
-0.02,1.28,-1.54,0.54,2.31,-1.22,"Hemsan",0.71
-0.04,1.25,-1.57,0.55,2.33,-1.27,"Hemsan",0.78
-0.02,1.26,-1.55,0.54,2.32,-1.27,"Hemsan",0.78
-0.03,1.27,-1.57,0.55,2.34,-1.23,"Hemsan",0.73
-0.02,1.29,-1.56,0.54,2.34,-1.24,"Hemsan",0.73
-0.02,1.24,-1.55,0.54,2.32,-1.23,"Hemsan",0.76
-0.03,1.25,-1.56,0.55,2.4,-1.27,"Hemsan",0.86
-0.02,1.26,-1.54,0.54,2.3,-1.27,"Hemsan",0.77
-0.03,1.25,-1.54,0.54,2.31,-1.22,"Hemsan",0.74
-0.03,1.28,-1.56,0.55,2.34,-1.24,"Hemsan",0.74
-0.03,1.24,-1.54,0.55,2.32,-1.23,"Hemsan",0.77
-0.01,1.26,-1.53,0.55,2.33,-1.24,"Hemsan",0.78
-0.03,1.27,-1.57,0.54,2.35,-1.27,"Hemsan",0.78
-0.02,1.27,-1.56,0.55,2.35,-1.27,"Hemsan",0.79
-0.03,1.26,-1.54,0.55,2.37,-1.27,"Hemsan",0.84
-0.02,1.26,-1.56,0.54,2.37,-1.26,"Hemsan",0.81
-0.02,1.24,-1.54,0.54,2.34,-1.27,"Hemsan",0.83
-0.02,1.28,-1.57,0.56,2.34,-1.2,"Hemsan",0.69
-0.02,1.26,-1.53,0.54,2.35,-1.23,"Hemsan",0.79
0.52,1.6,-0.81,-0.27,1.54,-2.04,"Hemsan",1.17
-0.02,1.27,-1.55,0.55,2.31,-1.21,"Hemsan",0.7
-0.03,1.26,-1.57,0.54,2.36,-1.3,"Hemsan",0.83
-0.03,1.27,-1.56,0.55,2.3,-1.21,"Hemsan",0.68
-0.02,1.28,-1.51,0.55,2.39,-1.27,"Hemsan",0.87
-0.03,1.23,-1.53,0.54,2.33,-1.25,"Hemsan",0.82
-0.02,1.25,-1.53,0.54,2.31,-1.25,"Hemsan",0.78
-0.03,1.27,-1.55,0.55,2.4,-1.28,"Hemsan",0.859999999999999
-0.03,1.27,-1.57,0.54,2.42,-1.34,"Hemsan",0.92
-0.03,1.27,-1.59,0.55,2.34,-1.25,"Hemsan",0.73
-0.03,1.25,-1.57,0.54,2.33,-1.28,"Hemsan",0.79
-0.03,1.24,-1.54,0.54,2.3,-1.25,"Hemsan",0.77
-0.02,1.28,-1.52,0.55,2.33,-1.22,"Hemsan",0.75
0.53,1.63,-0.77,-0.25,1.54,-2.02,"Hemsan",1.16
-0.03,1.25,-1.55,0.56,2.37,-1.27,"Hemsan",0.84
0.04,1.39,-1.53,0.57,2.39,-1.27,"Hemtak",0.74
0.04,1.43,-1.49,0.55,2.32,-1.22,"Hemtak",0.62
0.04,1.44,-1.54,0.55,2.33,-1.19,"Hemtak",0.54
0.04,1.4,-1.54,0.55,2.34,-1.22,"Hemtak",0.62
0.04,1.4,-1.5,0.56,2.3,-1.22,"Hemtak",0.62
0.04,1.39,-1.52,0.56,2.34,-1.2,"Hemtak",0.63
0.04,1.4,-1.49,0.55,2.35,-1.24,"Hemtak",0.7
0.04,1.4,-1.5,0.56,2.35,-1.25,"Hemtak",0.7
0.04,1.43,-1.52,0.56,2.39,-1.22,"Hemtak",0.66
0.04,1.45,-1.52,0.56,2.36,-1.24,"Hemtak",0.63
0.04,1.39,-1.53,0.56,2.37,-1.25,"Hemtak",0.7
0.04,1.38,-1.48,0.57,2.42,-1.28,"Hemtak",0.84
0.05,1.4,-1.47,0.57,2.38,-1.24,"Hemtak",0.75
0.04,1.42,-1.52,0.56,2.4,-1.27,"Hemtak",0.73
0.05,1.4,-1.5,0.56,2.37,-1.23,"Hemtak",0.7
0.04,1.42,-1.51,0.56,2.39,-1.24,"Hemtak",0.7
0.04,1.4,-1.5,0.55,2.3,-1.25,"Hemtak",0.65
0.05,1.44,-1.54,0.56,2.31,-1.23,"Hemtak",0.56
0.04,1.4,-1.53,0.56,2.35,-1.23,"Hemtak",0.65
0.04,1.41,-1.49,0.56,2.38,-1.22,"Hemtak",0.7
0.04,1.42,-1.52,0.55,2.33,-1.2,"Hemtak",0.59
0.04,1.41,-1.53,0.55,2.33,-1.21,"Hemtak",0.6
0.04,1.41,-1.51,0.56,2.37,-1.23,"Hemtak",0.68
0.04,1.42,-1.51,0.57,2.35,-1.25,"Hemtak",0.67
0.03,1.43,-1.5,0.56,2.32,-1.23,"Hemtak",0.62
0.03,1.46,-1.51,0.55,2.32,-1.22,"Hemtak",0.57
0.04,1.42,-1.54,0.56,2.34,-1.23,"Hemtak",0.61
0.05,1.42,-1.48,0.56,2.31,-1.19,"Hemtak",0.6
0.04,1.45,-1.52,0.54,2.37,-1.3,"Hemtak",0.7
0.04,1.39,-1.5,0.56,2.34,-1.21,"Hemtak",0.66
0.05,1.43,-1.51,0.56,2.34,-1.21,"Hemtak",0.61
0.03,1.41,-1.52,0.55,2.35,-1.22,"Hemtak",0.640000000000001
0.04,1.4,-1.52,0.56,2.34,-1.22,"Hemtak",0.64
0.04,1.42,-1.53,0.56,2.37,-1.26,"Hemtak",0.68
0.03,1.45,-1.53,0.56,2.34,-1.21,"Hemtak",0.57
0.04,1.39,-1.48,0.56,2.37,-1.26,"Hemtak",0.76
0.04,1.45,-1.54,0.56,2.35,-1.2,"Hemtak",0.56
0.04,1.39,-1.45,0.56,2.3,-1.19,"Hemtak",0.65
0.04,1.45,-1.56,0.56,2.33,-1.22,"Hemtak",0.54
0.05,1.4,-1.51,0.56,2.37,-1.24,"Hemtak",0.7
0.42,1.68,-1.03,-0.34,1.41,-2.09,"Hemtak",0.79
0.05,1.4,-1.51,0.57,2.33,-1.21,"Hemtak",0.63
0.05,1.4,-1.52,0.56,2.37,-1.25,"Hemtak",0.7
0.04,1.42,-1.51,0.54,2.35,-1.23,"Hemtak",0.65
0.04,1.41,-1.49,0.56,2.35,-1.23,"Hemtak",0.68
0.04,1.38,-1.51,0.55,2.32,-1.24,"Hemtak",0.67
0.04,1.42,-1.55,0.56,2.34,-1.22,"Hemtak",0.59
0.04,1.36,-1.5,0.55,2.38,-1.25,"Hemtak",0.77
