"","C","Species","prob_q","prob_dd","delta"
"1",-3,"Karmik",0.00119310775160927,0.259225100817846,0.258031993066237
"2",-2.9,"Karmik",0.00144962456569169,0.275079868286469,0.273630243720777
"3",-2.8,"Karmik",0.00176119495663285,0.291522729590262,0.289761534633629
"4",-2.7,"Karmik",0.00213958823839379,0.308530145682069,0.306390557443675
"5",-2.6,"Karmik",0.00259906776232335,0.32607311289887,0.323474045136546
"6",-2.5,"Karmik",0.003156908975158,0.344117158792186,0.340960249817028
"7",-2.4,"Karmik",0.00383402011149745,0.3626224430183,0.358788422906803
"8",-2.3,"Karmik",0.00465568346625244,0.381543969599368,0.376888286133115
"9",-2.2,"Karmik",0.00565243715123707,0.400831913380543,0.395179476229306
"10",-2.1,"Karmik",0.0068611187704828,0.42043205953893,0.413570940768447
"11",-2,"Karmik",0.00832609309843378,0.440286350732807,0.431960257634373
"12",-1.9,"Karmik",0.0101006849260782,0.460333532141248,0.450232847215169
"13",-1.8,"Karmik",0.0122488347375965,0.480509880488754,0.468261045751158
"14",-1.7,"Karmik",0.0148469873395567,0.500749999437501,0.485903012097944
"15",-1.6,"Karmik",0.0179862099620916,0.520987660706532,0.503001450744441
"16",-1.5,"Karmik",0.0217745139664822,0.541156668150228,0.519382154183746
"17",-1.4,"Karmik",0.0263393196252834,0.561191720947204,0.534852401321921
"18",-1.3,"Karmik",0.0318299522461784,0.581029252092901,0.549199299846723
"19",-1.2,"Karmik",0.0384199855015654,0.600608219551275,0.562188234049709
"20",-1.1,"Karmik",0.0463091498485004,0.619870829620412,0.573561679771911
"21",-1,"Karmik",0.0557243979286654,0.638763175148842,0.583038777220176
"22",-0.9,"Karmik",0.0669195670280686,0.657235774992942,0.590316207964874
"23",-0.8,"Karmik",0.0801729121728124,0.675244005283845,0.595071093111033
"24",-0.7,"Karmik",0.0957816280963277,0.692748417413831,0.596966789317503
"25",-0.6,"Karmik",0.114052381279791,0.709714941904811,0.59566256062502
"26",-0.5,"Karmik",0.135286907838263,0.726114981260779,0.590828073422516
"27",-0.4,"Karmik",0.159761996943669,0.741925398350274,0.582163401406605
"28",-0.3,"Karmik",0.187703779189513,0.757128409684482,0.569424630494969
"29",-0.2,"Karmik",0.219257252087872,0.771711395077297,0.552454142989426
"30",-0.0999999999999996,"Karmik",0.254453385873597,0.785666636574809,0.531213250701211
"31",0,"Karmik",0.293177778906432,0.798991000249471,0.505813221343038
"32",0.1,"Karmik",0.335146269594026,0.811685574532713,0.476539304938686
"33",0.2,"Karmik",0.37989356765691,0.823755278299764,0.443861710642854
"34",0.3,"Karmik",0.426780227320165,0.835208451028768,0.408428223708603
"35",0.4,"Karmik",0.47502081252106,0.846056436145146,0.371035623624085
"36",0.5,"Karmik",0.523732154126561,0.856313167241171,0.33258101311461
"37",0.6,"Karmik",0.571996132931519,0.865994765329862,0.293998632398344
"38",0.7,"Karmik",0.61892785480019,0.875119153737851,0.25619129893766
"39",0.8,"Karmik",0.663738697404353,0.883705695733981,0.219966998329628
"40",0.9,"Karmik",0.705785027837011,0.891774858582198,0.185989830745186
"41",1,"Karmik",0.744596915827476,0.899347906435893,0.154750990608417
"42",1.1,"Karmik",0.779885629000726,0.906446623378689,0.126560994377963
"43",1.2,"Karmik",0.811532674786181,0.91309306697374,0.10156039218756
"44",1.3,"Karmik",0.839565670184674,0.919309351910052,0.0797436817253775
"45",1.4,"Karmik",0.864127102990906,0.925117462722496,0.0609903597315905
"46",1.5,"Karmik",0.885441420767294,0.930539094099436,0.0450976733321419
"47",1.6,"Karmik",0.903784458289307,0.935595516961907,0.0318110586725995
"48",1.7,"Karmik",0.919457586882821,0.940307468283395,0.0208498814005738
"49",1.8,"Karmik",0.93276754941215,0.944695062501168,0.0119275130890178
"50",1.9,"Karmik",0.944011920938178,0.948777722331181,0.00476580139300298
"51",2,"Karmik",0.953469525485269,0.952574126822433,-0.000895398662835167
"52",2.1,"Karmik",0.96139486813377,0.956102174558432,-0.00529269357533735
"53",2.2,"Karmik",0.968015602510467,0.959378960020316,-0.00863664249015128
"54",2.3,"Karmik",0.97353214844054,0.962420761257077,-0.0111113871834623
"55",2.4,"Karmik",0.978118729063869,0.965243037154198,-0.0128756919096719
"56",2.5,"Karmik",0.981925263335817,0.967860432745348,-0.0140648305904689
"57",2.6,"Karmik",0.985079702207706,0.970286791166911,-0.0147929110407945
"58",2.7,"Karmik",0.987690523494349,0.972535171007423,-0.0151553524869263
"59",2.8,"Karmik",0.989849199114007,0.974617867950365,-0.0152313311636423
"60",2.9,"Karmik",0.99163252140057,0.97654643974685,-0.0150860816537202
"61",3,"Karmik",0.993104726867354,0.978331733683039,-0.0147729931843144
"62",3.1,"Karmik",0.994319390838103,0.979983915824901,-0.0143354750132024
"63",3.2,"Karmik",0.995321089013649,0.98151250142975,-0.0138085875838989
"64",3.3,"Karmik",0.996146835833235,0.982926386010012,-0.0132204498232229
"65",3.4,"Karmik",0.996827317157515,0.98423387662008,-0.0125934405374349
"66",3.5,"Karmik",0.997387938385932,0.985442723012623,-0.0119452153733091
"67",3.6,"Karmik",0.997849710092211,0.986560148376769,-0.011289561715442
"68",3.7,"Karmik",0.998229992642581,0.98759287942808,-0.0106371132145009
"69",3.8,"Karmik",0.998543119747025,0.98854717566983,-0.00999594407719484
"70",3.9,"Karmik",0.998800918941976,0.98942885768761,-0.00937206125436574
"71",4,"Karmik",0.999013144904479,0.990243334375449,-0.00876981052903025
"72",4.1,"Karmik",0.999187839429598,0.990995629022139,-0.00819221040745943
"73",4.2,"Karmik",0.999331629965205,0.991690404212017,-0.00764122575318715
"74",4.3,"Karmik",0.999449976841619,0.992331985515651,-0.00711799132596758
"75",4.4,"Karmik",0.99954737777676,0.992924383963289,-0.00662299381347087
"76",4.5,"Karmik",0.999627536880277,0.993471317308078,-0.00615621957219881
"77",4.6,"Karmik",0.999693504211336,0.993976230097405,-0.00571727411393175
"78",4.7,"Karmik",0.999747790947479,0.994442312579603,-0.00530547836787598
"79",4.8,"Karmik",0.999792464377258,0.994872518480218,-0.00491994589703959
"80",4.9,"Karmik",0.999829226217795,0.995269581687137,-0.00455964453065894
"81",5,"Karmik",0.999859477161769,0.995636031887647,-0.00422344527412144
"82",5.1,"Karmik",0.999884370059758,0.995974209203008,-0.00391016085674956
"83",5.2,"Karmik",0.99990485372853,0.996286277867621,-0.00361857586090852
"84",5.3,"Karmik",0.999921709030528,0.996574239000641,-0.00334747002988722
"85",5.4,"Karmik",0.999935578583352,0.99683994251789,-0.00309563606546237
"86",5.5,"Karmik",0.999946991220659,0.99708509823148,-0.00286189298917883
"87",5.6,"Karmik",0.999956382129548,0.997311286183656,-0.00264509594589191
"88",5.7,"Karmik",0.999964109427134,0.997519966260145,-0.00244414316698904
"89",5.8,"Karmik",0.999970467804966,0.997712487126858,-0.00225798067810778
"90",5.9,"Karmik",0.999975699759257,0.997890094532128,-0.00208560522712853
"91",6,"Karmik",0.999980004833635,0.998053939014914,-0.00192606581872057
"92",-3,"Mnelei",0.00411087512233064,0.261149993915751,0.25703911879342
"93",-2.9,"Mnelei",0.0050064956975774,0.27687819487561,0.271871699178033
"94",-2.8,"Mnelei",0.00609604728415547,0.293177778906432,0.287081731622277
"95",-2.7,"Mnelei",0.00742094687256582,0.310025518872388,0.302604571999822
"96",-2.6,"Mnelei",0.00903118032441363,0.32739298293224,0.318361802607826
"97",-2.5,"Mnelei",0.0109869426305932,0.345246539393681,0.334259596763088
"98",-2.4,"Mnelei",0.0133605281031143,0.363547459718434,0.350186931615319
"99",-2.3,"Mnelei",0.0162384764162358,0.382252125230751,0.366013648814515
"100",-2.2,"Mnelei",0.0197239612586625,0.401312339887548,0.381588378628886
"101",-2.1,"Mnelei",0.0239393775097173,0.420675747851251,0.396736370341533
"102",-2,"Mnelei",0.0290290358363408,0.440286350732807,0.411257314896466
"103",-1.9,"Mnelei",0.0351618051852153,0.460085115444434,0.424923310259219
"104",-1.8,"Mnelei",0.0425334483927398,0.480010659844418,0.437477211451678
"105",-1.7,"Mnelei",0.0513682697811654,0.5,0.448631730218835
"106",-1.6,"Mnelei",0.0619195355428533,0.519989340155582,0.458069804612729
"107",-1.5,"Mnelei",0.0744679451660281,0.539914884555566,0.465446939389538
"108",-1.4,"Mnelei",0.0893172463071899,0.559713649267193,0.470396402960003
"109",-1.3,"Mnelei",0.10678593914898,0.579324252148749,0.472538312999769
"110",-1.2,"Mnelei",0.127193981009679,0.598687660112452,0.471493679102773
"111",-1.1,"Mnelei",0.150843580481328,0.617747874769249,0.466904294287921
"112",-1,"Mnelei",0.177993685786246,0.636452540281566,0.45845885449532
"113",-0.9,"Mnelei",0.208828734194831,0.654753460606319,0.445924726411489
"114",-0.8,"Mnelei",0.243423670710919,0.67260701706776,0.429183346356841
"115",-0.7,"Mnelei",0.28170903159979,0.689974481127613,0.408265449527822
"116",-0.6,"Mnelei",0.323441643420646,0.706822221093568,0.383380577672921
"117",-0.5,"Mnelei",0.368187582263898,0.72312180512439,0.354934222860492
"118",-0.4,"Mnelei",0.41532373510455,0.738850006084249,0.323526270979699
"119",-0.3,"Mnelei",0.464062079275591,0.753988716448948,0.289926637173357
"120",-0.2,"Mnelei",0.513496720456312,0.768524783499018,0.255028063042706
"121",-0.0999999999999996,"Mnelei",0.562668707679812,0.782449776423113,0.2197810687433
"122",0,"Mnelei",0.610639233949222,0.795759697715908,0.185120463766686
"123",0.1,"Mnelei",0.656559625822351,0.808454651438533,0.151895025616182
"124",0.2,"Mnelei",0.69972737859205,0.820538480592673,0.120811102000623
"125",0.3,"Mnelei",0.739621071079022,0.832018385133925,0.0923973140549024
"126",0.4,"Mnelei",0.775911951343301,0.842904531114547,0.0669925797712467
"127",0.5,"Mnelei",0.808454651438533,0.853209660198618,0.0447550087600851
"128",0.6,"Mnelei",0.837262613340254,0.86294870742454,0.0256860940842865
"129",0.7,"Mnelei",0.862474947310621,0.872138433680919,0.00966348637029779
"130",0.8,"Mnelei",0.884320897184941,0.880797077977882,-0.00352381920705858
"131",0.9,"Mnelei",0.903086542661699,0.888944033288592,-0.0141425093731063
"132",1,"Mnelei",0.919086532784535,0.89659954854175,-0.0224869842427843
"133",1.1,"Mnelei",0.932642016304332,0.903784458289307,-0.0288575580150247
"134",1.2,"Mnelei",0.944064750890712,0.910519940666439,-0.0335448102242734
"135",1.3,"Mnelei",0.953646665496519,0.916827303506078,-0.0368193619904416
"136",1.4,"Mnelei",0.961653834106947,0.92272779786334,-0.0389260362436072
"137",1.5,"Mnelei",0.968323771620944,0.928242457736249,-0.040081313884695
"138",1.6,"Mnelei",0.973865069275692,0.933391964424909,-0.0404731048507828
"139",1.7,"Mnelei",0.978458561822323,0.938196533736411,-0.0402620280859121
"140",1.8,"Mnelei",0.982259406446231,0.942675824101131,-0.0395835823450995
"141",1.9,"Mnelei",0.985399624190896,0.946848863601936,-0.0385507605889602
"142",2,"Mnelei",0.987990795690073,0.950733993915973,-0.0372568017740993
"143",2.1,"Mnelei",0.990126712017706,0.954348829215556,-0.0357778828021496
"144",2.2,"Mnelei",0.99188586143729,0.957710228157966,-0.0341756332793236
"145",2.3,"Mnelei",0.993333688897876,0.960834277203236,-0.0324994116946402
"146",2.4,"Mnelei",0.994524602713769,0.963736283625352,-0.0307883190884175
"147",2.5,"Mnelei",0.995503726839059,0.966430776718518,-0.0290729501205413
"148",2.6,"Mnelei",0.996308411475986,0.968931515840333,-0.027376895635653
"149",2.7,"Mnelei",0.99696952249268,0.97125150407346,-0.0257180184192202
"150",2.8,"Mnelei",0.997512533522396,0.973403006423134,-0.0241095270992616
"151",2.9,"Mnelei",0.997958445275498,0.97539757159726,-0.0225608736782377
"152",3,"Mnelei",0.998324555623526,0.977246056537196,-0.0210784990863297
"153",3.1,"Mnelei",0.998625102153236,0.978958652979532,-0.0196664491737043
"154",3.2,"Mnelei",0.998871796619482,0.980544915431807,-0.0183268811876752
"155",3.3,"Mnelei",0.999074268350251,0.982013790037908,-0.0170604783123421
"156",3.4,"Mnelei",0.999240431354303,0.983373643892118,-0.0158667874621842
"157",3.5,"Mnelei",0.999376787749712,0.984632294434724,-0.0147444933149875
"158",3.6,"Mnelei",0.999488678216456,0.985797038627309,-0.013691639589147
"159",3.7,"Mnelei",0.999580488491896,0.986874681662897,-0.012705806828999
"160",3.8,"Mnelei",0.999655819469325,0.987871565015726,-0.0117842544535989
"161",3.9,"Mnelei",0.999717627210843,0.988793593678157,-0.0109240335326858
"162",4,"Mnelei",0.999768338125921,0.989646262468908,-0.010122075657013
"163",4.1,"Mnelei",0.999809943673484,0.990434681327908,-0.0093752623455754
"164",4.2,"Mnelei",0.999844078196182,0.991163599539392,-0.00868047865678934
"165",4.3,"Mnelei",0.999872082869965,0.99183742884684,-0.00803465402312475
"166",4.4,"Mnelei",0.999895058231491,0.992460265441627,-0.00743479278986448
"167",4.5,"Mnelei",0.999913907313873,0.993035910822238,-0.00687799649163467
"168",4.6,"Mnelei",0.99992937106346,0.993567891533081,-0.00636147953037869
"169",4.7,"Mnelei",0.999942057414581,0.99405947780166,-0.00588257961292105
"170",4.8,"Mnelei",0.999952465154955,0.994513701100549,-0.00543876405440591
"171",4.9,"Mnelei",0.999961003513173,0.994933370666534,-0.00502763284663899
"172",5,"Mnelei",0.999968008233728,0.995321089013649,-0.00464691922007898
"173",5.1,"Mnelei",0.999973754768579,0.995679266480088,-0.00429448828849077
"174",5.2,"Mnelei",0.999978469101847,0.996010134851006,-0.00396833425084142
"175",5.3,"Mnelei",0.99998233663193,0.996315760100564,-0.00366657653136582
"176",5.4,"Mnelei",0.999985509459354,0.996598054297083,-0.00338745516227112
"177",5.5,"Mnelei",0.999988112366355,0.996858786715171,-0.00312932565118473
"178",5.6,"Mnelei",0.999990247722908,0.997099594198216,-0.0028906535246922
"179",5.7,"Mnelei",0.999991999511859,0.997321990813787,-0.0026700086980721
"180",5.8,"Mnelei",0.999993436631286,0.997527376843365,-0.00246605978792092
"181",5.9,"Mnelei",0.999994615603824,0.997717047146497,-0.00227756845732718
"182",6,"Mnelei",0.999995582799428,0.997892198937957,-0.00210338386147091
