"","C","Species","prob_q","prob_dd","delta"
"1",-3,"Psefar",0.0236605781554612,0.231475216500982,0.207814638345521
"2",-2.9,"Psefar",0.027278472588093,0.241953347854975,0.214674875266882
"3",-2.8,"Psefar",0.0314317628355961,0.252749800416931,0.221318037581335
"4",-2.7,"Psefar",0.0361938838471807,0.263860322158352,0.227666438311171
"5",-2.6,"Psefar",0.0416464751089174,0.275279324065818,0.2336328489569
"6",-2.5,"Psefar",0.0478796898499189,0.286999837247718,0.239120147397799
"7",-2.4,"Psefar",0.0549922948123911,0.299013480249704,0.244021185437313
"8",-2.3,"Psefar",0.0630914746845663,0.311310437807603,0.248218963123037
"9",-2.2,"Psefar",0.0722922384279737,0.323879452165739,0.251587213737765
"10",-2.1,"Psefar",0.0827163092766908,0.336707827951711,0.25399151867502
"11",-2,"Psefar",0.0944903689501593,0.349781451426173,0.255291082476014
"12",-1.9,"Psefar",0.10774352354912,0.363084824719586,0.255341301170466
"13",-1.8,"Psefar",0.12260386880497,0.376601115430385,0.253997246625415
"14",-1.7,"Psefar",0.139194061841056,0.39031222169511,0.251118159854054
"15",-1.6,"Psefar",0.157625861604694,0.404198852556552,0.246572990951858
"16",-1.5,"Psefar",0.177993685786247,0.418240623158164,0.240246937371917
"17",-1.4,"Psefar",0.200367350468425,0.432416163989963,0.232048813521538
"18",-1.3,"Psefar",0.224784306532256,0.446703243111897,0.221918936579641
"19",-1.2,"Psefar",0.251241852472304,0.461078899994535,0.20983704752223
"20",-1.1,"Psefar",0.279689965333471,0.475519589353267,0.195829624019796
"21",-1,"Psefar",0.310025518872388,0.490001333120035,0.179975814247647
"22",-0.9,"Psefar",0.342088713424266,0.504499878503937,0.162411165079671
"23",-0.8,"Psefar",0.375662489122496,0.518990859945926,0.14332837082343
"24",-0.7,"Psefar",0.410475508701816,0.533449962678428,0.122974453976612
"25",-0.6,"Psefar",0.446208977050798,0.547853085561627,0.101644108510829
"26",-0.5,"Psefar",0.48250714233361,0.562176500885798,0.0796693585521877
"27",-0.4,"Psefar",0.518990859945926,0.576397008902755,0.0574061489568298
"28",-0.3,"Psefar",0.555273179297599,0.590492084976564,0.0352189056789648
"29",-0.2,"Psefar",0.590975619668374,0.604440017419363,0.0134643977509885
"30",-0.0999999999999996,"Psefar",0.625743698707908,0.618220034296275,-0.00752366441163266
"31",0,"Psefar",0.659260388451385,0.631812417736102,-0.0274479707152838
"32",0.1,"Psefar",0.691256474184962,0.645198604563182,-0.0460578696217798
"33",0.2,"Psefar",0.721517216251437,0.658361272361214,-0.0631559438902231
"34",0.3,"Psefar",0.749885178302311,0.671284410382456,-0.0786007679198546
"35",0.4,"Psefar",0.776259504629451,0.683953375016577,-0.0923061296128732
"36",0.5,"Psefar",0.800592243151331,0.696354929823834,-0.104237313327497
"37",0.6,"Psefar",0.822882490381315,0.708477270409738,-0.114405219971577
"38",0.7,"Psefar",0.8431691824911,0.720310034666529,-0.122859147824571
"39",0.8,"Psefar",0.86152329749176,0.7318442991255,-0.12967899836626
"40",0.9,"Psefar",0.878040104026935,0.743072562349937,-0.134967541676998
"41",1,"Psefar",0.892831929513472,0.753988716448948,-0.138843213064524
"42",1.1,"Psefar",0.906021755120766,0.764588007906891,-0.141433747213875
"43",1.2,"Psefar",0.917737798339513,0.774866989001958,-0.142870809337555
"44",1.3,"Psefar",0.928109126789964,0.78482346113222,-0.143285665657744
"45",1.4,"Psefar",0.937262262592271,0.794456411380524,-0.142805851211746
"46",1.5,"Psefar",0.945318682784059,0.803765943634221,-0.141552739149838
"47",1.6,"Psefar",0.952393092699448,0.812753205535343,-0.139639887164105
"48",1.7,"Psefar",0.95859233968235,0.821420312475624,-0.137172027206726
"49",1.8,"Psefar",0.964014838007533,0.829770269772475,-0.134244568235058
"50",1.9,"Psefar",0.968750387361896,0.837806894070952,-0.130943493290944
"51",2,"Psefar",0.972880282798237,0.845534734916465,-0.127345547881772
"52",2.1,"Psefar",0.976477630954408,0.852958997337199,-0.123518633617209
"53",2.2,"Psefar",0.979607803741841,0.860085466166985,-0.119522337574856
"54",2.3,"Psefar",0.982328975611511,0.866920432731596,-0.115408542879915
"55",2.4,"Psefar",0.984692703406389,0.873470624416315,-0.111222078990074
"56",2.5,"Psefar",0.986744518572901,0.879743137532249,-0.107001381040652
"57",2.6,"Psefar",0.988524510216809,0.885745373804528,-0.10277913641228
"58",2.7,"Psefar",0.990067884359147,0.89148498071848,-0.0985829036406671
"59",2.8,"Psefar",0.991405490035152,0.896969795880763,-0.0944356941543888
"60",2.9,"Psefar",0.992564306852097,0.902207795481703,-0.0903565113703939
"61",3,"Psefar",0.993567891533081,0.907207046882843,-0.0863608446502382
"62",3.1,"Psefar",0.994436783046498,0.911975665299937,-0.0824611177465611
"63",3.2,"Psefar",0.995188867345162,0.916521774505925,-0.0786670928392375
"64",3.3,"Psefar",0.995839703671522,0.920853471440541,-0.0749862322309808
"65",3.4,"Psefar",0.996402814951917,0.924978794582446,-0.0714240203694708
"66",3.5,"Psefar",0.996889945102969,0.928905695915713,-0.0679842491872568
"67",3.6,"Psefar",0.997311286183656,0.932642016304332,-0.0646692698793239
"68",3.7,"Psefar",0.997675678306227,0.936195464075651,-0.0614802142305764
"69",3.8,"Psefar",0.997990785111732,0.939573596605518,-0.0584171885062141
"70",3.9,"Psefar",0.998263247454023,0.942783804693855,-0.0554794427601685
"71",4,"Psefar",0.998498817743263,0.945833299518764,-0.0526655182244991
"72",4.1,"Psefar",0.998702477192856,0.948729101959554,-0.0499733752333024
"73",4.2,"Psefar",0.998878538003964,0.951478034083698,-0.0474005039202661
"74",4.3,"Psefar",0.999030732317145,0.954086712599297,-0.0449440197178486
"75",4.4,"Psefar",0.999162289566134,0.956561544082631,-0.042600745483503
"76",4.5,"Psefar",0.999276003687284,0.958908721799535,-0.0403672818877485
"77",4.6,"Psefar",0.999374291471279,0.961134223949223,-0.0382400675220563
"78",4.7,"Psefar",0.999459243191882,0.963243813169654,-0.0362154300222277
"79",4.8,"Psefar",0.999532666509496,0.965243037154198,-0.0342896293552987
"80",4.9,"Psefar",0.999596124524734,0.967137230240151,-0.0324588942845832
"81",5,"Psefar",0.99965096874789,0.968931515840333,-0.0307194529075575
"82",5.1,"Psefar",0.99969836765348,0.97063080959945,-0.0290675580540298
"83",5.2,"Psefar",0.999739331403478,0.972239823167072,-0.0274995082364057
"84",5.3,"Psefar",0.999774733247682,0.973763068488772,-0.0260116647589096
"85",5.4,"Psefar",0.999805328043604,0.975204862526291,-0.0246004655173134
"86",5.5,"Psefar",0.999831768280452,0.97656933232633,-0.023262435954122
"87",5.6,"Psefar",0.999854617941219,0.977860420365829,-0.0219941975753893
"88",5.7,"Psefar",0.999874364492819,0.979081890109299,-0.0207924743835206
"89",5.8,"Psefar",0.999891429255741,0.980237331720909,-0.0196540975348319
"90",5.9,"Psefar",0.99990617637125,0.981330167880692,-0.0185760084905582
"91",6,"Psefar",0.9999189205551,0.982363659660277,-0.017555260894823
